fold,seconds,participant,role,session,task,effective_seconds,tau2,within,within_threshold,lambda,hard_gate,lambda_row_min,lambda_row_mean,lambda_row_max
1,120,sub-05,train,ses-04,SSVEP,120,1.6398133486433444,0.005044324490374742,0.26926952040491425,0.999231551537383,0,0.7155944514329451,0.9622430399653925,0.9999726474531863
1,120,sub-06,test,ses-02,ERP,120,0.004084853374946545,0.0007322763165727716,0.26926952040491425,0.9571058094160622,0,0.6952053094826521,0.9234816787483126,0.9967407773883584
1,120,sub-06,test,ses-02,SSVEP,120,0.005212055074004772,0.0003008412341451894,0.26926952040491425,0.9857751969884759,0,0.8595286997449616,0.9669104357391495,0.9998970594348369
1,120,sub-06,test,ses-03,ERP,120,0.08057521320147701,0.0006947828575539493,0.26926952040491425,0.9978489404164029,0,0.8232847593706961,0.9860692511786463,0.9999244507160742
1,120,sub-06,test,ses-03,SSVEP,120,2.5524211188414005,0.0007993694625626425,0.26926952040491425,0.9999217109125571,0,0.9943370438919437,0.998525975694997,0.9999975417149519
1,120,sub-06,test,ses-04,ERP,120,0.020830818360958566,0.0027661238192196276,0.26926952040491425,0.9678691696403973,0,0.5813421449151878,0.9682687206181356,0.9991145026183064
1,120,sub-06,test,ses-04,SSVEP,120,1.6398133486433444,0.004346567304483641,0.26926952040491425,0.999337776931908,0,0.9238246516767895,0.9691242958045075,0.9999725547592294
1,120,sub-07,test,ses-02,ERP,120,0.004084853374946545,0.0006004385341407597,0.26926952040491425,0.9645546765734311,0,0.28874938889167723,0.9201065381010575,0.9973255487828778
1,120,sub-07,test,ses-02,SSVEP,120,0.005212055074004772,0.002339882523447171,0.26926952040491425,0.8990912477116129,0,0.26051312250676006,0.8384169207765718,0.9918634218182608
1,120,sub-07,test,ses-03,ERP,120,0.08057521320147701,0.0015053351997149588,0.26926952040491425,0.9953511228152044,0,0.8682090001425781,0.9694765007459154,0.9998688255742136
1,120,sub-07,test,ses-03,SSVEP,120,2.5524211188414005,0.008568493759316948,0.26926952040491425,0.9991614521792319,0,0.9428345284155895,0.9903291568149178,0.9998892707946376
1,120,sub-07,test,ses-04,ERP,120,0.020830818360958566,0.0177392073818862,0.26926952040491425,0.824472868299394,0,0.07612820857634216,0.8867473389330153,0.9950166990075967
1,120,sub-07,test,ses-04,SSVEP,120,1.6398133486433444,0.0077714080124830645,0.26926952040491425,0.9988166013916343,0,0.8889290104116161,0.9653489759119948,0.9999705365955002
1,120,sub-09,test,ses-02,ERP,120,0.004084853374946545,0.001133645046882536,0.26926952040491425,0.9351204001374638,0,0.15601247134309965,0.8672550869367418,0.9959211905909275
1,120,sub-09,test,ses-02,SSVEP,120,0.005212055074004772,2.3810361000424574,0.26926952040491425,0.0,1,0.0,0.0,0.0
1,120,sub-09,test,ses-03,ERP,120,0.08057521320147701,0.260104864225284,0.26926952040491425,0.5533957572546399,0,0.4814861513264751,0.880253660055603,0.9966143829586904
1,120,sub-09,test,ses-03,SSVEP,120,2.5524211188414005,0.007239604040188993,0.26926952040491425,0.9992914106061743,0,0.8913143624795797,0.9852309388253361,0.9999905059540619
1,120,sub-09,test,ses-04,ERP,120,0.020830818360958566,0.002010663685240525,0.26926952040491425,0.9764377016590805,0,0.9333597840636259,0.985334409576299,0.9980948467238276
1,120,sub-09,test,ses-04,SSVEP,120,1.6398133486433444,0.4381519081722163,0.26926952040491425,0.0,1,0.0,0.0,0.0
1,120,sub-11,validation,ses-02,ERP,120,0.004084853374946545,0.0009731389639759842,0.26926952040491425,0.9437899774736906,0,0.49909003269079066,0.8695767530267158,0.997054971847926
1,120,sub-11,validation,ses-02,SSVEP,120,0.005212055074004772,0.4862539591730425,0.26926952040491425,0.0,1,0.0,0.0,0.0
1,120,sub-11,validation,ses-03,ERP,120,0.08057521320147701,0.003891096710936152,0.26926952040491425,0.9880711442550939,0,0.442561342920547,0.9358297453164959,0.9999821131514417
