array_task,checkpoint,checkpoint_sha256,device,fold,implementation_commit,kind,parameters,seed,training_job,training_seconds,updates,variant
5,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_1/seed_20260811.pt,b2d3ff5b546373a0aee6da57883b304abe0740b6c01f758bb0265dc4ee467173,NVIDIA L40S,1,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260811,935300,72.2796483039856,1200,canonical
6,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_2/seed_20260808.pt,df404d0dd445cf5abd7fa17de5bb79c485489692d15fb3b5a6895570de975efb,NVIDIA L40S,2,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935300,71.88926863670349,1200,canonical
7,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_2/seed_20260810.pt,36601e9b19681e81cdee76b2caf2fd89ed7223776c2387e8869c542bd0d287fb,NVIDIA L40S,2,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260810,935300,48.22156548500061,1200,canonical
8,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_2/seed_20260811.pt,c0585928c7a82075e268de0676650d6ca4c5d489e6fef6cdaf42886993676df3,NVIDIA L40S,2,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260811,935300,47.82870411872864,1200,canonical
9,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_3/seed_20260808.pt,cd0aa16d109e41f113cce7adf88cb7fde4433cdb475aaf6e0191847c7f56874c,NVIDIA L40S,3,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935300,72.03094267845154,1200,canonical
10,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_3/seed_20260810.pt,9e5956beb6f918dd5553d27700504a793797930b5ebcb5502d748c836ffae31d,NVIDIA L40S,3,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260810,935300,73.63393807411194,1200,canonical
11,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_3/seed_20260811.pt,0562ab966c23e625500a98c0b9e5d6f2e9299e615dcc8fb7cd2196060bddda6f,NVIDIA L40S,3,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260811,935300,74.47438383102417,1200,canonical
12,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_4/seed_20260808.pt,742ca082fc742fba6a869ac221819f88bcd928c588a58aae11d7c7e91029ff25,NVIDIA L40S,4,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935300,73.16796398162842,1200,canonical
13,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_4/seed_20260810.pt,bfbe8b1e35e01dc20e0892cf6935dd5e06f812224037ff207a520f36722e72fb,NVIDIA L40S,4,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260810,935300,72.09950113296509,1200,canonical
14,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_4/seed_20260811.pt,2c6f743dddae93378cc109a2f10d92ffa984741ee88704e3d92712d7f614afc6,NVIDIA L40S,4,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260811,935300,47.905770778656006,1200,canonical
0,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_no_rank/fold_0/seed_20260808.pt,7580182a9ba527366190d187d137d08d0f5d01a9d449b8b5839119f4df6102ac,NVIDIA L40S,0,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935318,47.986960887908936,1200,no_rank
1,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_no_rank/fold_1/seed_20260808.pt,8608e2b0c0712022061997647938ccd1aeebb8a1c92c9239761db36b306d3da8,NVIDIA L40S,1,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935318,47.98766589164734,1200,no_rank
2,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_no_rank/fold_2/seed_20260808.pt,6df773b706c23256b27bfc290c39d9fd4d79ce22b9133c9d69bf7fc0845699db,NVIDIA L40S,2,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935318,73.79067945480347,1200,no_rank
3,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_no_rank/fold_3/seed_20260808.pt,5af0d3e16938d02288134e642947a72c6eff20f0d656bebbe540941b886cf416,NVIDIA L40S,3,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935318,48.1211314201355,1200,no_rank
4,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_no_rank/fold_4/seed_20260808.pt,d84ead311f9f3b6b5c11d90f14f6e88756aaefd87c4c53dea0f54db22c1586c1,NVIDIA L40S,4,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935318,47.85692262649536,1200,no_rank
0,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_v/fold_0/seed_20260808.pt,1514c87bd82699ec10bde49f5a776a9fc674f5847c651df657fa13a06635257c,NVIDIA L40S,0,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935322,74.51249623298645,1200,v
1,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_v/fold_1/seed_20260808.pt,7796bd9b9b4f1833521d71f1558f39c8d4953b0a3802830f6eb3c0eb7131b66e,NVIDIA L40S,1,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935322,72.09106040000916,1200,v
2,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_v/fold_2/seed_20260808.pt,a92b3b0c9ec2c54fa22aafc7e3d32c2e3346a4f24e2e0e066d20138691fd51dc,NVIDIA L40S,2,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935322,72.03705215454102,1200,v
3,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_v/fold_3/seed_20260808.pt,56402e07904daa416b43f452117e14ebd9a4df731ece5e4837cabc76eae77fba,NVIDIA L40S,3,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935322,72.8837456703186,1200,v
4,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_v/fold_4/seed_20260808.pt,d5748fde7cecf13e19bee73260eba501d92dac6f46276700f30b09c2785029be,NVIDIA L40S,4,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935322,47.97168779373169,1200,v
0,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_eegdus_unified/fold_0/seed_20260808.pt,202cb1693efca5e66356fbc3ea2f7fe35b673d7a8b75eaf7649dbd1787ce4ae2,NVIDIA L40S,0,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935326,74.75695610046387,1200,eegdus_unified
1,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_eegdus_unified/fold_1/seed_20260808.pt,9b3509c057b40faf527983ab9001b85c82e593d5f1e013194348c4900f802b84,NVIDIA L40S,1,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935326,73.69174194335938,1200,eegdus_unified
2,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_eegdus_unified/fold_2/seed_20260808.pt,3d1231718b780650cda610ea2ac39f3f95b1f2bb9c72ca4608539b7aa0c5b229,NVIDIA A100-PCIE-40GB,2,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935326,85.72842192649841,1200,eegdus_unified
3,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_eegdus_unified/fold_3/seed_20260808.pt,3ce76a35624987622c81b49b600e5930699fece13a3abc5c0f63b23546f07933,NVIDIA L40S,3,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935338,71.11988568305969,1200,eegdus_unified
4,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad_eegdus_unified/fold_4/seed_20260808.pt,eb1f26a9b88c27794d8abb03d056720cdd5db4ce71c8a098d0a11d260450f856,NVIDIA L40S,4,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935338,72.97861981391907,1200,eegdus_unified
