fold_id,study,recording_key,adaptation_seed,personalization_eligible,adapter_active,selected_step,U_D,U_P,U_W,U_S,I,D00_DET_minus_DIFF
study02_layout_02_heldout_03,study02,study02/study02_p12,20260823,1,1,400,-0.02798512578010559,-0.13061493635177612,-0.057254910469055176,-0.06936320662498474,-0.00915488600730896,0.024945080280303955
study03_layout_03_heldout_00,study03,study03/study03_p03,20260821,1,1,200,-8.481740951538086e-05,0.057386308908462524,0.21185600757598877,0.26603639125823975,0.02437734603881836,0.005369961261749268
study03_layout_03_heldout_00,study03,study03/study03_p03,20260822,1,1,400,0.0002643764019012451,0.050175100564956665,0.2060062289237976,0.2560015320777893,0.014479756355285645,0.004245877265930176
study03_layout_03_heldout_00,study03,study03/study03_p03,20260823,1,1,400,-0.002109050750732422,0.04282057285308838,0.2008821964263916,0.25467658042907715,0.01264294981956482,0.008462101221084595
study03_layout_03_heldout_00,study03,study03/study03_p19,20260821,1,1,100,0.01816880702972412,-0.11239877343177795,-0.1315210461616516,0.08684352040290833,0.030133962631225586,0.015968799591064453
study03_layout_03_heldout_00,study03,study03/study03_p19,20260822,1,1,200,0.0175895094871521,-0.09889516234397888,-0.11971479654312134,0.09539014101028442,0.045487284660339355,0.015442997217178345
study03_layout_03_heldout_00,study03,study03/study03_p19,20260823,1,1,100,0.017604857683181763,-0.11145514249801636,-0.1344223916530609,0.08573570847511292,0.026856929063796997,0.01566365361213684
study04_layout_04_heldout_01,study04,study04/study04_p28,20260821,1,1,400,0.027284473180770874,-0.018569305539131165,-0.0018965601921081543,0.06866362690925598,-0.004679232835769653,0.0666605681180954
study04_layout_04_heldout_01,study04,study04/study04_p28,20260822,1,1,200,0.04149140417575836,-0.0036282092332839966,0.010724946856498718,0.0887451320886612,-0.001211121678352356,0.06767797470092773
study04_layout_04_heldout_01,study04,study04/study04_p28,20260823,1,1,400,0.01701626181602478,-0.016814380884170532,-0.0005683302879333496,0.04897770285606384,-0.004028096795082092,0.06306877732276917
study04_layout_04_heldout_01,study04,study04/study04_p29,20260821,1,1,100,0.078316330909729,-0.0035206973552703857,0.02826380729675293,0.034454792737960815,-0.0007012635469436646,0.0383932888507843
study04_layout_04_heldout_01,study04,study04/study04_p29,20260822,1,1,100,0.07458040118217468,-0.0030178427696228027,0.01699545979499817,0.05009236931800842,-0.0010248273611068726,0.03980904817581177
study04_layout_04_heldout_01,study04,study04/study04_p29,20260823,1,1,100,0.06057476997375488,-0.00640222430229187,0.019010543823242188,0.031777024269104004,-0.0010502934455871582,0.038122743368148804
study05_layout_05_heldout_00,study05,study05/study05_p06,20260821,0,0,0,0.05375790596008301,0.0,0.0,0.0,0.0,0.05375790596008301
study05_layout_05_heldout_00,study05,study05/study05_p06,20260822,0,0,0,0.057281315326690674,0.0,0.0,0.0,0.0,0.057281315326690674
study05_layout_05_heldout_00,study05,study05/study05_p06,20260823,0,0,0,0.03999525308609009,0.0,0.0,0.0,0.0,0.03999525308609009
study05_layout_05_heldout_00,study05,study05/study05_p10,20260821,0,0,0,0.031885504722595215,0.0,0.0,0.0,0.0,0.031885504722595215
study05_layout_05_heldout_00,study05,study05/study05_p10,20260822,0,0,0,0.02387624979019165,0.0,0.0,0.0,0.0,0.02387624979019165
study05_layout_05_heldout_00,study05,study05/study05_p10,20260823,0,0,0,0.03468012809753418,0.0,0.0,0.0,0.0,0.03468012809753418
study05_layout_05_heldout_00,study05,study05/study05_p24,20260821,0,0,0,0.006076395511627197,0.0,0.0,0.0,0.0,0.006076395511627197
study05_layout_05_heldout_00,study05,study05/study05_p24,20260822,0,0,0,0.0013928115367889404,0.0,0.0,0.0,0.0,0.0013928115367889404
study05_layout_05_heldout_00,study05,study05/study05_p24,20260823,0,0,0,0.0034570395946502686,0.0,0.0,0.0,0.0,0.0034570395946502686
