protocol_id,claim_scope,partition,study,participant_stem,recording_key,set_relative_path,fdt_relative_path,support_block,query_block,layout_id,release_layout_id,reference_cell_id,sampling_rate_hz,support_trial_count,query_trial_count,trial_id_status,population_source_count,population_source_participants,status
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p15,study02/study02_p15,study02/study02_p15_prep.set,study02/study02_p15_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,24,26,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p07;study02_p08;study02_p09;study02_p10;study02_p11;study02_p12;study02_p13;study02_p14;study02_p16;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p16,study02/study02_p16,study02/study02_p16_prep.set,study02/study02_p16_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,24,26,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p07;study02_p08;study02_p09;study02_p10;study02_p11;study02_p12;study02_p13;study02_p14;study02_p15;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p17,study02/study02_p17,study02/study02_p17_prep.set,study02/study02_p17_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,26,26,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p07;study02_p08;study02_p09;study02_p10;study02_p11;study02_p12;study02_p13;study02_p14;study02_p15;study02_p16;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p18,study02/study02_p18,study02/study02_p18_prep.set,study02/study02_p18_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,23,27,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p07;study02_p08;study02_p09;study02_p10;study02_p11;study02_p12;study02_p13;study02_p14;study02_p15;study02_p16;study02_p17,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study03,study03_p03,study03/study03_p03,study03/study03_p03_prep.set,study03/study03_p03_prep.fdt,1,2,layout_03,layout_03,release_preprocessed_as_delivered,200.0,26,20,present_complete,9,study03_p19;study03_p20;study03_p21;study03_p22;study03_p23;study03_p24;study03_p25;study03_p26;study03_p27,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study03,study03_p19,study03/study03_p19,study03/study03_p19_prep.set,study03/study03_p19_prep.fdt,1,2,layout_03,layout_03,release_preprocessed_as_delivered,200.0,21,26,present_complete,9,study03_p03;study03_p20;study03_p21;study03_p22;study03_p23;study03_p24;study03_p25;study03_p26;study03_p27,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study03,study03_p20,study03/study03_p20,study03/study03_p20_prep.set,study03/study03_p20_prep.fdt,1,2,layout_03,layout_03,release_preprocessed_as_delivered,200.0,22,24,present_complete,9,study03_p03;study03_p19;study03_p21;study03_p22;study03_p23;study03_p24;study03_p25;study03_p26;study03_p27,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study03,study03_p21,study03/study03_p21,study03/study03_p21_prep.set,study03/study03_p21_prep.fdt,1,2,layout_03,layout_03,release_preprocessed_as_delivered,200.0,19,24,present_complete,9,study03_p03;study03_p19;study03_p20;study03_p22;study03_p23;study03_p24;study03_p25;study03_p26;study03_p27,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study03,study03_p22,study03/study03_p22,study03/study03_p22_prep.set,study03/study03_p22_prep.fdt,1,2,layout_03,layout_03,release_preprocessed_as_delivered,200.0,21,19,present_complete,9,study03_p03;study03_p19;study03_p20;study03_p21;study03_p23;study03_p24;study03_p25;study03_p26;study03_p27,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study03,study03_p23,study03/study03_p23,study03/study03_p23_prep.set,study03/study03_p23_prep.fdt,1,2,layout_03,layout_03,release_preprocessed_as_delivered,200.0,17,17,present_complete,9,study03_p03;study03_p19;study03_p20;study03_p21;study03_p22;study03_p24;study03_p25;study03_p26;study03_p27,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study03,study03_p24,study03/study03_p24,study03/study03_p24_prep.set,study03/study03_p24_prep.fdt,1,2,layout_03,layout_03,release_preprocessed_as_delivered,200.0,23,18,present_complete,9,study03_p03;study03_p19;study03_p20;study03_p21;study03_p22;study03_p23;study03_p25;study03_p26;study03_p27,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study03,study03_p25,study03/study03_p25,study03/study03_p25_prep.set,study03/study03_p25_prep.fdt,1,2,layout_03,layout_03,release_preprocessed_as_delivered,200.0,19,21,present_complete,9,study03_p03;study03_p19;study03_p20;study03_p21;study03_p22;study03_p23;study03_p24;study03_p26;study03_p27,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study03,study03_p26,study03/study03_p26,study03/study03_p26_prep.set,study03/study03_p26_prep.fdt,1,2,layout_03,layout_03,release_preprocessed_as_delivered,200.0,18,24,present_complete,9,study03_p03;study03_p19;study03_p20;study03_p21;study03_p22;study03_p23;study03_p24;study03_p25;study03_p27,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study03,study03_p27,study03/study03_p27,study03/study03_p27_prep.set,study03/study03_p27_prep.fdt,1,2,layout_03,layout_03,release_preprocessed_as_delivered,200.0,23,25,present_complete,9,study03_p03;study03_p19;study03_p20;study03_p21;study03_p22;study03_p23;study03_p24;study03_p25;study03_p26,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p03,study04/study04_p03,study04/study04_p03_prep.set,study04/study04_p03_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,24,24,present_complete,14,study04_p08;study04_p24;study04_p28;study04_p29;study04_p30;study04_p31;study04_p32;study04_p33;study04_p34;study04_p35;study04_p36;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p08,study04/study04_p08,study04/study04_p08_prep.set,study04/study04_p08_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,20,19,present_complete,14,study04_p03;study04_p24;study04_p28;study04_p29;study04_p30;study04_p31;study04_p32;study04_p33;study04_p34;study04_p35;study04_p36;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p24,study04/study04_p24,study04/study04_p24_prep.set,study04/study04_p24_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,21,23,present_complete,14,study04_p03;study04_p08;study04_p28;study04_p29;study04_p30;study04_p31;study04_p32;study04_p33;study04_p34;study04_p35;study04_p36;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p28,study04/study04_p28,study04/study04_p28_prep.set,study04/study04_p28_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,21,20,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p29;study04_p30;study04_p31;study04_p32;study04_p33;study04_p34;study04_p35;study04_p36;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p29,study04/study04_p29,study04/study04_p29_prep.set,study04/study04_p29_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,24,23,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p28;study04_p30;study04_p31;study04_p32;study04_p33;study04_p34;study04_p35;study04_p36;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p30,study04/study04_p30,study04/study04_p30_prep.set,study04/study04_p30_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,24,25,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p28;study04_p29;study04_p31;study04_p32;study04_p33;study04_p34;study04_p35;study04_p36;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p31,study04/study04_p31,study04/study04_p31_prep.set,study04/study04_p31_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,21,22,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p28;study04_p29;study04_p30;study04_p32;study04_p33;study04_p34;study04_p35;study04_p36;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p32,study04/study04_p32,study04/study04_p32_prep.set,study04/study04_p32_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,23,24,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p28;study04_p29;study04_p30;study04_p31;study04_p33;study04_p34;study04_p35;study04_p36;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p33,study04/study04_p33,study04/study04_p33_prep.set,study04/study04_p33_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,27,25,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p28;study04_p29;study04_p30;study04_p31;study04_p32;study04_p34;study04_p35;study04_p36;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p34,study04/study04_p34,study04/study04_p34_prep.set,study04/study04_p34_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,19,25,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p28;study04_p29;study04_p30;study04_p31;study04_p32;study04_p33;study04_p35;study04_p36;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p35,study04/study04_p35,study04/study04_p35_prep.set,study04/study04_p35_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,26,27,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p28;study04_p29;study04_p30;study04_p31;study04_p32;study04_p33;study04_p34;study04_p36;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p36,study04/study04_p36,study04/study04_p36_prep.set,study04/study04_p36_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,27,23,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p28;study04_p29;study04_p30;study04_p31;study04_p32;study04_p33;study04_p34;study04_p35;study04_p37;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p37,study04/study04_p37,study04/study04_p37_prep.set,study04/study04_p37_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,21,19,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p28;study04_p29;study04_p30;study04_p31;study04_p32;study04_p33;study04_p34;study04_p35;study04_p36;study04_p38;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p38,study04/study04_p38,study04/study04_p38_prep.set,study04/study04_p38_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,17,20,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p28;study04_p29;study04_p30;study04_p31;study04_p32;study04_p33;study04_p34;study04_p35;study04_p36;study04_p37;study04_p39,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study04,study04_p39,study04/study04_p39,study04/study04_p39_prep.set,study04/study04_p39_prep.fdt,1,2,layout_04,layout_04,release_preprocessed_as_delivered,100.0,22,23,present_complete,14,study04_p03;study04_p08;study04_p24;study04_p28;study04_p29;study04_p30;study04_p31;study04_p32;study04_p33;study04_p34;study04_p35;study04_p36;study04_p37;study04_p38,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p06,study05/study05_p06,study05/study05_p06_prep.set,study05/study05_p06_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,39,20,absent_release_metadata_use_epoch_ordinal_only,12,study05_p10;study05_p24;study05_p40;study05_p41;study05_p43;study05_p44;study05_p45;study05_p46;study05_p47;study05_p48;study05_p49;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p10,study05/study05_p10,study05/study05_p10_prep.set,study05/study05_p10_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,39,19,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p24;study05_p40;study05_p41;study05_p43;study05_p44;study05_p45;study05_p46;study05_p47;study05_p48;study05_p49;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p24,study05/study05_p24,study05/study05_p24_prep.set,study05/study05_p24_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,33,18,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p10;study05_p40;study05_p41;study05_p43;study05_p44;study05_p45;study05_p46;study05_p47;study05_p48;study05_p49;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p40,study05/study05_p40,study05/study05_p40_prep.set,study05/study05_p40_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,37,16,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p10;study05_p24;study05_p41;study05_p43;study05_p44;study05_p45;study05_p46;study05_p47;study05_p48;study05_p49;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p41,study05/study05_p41,study05/study05_p41_prep.set,study05/study05_p41_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,34,19,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p10;study05_p24;study05_p40;study05_p43;study05_p44;study05_p45;study05_p46;study05_p47;study05_p48;study05_p49;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p42,study05/study05_p42,study05/study05_p42_prep.set,study05/study05_p42_prep.fdt,1,2,layout_06,layout_06,release_preprocessed_as_delivered,256.0,39,20,absent_release_metadata_use_epoch_ordinal_only,0,,blocked_no_population
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p43,study05/study05_p43,study05/study05_p43_prep.set,study05/study05_p43_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,39,20,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p10;study05_p24;study05_p40;study05_p41;study05_p44;study05_p45;study05_p46;study05_p47;study05_p48;study05_p49;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p44,study05/study05_p44,study05/study05_p44_prep.set,study05/study05_p44_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,36,17,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p10;study05_p24;study05_p40;study05_p41;study05_p43;study05_p45;study05_p46;study05_p47;study05_p48;study05_p49;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p45,study05/study05_p45,study05/study05_p45_prep.set,study05/study05_p45_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,37,15,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p10;study05_p24;study05_p40;study05_p41;study05_p43;study05_p44;study05_p46;study05_p47;study05_p48;study05_p49;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p46,study05/study05_p46,study05/study05_p46_prep.set,study05/study05_p46_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,39,20,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p10;study05_p24;study05_p40;study05_p41;study05_p43;study05_p44;study05_p45;study05_p47;study05_p48;study05_p49;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p47,study05/study05_p47,study05/study05_p47_prep.set,study05/study05_p47_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,35,18,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p10;study05_p24;study05_p40;study05_p41;study05_p43;study05_p44;study05_p45;study05_p46;study05_p48;study05_p49;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p48,study05/study05_p48,study05/study05_p48_prep.set,study05/study05_p48_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,37,17,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p10;study05_p24;study05_p40;study05_p41;study05_p43;study05_p44;study05_p45;study05_p46;study05_p47;study05_p49;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p49,study05/study05_p49,study05/study05_p49_prep.set,study05/study05_p49_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,27,14,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p10;study05_p24;study05_p40;study05_p41;study05_p43;study05_p44;study05_p45;study05_p46;study05_p47;study05_p48;study05_p50,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study05,study05_p50,study05/study05_p50,study05/study05_p50_prep.set,study05/study05_p50_prep.fdt,1,2,layout_05,layout_05,release_preprocessed_as_delivered,256.0,36,15,absent_release_metadata_use_epoch_ordinal_only,12,study05_p06;study05_p10;study05_p24;study05_p40;study05_p41;study05_p43;study05_p44;study05_p45;study05_p46;study05_p47;study05_p48;study05_p49,metadata_ready
