fold_id,study,recording_key,method,eog_coherence_reduction,nonartifact_preservation,psd_distortion,covariance_distortion
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D01-CAL,0.008506838914713467,0.7795252650976181,0.0990181639790535,0.20766768590519624
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D11-CAL,0.018161263983247092,0.7503299117088318,0.09511298686265945,0.24290549139341955
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D10-SHUFFLED-GEOMETRY-CAL,0.00957516673952341,0.7327203750610352,0.17101554572582245,0.37716195076864967
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D01-SHUFFLED-LORA-CAL,0.0075997312569284214,0.7776284068822861,0.14479373395442963,0.2678132738996349
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D11-SHUFFLED-BOTH-CAL,0.012005211078915105,0.7628046721220016,0.12006232142448425,0.2761320111232537
study01_layout_01_heldout_00,study01,study01/study01_p03,RAW,0.0,1.0,0.0,0.0
study01_layout_01_heldout_00,study01,study01/study01_p03,DET-D00,0.018468235763881742,0.707472562789917,0.20133733749389648,0.3401268754936147
study01_layout_01_heldout_00,study01,study01/study01_p03,DET-D10,0.01596509199589491,0.7003929615020752,0.20011071860790253,0.36785416686165745
study01_layout_01_heldout_00,study01,study01/study01_p03,DET-D01,0.018475154021369483,0.5301225483417511,0.23949077725410461,0.4535632024542624
study01_layout_01_heldout_00,study01,study01/study01_p03,DET-D11,0.016474442652844153,0.5809723436832428,0.22471043467521667,0.3671657786046609
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D00,0.01951189438716091,0.7038125991821289,0.1979547142982483,0.33458085271719823
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D10,0.016391638200730085,0.7020494341850281,0.1892944723367691,0.34556811355082484
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D01,0.0208581011212463,0.5632845759391785,0.20032329857349396,0.3764823979315047
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D11,0.017787878016202616,0.5927005410194397,0.21139194071292877,0.3437755517079899
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D10-SHUFFLED-GEOMETRY,0.020866187281328545,0.7115272581577301,0.1937635838985443,0.329465649889168
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D01-SHUFFLED-LORA,0.019423769883297644,0.7286806404590607,0.05329084396362305,0.1974026763588582
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D11-SHUFFLED-BOTH,0.020866187281328545,0.7115272581577301,0.1937635838985443,0.329465649889168
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D10-CAL,0.017514973766459475,0.713935524225235,0.1945183426141739,0.3448206534164039
