artifact_utility,covariance_utility,coverage,dataset,exact_cell,preservation_utility,psd_utility,query_external_signal_feature_used,query_outcome_feature_used,status,unit_id
0.0697908210221247,0.07916639538318546,0.5,klados,19ch_native_linked_mastoid_256hz,0.026830013035261002,0.041232420883579424,False,False,success_leave_one_unit_out_exact_cell,sim50
0.005770847798280299,-0.0008500609295889749,0.2,klados,19ch_native_linked_mastoid_256hz,0.0013890296088779897,0.008992855959715718,False,False,success_leave_one_unit_out_exact_cell,sim51
0.039396492345007195,0.0066802499681921645,0.5,klados,19ch_native_linked_mastoid_256hz,0.014090109440741294,0.038800398916165546,False,False,success_leave_one_unit_out_exact_cell,sim52
0.0,0.0,0.0,klados,19ch_native_linked_mastoid_256hz,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,sim53
0.008663784057950374,0.004837830907902907,0.3,klados,19ch_native_linked_mastoid_256hz,0.0006768223528725859,0.010078270202332484,False,False,success_leave_one_unit_out_exact_cell,sim54
0.0,0.0,0.0,sgeyesub,study01|layout_01|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study01/study01_p01
0.0,0.0,0.0,sgeyesub,study01|layout_01|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study01/study01_p02
0.0,0.0,0.0,sgeyesub,study01|layout_01|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study01/study01_p03
0.0,0.0,0.0,sgeyesub,study01|layout_01|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study01/study01_p04
0.0,0.0,0.0,sgeyesub,study01|layout_01|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study01/study01_p05
0.0,0.0,0.0,sgeyesub,study03|layout_03|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study03/study03_p03
0.0,0.0,0.0,sgeyesub,study03|layout_03|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study03/study03_p19
0.0,0.0,0.0,sgeyesub,study03|layout_03|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study03/study03_p20
0.0,0.0,0.0,sgeyesub,study03|layout_03|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study03/study03_p21
0.0,0.0,0.0,sgeyesub,study03|layout_03|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study03/study03_p22
0.0,0.0,0.0,sgeyesub,study03|layout_03|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study03/study03_p23
0.0,0.0,0.0,sgeyesub,study03|layout_03|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study03/study03_p24
0.0,0.0,0.0,sgeyesub,study03|layout_03|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study03/study03_p25
0.0,0.0,0.0,sgeyesub,study03|layout_03|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study03/study03_p26
0.0,0.0,0.0,sgeyesub,study03|layout_03|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study03/study03_p27
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p02
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p03
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p06
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p07
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p08
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p09
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p10
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p11
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p12
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p13
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p14
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p15
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p16
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p17
0.0,0.0,0.0,sgeyesub,study02|layout_02|200,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study02/study02_p18
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p03
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p08
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p24
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p28
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p29
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p30
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p31
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p32
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p33
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p34
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p35
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p36
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p37
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p38
0.0,0.0,0.0,sgeyesub,study04|layout_04|100,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study04/study04_p39
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p06
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p10
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p24
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p40
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p41
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p43
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p44
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p45
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p46
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p47
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p48
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p49
0.0,0.0,0.0,sgeyesub,study05|layout_05|256,0.0,0.0,False,False,success_leave_one_unit_out_exact_cell,study05/study05_p50
