fold,heldout_subject,protocol,method,eog_attenuation,nonartifact_preservation,psd_distortion,covariance_distortion,mi_kappa,eligible,alpha_active
1,2,cross_03,DIFF-WRONG-2,0.07962111942470074,0.27807945013046265,0.20009763538837433,0.642993066091955,-0.050000000000000044,1,1
2,3,same_01,RAW,0.0,1.0,0.0,0.0,0.0,1,1
2,3,same_01,DET-POP,0.1930345199588272,0.5241240859031677,0.14390328526496887,0.5594630425748176,0.033333333333333326,1,1
2,3,same_01,DET-MATCH,0.1929845323320478,0.5243167281150818,0.14390929043293,0.559228674849695,0.033333333333333326,1,1
2,3,same_01,DIFF-POP,0.13120518293645644,0.4636049270629883,0.1359861046075821,0.5178809989057669,0.06666666666666665,1,1
2,3,same_01,DIFF-MATCH,0.13097827467653483,0.4642506241798401,0.1359628140926361,0.516763270794796,0.06666666666666665,1,1
2,3,same_01,DIFF-SHUFFLED,0.1296070963144302,0.4686596989631653,0.13532665371894836,0.5085762790157751,0.09999999999999998,1,1
2,3,same_01,DIFF-WRONG-0,0.1317429749502076,0.46206384897232056,0.13607484102249146,0.5201641175653847,0.06666666666666665,1,1
2,3,same_01,DIFF-WRONG-1,0.1315204807453685,0.4627203345298767,0.13601374626159668,0.5191507622730251,0.06666666666666665,1,1
2,3,same_01,DIFF-WRONG-2,0.13220006310277513,0.46086978912353516,0.13604551553726196,0.5213930041806678,0.06666666666666665,1,1
2,3,same_02,RAW,0.0,1.0,0.0,0.0,0.16666666666666663,1,1
2,3,same_02,DET-POP,0.15313309472468162,0.5685870051383972,0.1327274888753891,0.47452997844376243,0.18333333333333335,1,1
2,3,same_02,DET-MATCH,0.15306793411986694,0.568773478269577,0.13273516297340393,0.4742733064248833,0.18333333333333335,1,1
2,3,same_02,DIFF-POP,0.15737176598567099,0.5056889355182648,0.12756232917308807,0.423366032351611,0.18333333333333335,1,1
2,3,same_02,DIFF-MATCH,0.15716055465034312,0.505941778421402,0.12753725051879883,0.4225224987601479,0.18333333333333335,1,1
2,3,same_02,DIFF-SHUFFLED,0.15558043174031705,0.5087409615516663,0.12707431614398956,0.4157967268137519,0.18333333333333335,1,1
2,3,same_02,DIFF-WRONG-0,0.15808387499095664,0.5043599903583527,0.12767304480075836,0.4257443485813426,0.16666666666666663,1,1
2,3,same_02,DIFF-WRONG-1,0.1577822991336385,0.5049166083335876,0.12759827077388763,0.4246987544900941,0.16666666666666663,1,1
2,3,same_02,DIFF-WRONG-2,0.15857234736904502,0.5032698810100555,0.12762989103794098,0.42692901647984083,0.16666666666666663,1,1
2,3,same_03,RAW,0.0,1.0,0.0,0.0,-0.012499999999999956,1,1
2,3,same_03,DET-POP,0.0753973586898711,0.4969635009765625,0.14320693910121918,0.5986335259935004,0.025000000000000022,1,1
2,3,same_03,DET-MATCH,0.07533045371787417,0.49703115224838257,0.143155038356781,0.5985976105127911,0.025000000000000022,1,1
2,3,same_03,DIFF-POP,0.09127789994494784,0.44166314601898193,0.13582195341587067,0.5559156196060836,-0.02499999999999991,1,1
2,3,same_03,DIFF-MATCH,0.09113433222389884,0.44238418340682983,0.1357928067445755,0.554890371870703,-0.02499999999999991,1,1
2,3,same_03,DIFF-SHUFFLED,0.09042135760602024,0.4455159902572632,0.13510717451572418,0.5470414837143324,-0.03750000000000009,1,1
2,3,same_03,DIFF-WRONG-0,0.09155453544937903,0.44013702869415283,0.1359463632106781,0.5581221852837203,-0.03750000000000009,1,1
2,3,same_03,DIFF-WRONG-1,0.09143990247199933,0.44078052043914795,0.13587448000907898,0.5571526460607759,-0.03750000000000009,1,1
2,3,same_03,DIFF-WRONG-2,0.09173676961412033,0.4389316439628601,0.1359311044216156,0.5593838138899648,-0.03750000000000009,1,1
2,3,cross_02,RAW,0.0,1.0,0.0,0.0,0.16666666666666663,1,1
2,3,cross_02,DET-POP,0.15313309472468162,0.5685870051383972,0.1327274888753891,0.47452997844376243,0.18333333333333335,1,1
2,3,cross_02,DET-MATCH,0.15305424357453978,0.5688225030899048,0.13269448280334473,0.4742140953376346,0.18333333333333335,1,1
2,3,cross_02,DIFF-POP,0.158129741748174,0.5061642527580261,0.12932519614696503,0.4249147954928127,0.16666666666666663,1,1
2,3,cross_02,DIFF-MATCH,0.1579327805795603,0.5066968202590942,0.1292838305234909,0.4237347587532097,0.16666666666666663,1,1
2,3,cross_02,DIFF-SHUFFLED,0.15664267136404908,0.5105431377887726,0.1288233995437622,0.414932598217116,0.18333333333333335,1,1
2,3,cross_02,DIFF-WRONG-0,0.1585605307999584,0.5047776401042938,0.12934747338294983,0.42729644018532587,0.15000000000000002,1,1
2,3,cross_02,DIFF-WRONG-1,0.15837556134081548,0.5053547918796539,0.12933240830898285,0.4262497698267204,0.15000000000000002,1,1
2,3,cross_02,DIFF-WRONG-2,0.15886032871074146,0.5036565959453583,0.1293277144432068,0.4284690519636609,0.15000000000000002,1,1
2,3,cross_03,RAW,0.0,1.0,0.0,0.0,-0.012499999999999956,1,1
2,3,cross_03,DET-POP,0.0753973586898711,0.4969635009765625,0.14320693910121918,0.5986335259935004,0.025000000000000022,1,1
2,3,cross_03,DET-MATCH,0.07532612079133591,0.4972105026245117,0.14319972693920135,0.598365834377806,0.025000000000000022,1,1
2,3,cross_03,DIFF-POP,0.0903271839229597,0.4421616196632385,0.13565358519554138,0.5596020093488676,0.012499999999999956,1,1
2,3,cross_03,DIFF-MATCH,0.09019813572780955,0.4427984356880188,0.13561585545539856,0.5585554884688496,0.012499999999999956,1,1
2,3,cross_03,DIFF-SHUFFLED,0.08936768325252666,0.447012722492218,0.13507848978042603,0.5509743000172351,0.012499999999999956,1,1
2,3,cross_03,DIFF-WRONG-0,0.09060220720453395,0.4406610131263733,0.13573232293128967,0.5617654331505587,0.012499999999999956,1,1
2,3,cross_03,DIFF-WRONG-1,0.09048529145204359,0.4413006901741028,0.1356828659772873,0.5608148418663816,0.012499999999999956,1,1
2,3,cross_03,DIFF-WRONG-2,0.0907891650373737,0.43947386741638184,0.13569995760917664,0.5629867177398766,0.012499999999999956,1,1
