protocol,method,gamma,participant_task_units,motion_coherence_reduction,nonartifact_observation_preservation,reference_free_covariance_distortion,reference_free_psd_distortion
S0_STATIC_XSESSION,DIFF-MATCH,0.5,59,0.004581332301436845,0.8863207129130172,0.10256815423176804,0.12084515242821585
S0_STATIC_XSESSION,DIFF-MATCH,0.75,59,0.008610941217107287,0.8294810704192368,0.147512080908264,0.17505849204894344
S0_STATIC_XSESSION,DIFF-MATCH,1.0,59,0.013808221824593464,0.7726414270888445,0.1890224637626299,0.22589478524938478
S0_STATIC_XSESSION,DIFF-MATCH,1.25,59,0.020116335633447616,0.7158017791176247,0.22774953940095044,0.2739401122207864
S0_STATIC_XSESSION,DIFF-NULL,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DIFF-NULL,0.25,59,0.0020672379345712017,0.9364549553937326,0.06543547717145391,0.07642244640737772
S0_STATIC_XSESSION,DIFF-NULL,0.5,59,0.0056072988752591405,0.8729099104401924,0.12431546391692458,0.14621587141843165
S0_STATIC_XSESSION,DIFF-NULL,0.75,59,0.01070612151238878,0.8093648845866576,0.177293752885448,0.21001140148205272
S0_STATIC_XSESSION,DIFF-NULL,1.0,59,0.017385133621046097,0.745819821890633,0.2251158865794526,0.2685003006294117
S0_STATIC_XSESSION,DIFF-NULL,1.25,59,0.02558053382751295,0.6822747656349408,0.26860192062708715,0.3224096267278922
S0_STATIC_XSESSION,DIFF-POP,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DIFF-POP,0.25,59,0.0020672379345712017,0.9364549553937326,0.06543547717145391,0.07642244640737772
S0_STATIC_XSESSION,DIFF-POP,0.5,59,0.0056072988752591405,0.8729099104401924,0.12431546391692458,0.14621587141843165
S0_STATIC_XSESSION,DIFF-POP,0.75,59,0.01070612151238878,0.8093648845866576,0.177293752885448,0.21001140148205272
S0_STATIC_XSESSION,DIFF-POP,1.0,59,0.017385133621046097,0.745819821890633,0.2251158865794526,0.2685003006294117
S0_STATIC_XSESSION,DIFF-POP,1.25,59,0.02558053382751295,0.6822747656349408,0.26860192062708715,0.3224096267278922
S0_STATIC_XSESSION,DIFF-SHUFFLED,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DIFF-SHUFFLED,0.25,59,0.0016249094663535134,0.945437647031336,0.05298264641676944,0.06224120778457846
S0_STATIC_XSESSION,DIFF-SHUFFLED,0.5,59,0.004311953718631955,0.8908752939521761,0.10149860678987548,0.1200470621618679
S0_STATIC_XSESSION,DIFF-SHUFFLED,0.75,59,0.00813906775566481,0.8363129323569395,0.14607253634145773,0.17396260744308012
S0_STATIC_XSESSION,DIFF-SHUFFLED,1.0,59,0.013129812744209322,0.7817505884094763,0.18728174578565773,0.22456464367145199
S0_STATIC_XSESSION,DIFF-SHUFFLED,1.25,59,0.019252147935962274,0.7271882246358919,0.22573378055919086,0.2724320211652982
S0_STATIC_XSESSION,DIFF-WRONG-1,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DIFF-WRONG-1,0.25,59,0.0015739209444846137,0.9397434788061527,0.05960183285607535,0.06838737773093378
S0_STATIC_XSESSION,DIFF-WRONG-1,0.5,59,0.004392548290602231,0.8794869567441234,0.11359256412120455,0.13102262590269922
S0_STATIC_XSESSION,DIFF-WRONG-1,0.75,59,0.008514994029271401,0.8192304428982533,0.1627181447283309,0.18865261992471197
S0_STATIC_XSESSION,DIFF-WRONG-1,1.0,59,0.013929461776199987,0.7589739134882466,0.2078573637977015,0.24214232873992395
S0_STATIC_XSESSION,DIFF-WRONG-1,1.25,59,0.02053271066713131,0.6987173851516287,0.24999891199807248,0.29245435689591753
S0_STATIC_XSESSION,DIFF-WRONG-2,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DIFF-WRONG-2,0.25,59,0.0017517195162126574,0.9409832818417857,0.058081711896877705,0.06743469956662443
S0_STATIC_XSESSION,DIFF-WRONG-2,0.5,59,0.004699034932053695,0.8819665629574556,0.11087336172545988,0.1296922890627283
S0_STATIC_XSESSION,DIFF-WRONG-2,0.75,59,0.008906990447539394,0.822949849005978,0.15903973350122344,0.18743452331903626
S0_STATIC_XSESSION,DIFF-WRONG-2,1.0,59,0.014370366678399554,0.763933126641027,0.2033245295837222,0.24137168298712222
S0_STATIC_XSESSION,DIFF-WRONG-2,1.25,59,0.021007822542372396,0.7049163978357437,0.24452312829607084,0.29222693168005703
S0_STATIC_XSESSION,DIFF-WRONG-3,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DIFF-WRONG-3,0.25,59,0.0017877824730792287,0.9426964293865455,0.05657436557828532,0.06442834470831489
S0_STATIC_XSESSION,DIFF-WRONG-3,0.5,59,0.0047277994138204445,0.8853928583311075,0.108224565532217,0.12408554792341034
S0_STATIC_XSESSION,DIFF-WRONG-3,0.75,59,0.008949529758449329,0.8280892999748052,0.15553315034063572,0.17956734680712727
S0_STATIC_XSESSION,DIFF-WRONG-3,1.0,59,0.014503498514324932,0.7707857173251904,0.19914185793545872,0.23150353373612387
S0_STATIC_XSESSION,DIFF-WRONG-3,1.25,59,0.021299043638726412,0.7134821572798794,0.2397282840053287,0.28052609817961516
S0_STATIC_XSESSION,POP,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,POP,0.25,59,0.0061652588389687615,0.9326955721855669,0.08438026928358193,0.0922165318250151
S0_STATIC_XSESSION,POP,0.5,59,0.013580386100684181,0.865391145760225,0.15782729360568024,0.17422905209142778
S0_STATIC_XSESSION,POP,0.75,59,0.022429331190000148,0.7980867140626503,0.22089658235851944,0.24721443084842068
S0_STATIC_XSESSION,POP,1.0,59,0.033334858115699334,0.7307822907627639,0.2742405623848988,0.3118848748568256
S0_STATIC_XSESSION,POP,1.25,59,0.04359634161405897,0.6634778866575937,0.3186434747443782,0.36894353791692497
S0_STATIC_XSESSION,RAW,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,RAW,0.25,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,RAW,0.5,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,RAW,0.75,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,RAW,1.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,RAW,1.25,59,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DET-MATCH,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DET-MATCH,0.25,61,0.0037733231839097913,0.9464448320671732,0.06342326516178041,0.07861943678647952
S1_MOTION_WITHIN_SESSION,DET-MATCH,0.5,61,0.007902190089225769,0.8928896637068542,0.11973527760834,0.14895357801645734
S1_MOTION_WITHIN_SESSION,DET-MATCH,0.75,61,0.012593768689720357,0.8393344864798863,0.16911319423598983,0.21118595227255624
S1_MOTION_WITHIN_SESSION,DET-MATCH,1.0,61,0.018318527729296295,0.7857793287572558,0.21177860294285378,0.2655447871084554
S1_MOTION_WITHIN_SESSION,DET-MATCH,1.25,61,0.025312888512357336,0.7322241630954821,0.24801466883949108,0.3123181613723244
S1_MOTION_WITHIN_SESSION,DET-NULL,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DET-NULL,0.25,61,0.0036525020039960988,0.941458930742362,0.06925695600484656,0.08417593532997626
S1_MOTION_WITHIN_SESSION,DET-NULL,0.5,61,0.007582518684326626,0.882917861484724,0.1306263673300492,0.1593272844634828
S1_MOTION_WITHIN_SESSION,DET-NULL,0.75,61,0.012085522570815242,0.8243767754709135,0.1843417752392376,0.22578025912316363
S1_MOTION_WITHIN_SESSION,DET-NULL,1.0,61,0.017707722811181038,0.765835720770916,0.23069103667320826,0.2838832371807123
S1_MOTION_WITHIN_SESSION,DET-NULL,1.25,61,0.024402011185884476,0.7072946592310413,0.2700366180760392,0.3340137510972678
S1_MOTION_WITHIN_SESSION,DET-SHUFFLED,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DET-SHUFFLED,0.25,61,0.003744686266682187,0.9456436518678961,0.06507365536754393,0.07988014052713625
S1_MOTION_WITHIN_SESSION,DET-SHUFFLED,0.5,61,0.00782048998431104,0.8912873034609756,0.12280066531402238,0.1512060550949918
S1_MOTION_WITHIN_SESSION,DET-SHUFFLED,0.75,61,0.01245160342850646,0.8369309596381471,0.17336765860448786,0.2141907106375047
S1_MOTION_WITHIN_SESSION,DET-SHUFFLED,1.0,61,0.018168479601135018,0.7825746084945123,0.21700437793313415,0.2690918435892243
S1_MOTION_WITHIN_SESSION,DET-SHUFFLED,1.25,61,0.024937864392995834,0.7282182587707628,0.2540036029794795,0.3162273312498983
S1_MOTION_WITHIN_SESSION,DET-WRONG-1,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DET-WRONG-1,0.25,61,0.004069073828028851,0.9448907300524536,0.06379362328270438,0.0771089832577091
S1_MOTION_WITHIN_SESSION,DET-WRONG-1,0.5,61,0.008484521453253558,0.8897814603186533,0.12018968752940458,0.14602653027252585
S1_MOTION_WITHIN_SESSION,DET-WRONG-1,0.75,61,0.01319666564098147,0.8346721963407319,0.1694318366719199,0.20708336105539663
S1_MOTION_WITHIN_SESSION,DET-WRONG-1,1.0,61,0.018460090745423662,0.7795629196601813,0.2118354461235998,0.2606823233597469
S1_MOTION_WITHIN_SESSION,DET-WRONG-1,1.25,61,0.023513510426292655,0.7244536610411816,0.2478215774361682,0.30732606765127085
S1_MOTION_WITHIN_SESSION,DET-WRONG-2,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DET-WRONG-2,0.25,61,0.0035668795653542532,0.9450615289254634,0.06349326263336634,0.07689105535544394
S1_MOTION_WITHIN_SESSION,DET-WRONG-2,0.5,61,0.007478677285987822,0.8901230577898563,0.11993408747975363,0.145852806966477
S1_MOTION_WITHIN_SESSION,DET-WRONG-2,0.75,61,0.011648597012533516,0.8351845729973961,0.16973293155039812,0.2073556551648701
S1_MOTION_WITHIN_SESSION,DET-WRONG-2,1.0,61,0.015850666696663764,0.7802461144804466,0.2134098792244289,0.26198746146420476
S1_MOTION_WITHIN_SESSION,DET-WRONG-2,1.25,61,0.020007014732624662,0.7253076164204566,0.2515771713545866,0.3104499187167795
S1_MOTION_WITHIN_SESSION,DET-WRONG-3,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DET-WRONG-3,0.25,61,0.003192125468469057,0.9448255664806385,0.06353738184809325,0.07557721746146495
S1_MOTION_WITHIN_SESSION,DET-WRONG-3,0.5,61,0.006577448217106647,0.8896511326559254,0.12047608749097342,0.14361522431851778
S1_MOTION_WITHIN_SESSION,DET-WRONG-3,0.75,61,0.010186865284550385,0.8344767053352028,0.17107203958189843,0.20451178271934145
S1_MOTION_WITHIN_SESSION,DET-WRONG-3,1.0,61,0.014171810240530576,0.7793022670218201,0.21562863741536042,0.2586385079003016
S1_MOTION_WITHIN_SESSION,DET-WRONG-3,1.25,61,0.01864680452424972,0.7241278346627951,0.25451475873886814,0.3063746599373637
S1_MOTION_WITHIN_SESSION,DIFF-MATCH,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DIFF-MATCH,0.25,61,0.0019193833663326795,0.9437967899759285,0.05648819908950439,0.06507592175736046
S1_MOTION_WITHIN_SESSION,DIFF-MATCH,0.5,61,0.004959588229167657,0.8875935791579427,0.10787743852113628,0.12541039281936942
S1_MOTION_WITHIN_SESSION,DIFF-MATCH,0.75,61,0.009212452307587764,0.8313903847678763,0.15469125377443857,0.1815464657227524
S1_MOTION_WITHIN_SESSION,DIFF-MATCH,1.0,61,0.014707117509402212,0.7751871591708699,0.19751429546901972,0.2340351071697278
S1_MOTION_WITHIN_SESSION,DIFF-MATCH,1.25,61,0.021397204947520475,0.7189839591012627,0.23697330075370668,0.2833975396561818
S1_MOTION_WITHIN_SESSION,DIFF-NULL,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DIFF-NULL,0.25,61,0.002157591222251048,0.936791786908737,0.06471461890635209,0.07588743055086644
S1_MOTION_WITHIN_SESSION,DIFF-NULL,0.5,61,0.00574757952670582,0.8735835740617552,0.12295478945823533,0.14522363607328934
S1_MOTION_WITHIN_SESSION,DIFF-NULL,0.75,61,0.010855005657086607,0.8103753594895367,0.1753416734761424,0.20863014734426483
S1_MOTION_WITHIN_SESSION,DIFF-NULL,1.0,61,0.017432420438186068,0.7471671484288622,0.22258336371307744,0.26676765930090773
S1_MOTION_WITHIN_SESSION,DIFF-NULL,1.25,61,0.025301716336217084,0.683958923657898,0.26545664975819705,0.32030141500175974
S1_MOTION_WITHIN_SESSION,DIFF-POP,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DIFF-POP,0.25,61,0.002157591222251048,0.936791786908737,0.06471461890635209,0.07588743055086644
S1_MOTION_WITHIN_SESSION,DIFF-POP,0.5,61,0.00574757952670582,0.8735835740617552,0.12295478945823533,0.14522363607328934
S1_MOTION_WITHIN_SESSION,DIFF-POP,0.75,61,0.010855005657086607,0.8103753594895367,0.1753416734761424,0.20863014734426483
S1_MOTION_WITHIN_SESSION,DIFF-POP,1.0,61,0.017432420438186068,0.7471671484288622,0.22258336371307744,0.26676765930090773
S1_MOTION_WITHIN_SESSION,DIFF-POP,1.25,61,0.025301716336217084,0.683958923657898,0.26545664975819705,0.32030141500175974
S1_MOTION_WITHIN_SESSION,DIFF-SHUFFLED,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DIFF-SHUFFLED,0.25,61,0.001923812278470055,0.9423860689228187,0.05789079415885121,0.06700405666268751
S1_MOTION_WITHIN_SESSION,DIFF-SHUFFLED,0.5,61,0.004960925272497974,0.8847721377234967,0.11055372684287443,0.1289982475096085
S1_MOTION_WITHIN_SESSION,DIFF-SHUFFLED,0.75,61,0.00922029966213664,0.827158199959114,0.15852376993712183,0.1865439670404694
S1_MOTION_WITHIN_SESSION,DIFF-SHUFFLED,1.0,61,0.014757173716044817,0.7695442739813054,0.20238963835114313,0.24021354349727025
S1_MOTION_WITHIN_SESSION,DIFF-SHUFFLED,1.25,61,0.021537757096964805,0.7119303407971976,0.24276782351857745,0.2905521543818663
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-1,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-1,0.25,61,0.0019321544553901329,0.9419513529502466,0.05619070078816914,0.0642799453458703
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-1,0.5,61,0.004981489241367481,0.883902706053169,0.10762897171034243,0.12420558004227818
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-1,0.75,61,0.009200621823795507,0.8258540676754029,0.15525933309408183,0.18078011506405034
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-1,1.0,61,0.014543375672131289,0.7678054121063381,0.19992595428591378,0.2347763970066778
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-1,1.25,61,0.02080527647230469,0.7097567826143054,0.24240096570933073,0.2868642735554547
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-2,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-2,0.25,61,0.0015909326736067162,0.9409439702228201,0.05649682495961758,0.06517830278083193
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-2,0.5,61,0.004373533895514051,0.8818879391326279,0.10900616873596401,0.12795942035488417
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-2,0.75,61,0.008451002054527158,0.8228319163021983,0.15832830999243164,0.18926486672192325
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-2,1.0,61,0.013846124934612727,0.7637758789980997,0.2051717319367365,0.249780964411673
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-2,1.25,61,0.020445134093771217,0.7047198387320901,0.25027233014510536,0.3101554881231707
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-3,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-3,0.25,61,0.00195302991349189,0.9347661913174098,0.05793948026458794,0.06664905563515962
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-3,0.5,61,0.005133971968879466,0.8695323826653547,0.11079521066535723,0.12874843519119944
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-3,0.75,61,0.009617290596981517,0.8042985629901046,0.159416010694181,0.18733222651310633
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-3,1.0,61,0.015373404550014949,0.7390647665521161,0.20466804881480943,0.2432981042160851
S1_MOTION_WITHIN_SESSION,DIFF-WRONG-3,1.25,61,0.02225050543908213,0.6738309490753979,0.2474357386031547,0.2974344043397024
S1_MOTION_WITHIN_SESSION,POP,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,POP,0.25,61,0.0062816803206185825,0.9331992479865668,0.08330713856974602,0.09036815388616724
S1_MOTION_WITHIN_SESSION,POP,0.5,61,0.013826833427196643,0.8663984952402897,0.15575170083987638,0.17058295263435508
S1_MOTION_WITHIN_SESSION,POP,0.75,61,0.022900736020481,0.7995977344327285,0.21783392175771804,0.24172940749491825
S1_MOTION_WITHIN_SESSION,POP,1.0,61,0.03404163652420288,0.7327969914577046,0.2701595604506261,0.3044726690735485
S1_MOTION_WITHIN_SESSION,POP,1.25,61,0.044505567457832275,0.6659962275966269,0.3134774414991373,0.35946510539802373
S1_MOTION_WITHIN_SESSION,RAW,0.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,RAW,0.25,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,RAW,0.5,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,RAW,0.75,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,RAW,1.0,61,0.0,1.0,0.0,0.0
S1_MOTION_WITHIN_SESSION,RAW,1.25,61,0.0,1.0,0.0,0.0
S2_MOTION_XSPEED,DET-MATCH,0.0,30,0.0,1.0,0.0,0.0
S2_MOTION_XSPEED,DET-MATCH,0.25,30,0.004231695085763931,0.9461732215015217,0.06581216525375702,0.07804497100490455
S2_MOTION_XSPEED,DET-MATCH,0.5,30,0.008707048123081524,0.8923464418854564,0.12385771167404426,0.14769446333715072
S2_MOTION_XSPEED,DET-MATCH,0.75,30,0.013661457474033039,0.8385196706590553,0.17429856025389376,0.20913776179465154
S2_MOTION_XSPEED,DET-MATCH,1.0,30,0.019742570693294208,0.7846928850126763,0.2173513241020795,0.2626196473216017
S2_MOTION_XSPEED,DET-MATCH,1.25,30,0.02701032211383184,0.730866139413168,0.25331419424386403,0.30846321894787254
S2_MOTION_XSPEED,DET-NULL,0.0,30,0.0,1.0,0.0,0.0
S2_MOTION_XSPEED,DET-NULL,0.25,30,0.0039968224863211315,0.9387526113384713,0.07480083524873346,0.08756102473319818
S2_MOTION_XSPEED,DET-NULL,0.5,30,0.008011170973380407,0.877505220953996,0.14034927432135333,0.16537630615445476
S2_MOTION_XSPEED,DET-NULL,0.75,30,0.012522412836551667,0.8162578368249039,0.19690800538201023,0.23375384599591295
S2_MOTION_XSPEED,DET-NULL,1.0,30,0.018440300847093263,0.7550104448882242,0.2448218796916568,0.2930796240611623
S2_MOTION_XSPEED,DET-NULL,1.25,30,0.025682111829519273,0.6937630592845381,0.28455192883867514,0.34384330043879646
S2_MOTION_XSPEED,DET-SHUFFLED,0.0,30,0.0,1.0,0.0,0.0
S2_MOTION_XSPEED,DET-SHUFFLED,0.25,30,0.004028882707158724,0.9454232509403179,0.06715612157177836,0.0791880986575658
S2_MOTION_XSPEED,DET-SHUFFLED,0.5,30,0.008433889473478,0.8908465016478052,0.12633772417539355,0.14980383859171223
S2_MOTION_XSPEED,DET-SHUFFLED,0.75,30,0.013532433162132899,0.8362697541403273,0.1777219534707886,0.21205348487322528
S2_MOTION_XSPEED,DET-SHUFFLED,1.0,30,0.01989057237903277,0.7816930030162136,0.2215445068071653,0.2662019616148124
S2_MOTION_XSPEED,DET-SHUFFLED,1.25,30,0.026964245239893596,0.7271162670416137,0.25812874962529486,0.31259799705197416
S2_MOTION_XSPEED,DET-WRONG-1,0.0,30,0.0,1.0,0.0,0.0
S2_MOTION_XSPEED,DET-WRONG-1,0.25,30,0.0034165746221939725,0.9426025905413553,0.06803298806663284,0.08098869000095874
S2_MOTION_XSPEED,DET-WRONG-1,0.5,30,0.007072374224662781,0.8852051800892998,0.12736336319246946,0.15275794994086028
S2_MOTION_XSPEED,DET-WRONG-1,0.75,30,0.011219618966182072,0.8278077503976723,0.17864009673843687,0.21596406062599272
S2_MOTION_XSPEED,DET-WRONG-1,1.0,30,0.016340455164511998,0.770410360644261,0.2227312910841378,0.2714607879674683
S2_MOTION_XSPEED,DET-WRONG-1,1.25,30,0.021429955214262008,0.713012924293677,0.26066250295676613,0.32024193527176975
S2_MOTION_XSPEED,DET-WRONG-2,0.0,30,0.0,1.0,0.0,0.0
S2_MOTION_XSPEED,DET-WRONG-2,0.25,30,0.003397067760427793,0.947242281298774,0.06235538956302167,0.07209406687955683
S2_MOTION_XSPEED,DET-WRONG-2,0.5,30,0.006805152073502541,0.8944845624578496,0.11789937717561412,0.13737004259601235
S2_MOTION_XSPEED,DET-WRONG-2,0.75,30,0.010371328517794608,0.8417268329299986,0.16684411924155493,0.1960770603424559
S2_MOTION_XSPEED,DET-WRONG-2,1.0,30,0.014623071377476057,0.7889691232082744,0.20945337593948715,0.24851372965301077
S2_MOTION_XSPEED,DET-WRONG-2,1.25,30,0.020169859752058983,0.7362113788723945,0.24605854840327002,0.29503794382326304
S2_MOTION_XSPEED,DET-WRONG-3,0.0,30,0.0,1.0,0.0,0.0
S2_MOTION_XSPEED,DET-WRONG-3,0.25,30,0.003961792464057604,0.9462035861525995,0.0631683328032893,0.07406503995492433
S2_MOTION_XSPEED,DET-WRONG-3,0.5,30,0.007886457567413649,0.8924071718162546,0.11934512953586231,0.14070890344058473
S2_MOTION_XSPEED,DET-WRONG-3,0.75,30,0.011768801386157672,0.8386107722762972,0.16877832986189,0.20025889821505796
S2_MOTION_XSPEED,DET-WRONG-3,1.0,30,0.01619663697977861,0.7848143431358039,0.21177378178184514,0.2531002304361512
S2_MOTION_XSPEED,DET-WRONG-3,1.25,30,0.021813004463911056,0.7310179326683283,0.24870805379355668,0.29968145545572045
S2_MOTION_XSPEED,DIFF-MATCH,0.0,30,0.0,1.0,0.0,0.0
S2_MOTION_XSPEED,DIFF-MATCH,0.25,30,0.002265088508526484,0.9472370613832026,0.06132160012938227,0.06847769177208345
S2_MOTION_XSPEED,DIFF-MATCH,0.5,30,0.0057970605790615085,0.8944741218040387,0.11748402714164836,0.1321660484497746
S2_MOTION_XSPEED,DIFF-MATCH,0.75,30,0.010610293845335643,0.8417111658180754,0.16875605053141085,0.19133565646285813
