verifier,panel,participant,auroc,identity_margin,rank1,tar_at_far5
A-R,dropout20,5,0.618421052631579,0.050535461865365505,0.3684210526315789,0.10526315789473684
A-R,dropout20,6,0.423125,-0.029097627382725477,0.275,0.0
A-R,dropout20,7,0.7340720221606649,0.08396085910499096,0.631578947368421,0.21052631578947367
A-R,dropout20,8,0.7493074792243768,0.17929896153509617,0.6578947368421052,0.5263157894736842
A-R,dropout20,9,0.6585872576177285,0.06600864231586456,0.47368421052631576,0.10526315789473684
A-R,dropout20,10,0.971606648199446,0.4173271209001541,0.9473684210526316,0.868421052631579
A-R,dropout20,11,0.9030470914127424,0.18534792959690094,0.868421052631579,0.8157894736842105
A-R,dropout20,12,0.7409972299168974,0.1081465296447277,0.631578947368421,0.2894736842105263
A-R,dropout20,13,0.9536011080332409,0.20874974131584167,0.9473684210526315,0.868421052631579
A-R,dropout20,14,0.6149584487534625,0.0414876164868474,0.5,0.0
A-R,dropout20,15,0.7139889196675899,0.09595724195241928,0.6578947368421053,0.05263157894736842
A-R,gain_normalized,1,0.7749999999999999,0.09465559013187885,0.85,0.525
A-R,gain_normalized,2,0.425,-0.02531291823834181,0.0,0.0
A-R,gain_normalized,3,0.5713296398891967,0.01920545776374638,0.4473684210526316,0.23684210526315788
A-R,gain_normalized,4,0.76,0.06454894877970219,0.8,0.35
A-R,gain_normalized,5,0.7195290858725762,0.05936186574399471,0.7105263157894737,0.368421052631579
A-R,gain_normalized,6,0.32999999999999996,-0.0438139452598989,0.2,0.0
A-R,gain_normalized,7,0.7811634349030471,0.07596401497721672,0.8157894736842105,0.47368421052631576
A-R,gain_normalized,8,0.6301939058171744,0.030951885040849447,0.631578947368421,0.23684210526315788
A-R,gain_normalized,9,0.42797783933518,0.004003200680017471,0.2894736842105263,0.02631578947368421
A-R,gain_normalized,10,0.6945983379501385,0.04974466562271118,0.631578947368421,0.13157894736842105
A-R,gain_normalized,11,0.5159279778393351,-0.0030050552159082144,0.15789473684210525,0.05263157894736842
A-R,gain_normalized,12,0.6454293628808865,0.06577236391603947,0.5263157894736842,0.3684210526315789
A-R,gain_normalized,13,0.5173130193905817,-0.0012996923178434372,0.3157894736842105,0.15789473684210525
A-R,gain_normalized,14,0.659972299168975,0.048684654757380486,0.5526315789473684,0.05263157894736842
A-R,gain_normalized,15,0.4397506925207756,-0.016089294105768204,0.368421052631579,0.13157894736842105
A-R,physiological,1,0.72,0.08632650971412659,0.6000000000000001,0.15
A-R,physiological,2,0.85375,0.13305358588695526,0.8,0.30000000000000004
A-R,physiological,3,0.6045706371191135,0.03998643869999796,0.2631578947368421,0.10526315789473684
A-R,physiological,4,0.7737499999999999,0.11344709619879723,0.65,0.3
A-R,physiological,5,0.6842105263157894,0.0875956192612648,0.4473684210526315,0.18421052631578946
A-R,physiological,6,0.486875,0.011206462979316711,0.3,0.0
A-R,physiological,7,0.7139889196675899,0.07663040608167648,0.5789473684210527,0.18421052631578946
A-R,physiological,8,0.752770083102493,0.20945632457733154,0.6842105263157895,0.5263157894736842
A-R,physiological,9,0.6662049861495845,0.061880528926849365,0.5263157894736842,0.10526315789473684
A-R,physiological,10,0.9522160664819944,0.3272956311702728,0.9473684210526315,0.6578947368421052
A-R,physiological,11,0.871191135734072,0.14265777170658112,0.8157894736842105,0.23684210526315788
A-R,physiological,12,0.6869806094182825,0.05178146995604038,0.5,0.07894736842105263
A-R,physiological,13,0.8753462603878116,0.1607307270169258,0.8421052631578947,0.05263157894736842
A-R,physiological,14,0.6371191135734071,0.04894590377807617,0.5,0.10526315789473684
A-R,physiological,15,0.7839335180055402,0.1258801743388176,0.5526315789473684,0.13157894736842105
