gradient_norm,loss,mean_min_snr_weight,mean_timestep,model_kind,step,timestep_maximum,timestep_mean,timestep_minimum,v_mse,x0_mse
2.5002050399780273,0.5910486578941345,,,deterministic,54,,,,,
2.1856496334075928,0.42334070801734924,,,deterministic,55,,,,,
2.1416015625,0.11668061465024948,,,deterministic,56,,,,,
1.4114950895309448,0.12053177505731583,,,deterministic,57,,,,,
0.6524098515510559,0.0661892369389534,,,deterministic,58,,,,,
2.2649223804473877,0.09804821014404297,,,deterministic,59,,,,,
4.937900543212891,0.40399274230003357,,,deterministic,60,,,,,
1.251504898071289,0.09773435443639755,,,deterministic,61,,,,,
4.8949174880981445,0.7007672786712646,,,deterministic,62,,,,,
1.2625517845153809,0.06609145551919937,,,deterministic,63,,,,,
1.1159199476242065,0.0839618593454361,,,deterministic,64,,,,,
2.397662878036499,0.31893298029899597,,,deterministic,65,,,,,
4.48799467086792,0.5751206874847412,,,deterministic,66,,,,,
1.7249587774276733,0.09432388097047806,,,deterministic,67,,,,,
2.241560697555542,0.10294787585735321,,,deterministic,68,,,,,
1.7213600873947144,0.07529760152101517,,,deterministic,69,,,,,
1.4739502668380737,0.1074567437171936,,,deterministic,70,,,,,
1.3639070987701416,0.0667768120765686,,,deterministic,71,,,,,
1.38958740234375,0.06958085298538208,,,deterministic,72,,,,,
6.5530476570129395,0.5844324231147766,,,deterministic,73,,,,,
4.423056125640869,0.3920589089393616,,,deterministic,74,,,,,
1.7476669549942017,0.15526890754699707,,,deterministic,75,,,,,
1.5637871026992798,0.07645701617002487,,,deterministic,76,,,,,
1.2941592931747437,0.06068980321288109,,,deterministic,77,,,,,
2.1540448665618896,0.30284497141838074,,,deterministic,78,,,,,
1.1412652730941772,0.0561579130589962,,,deterministic,79,,,,,
1.612502932548523,0.11621948331594467,,,deterministic,80,,,,,
0.8344957828521729,0.06197993457317352,,,deterministic,81,,,,,
4.2893900871276855,0.36539313197135925,,,deterministic,82,,,,,
2.2804245948791504,0.3272736370563507,,,deterministic,83,,,,,
2.1905791759490967,0.06544636934995651,,,deterministic,84,,,,,
1.1142637729644775,0.08109266310930252,,,deterministic,85,,,,,
3.8278539180755615,0.523734986782074,,,deterministic,86,,,,,
1.0157400369644165,0.07120615988969803,,,deterministic,87,,,,,
3.730468988418579,0.3399278223514557,,,deterministic,88,,,,,
1.8620476722717285,0.07891978323459625,,,deterministic,89,,,,,
2.0885424613952637,0.24590973556041718,,,deterministic,90,,,,,
1.5878572463989258,0.07505116611719131,,,deterministic,91,,,,,
1.8061054944992065,0.2478821724653244,,,deterministic,92,,,,,
1.353364109992981,0.0641336739063263,,,deterministic,93,,,,,
1.3640633821487427,0.08672405034303665,,,deterministic,94,,,,,
2.740666627883911,0.07714465260505676,,,deterministic,95,,,,,
1.0077853202819824,0.06864282488822937,,,deterministic,96,,,,,
1.5700815916061401,0.2293449193239212,,,deterministic,97,,,,,
4.089000225067139,0.3075886070728302,,,deterministic,98,,,,,
1.3993709087371826,0.0861540287733078,,,deterministic,99,,,,,
