job_id,experiment,stage,resource,terminal_state,recovery_of,superseded_by
930256,bci2b_eog_residual_v11_1,forensic,unknown,recorded_terminal_state_unknown,,
930257,bci2b_eog_residual_v11_1,train,unknown,recorded_terminal_state_unknown,,
930258,bci2b_eog_residual_v11_1,infer,unknown,recorded_terminal_state_unknown,,
930259,bci2b_eog_residual_v11_1,freeze-contract,unknown,recorded_terminal_state_unknown,,
930275,bci2b_eog_residual_v11_1,forensic,unknown,recorded_terminal_state_unknown,,
930276,bci2b_eog_residual_v11_1,freeze-contract,unknown,recorded_terminal_state_unknown,,
930278,bci2b_eog_residual_v11_1,forensic,unknown,recorded_terminal_state_unknown,,
930279,bci2b_eog_residual_v11_1,freeze-contract,unknown,recorded_terminal_state_unknown,,
930282,bci2b_eog_residual_v11_1,forensic,unknown,recorded_terminal_state_unknown,,
930283,bci2b_eog_residual_v11_1,freeze-contract,unknown,recorded_terminal_state_unknown,,
930287,bci2b_eog_residual_v11_1,aggregate,unknown,recorded_terminal_state_unknown,,
930288,bci2b_eog_residual_v11_1,finalize,unknown,recorded_terminal_state_unknown,,
930289,bci2b_eog_residual_v11_1,evaluate,unknown,recorded_terminal_state_unknown,,
930290,bci2b_eog_residual_v11_1,aggregate,unknown,recorded_terminal_state_unknown,,
930291,bci2b_eog_residual_v11_1,finalize,unknown,recorded_terminal_state_unknown,,
930351,bci2b_eog_residual_v11_1,aggregate,unknown,recorded_terminal_state_unknown,,
930352,bci2b_eog_residual_v11_1,finalize,unknown,recorded_terminal_state_unknown,,
930365,bci2b_eog_residual_v11_1,aggregate,unknown,recorded_terminal_state_unknown,,
930366,bci2b_eog_residual_v11_1,finalize,unknown,recorded_terminal_state_unknown,,
930370,bci2b_eog_residual_v11_1,tests,cpu,recorded_terminal_state_unknown,,
930371,bci2b_eog_residual_v11_1,clean-import,cpu,recorded_terminal_state_unknown,,
931182,bci2b_subject_diffusion_mechanism_uq,2 tests passed,unknown,completed,,
931183,bci2b_subject_diffusion_mechanism_uq,AST audit source required dedent; no scientific output,unknown,failed_or_cancelled,,
931185,bci2b_subject_diffusion_mechanism_uq,corrected B0 audit,unknown,completed,,
931186,bci2b_subject_diffusion_mechanism_uq,support-frozen dispersion unit mismatch found before evaluation,unknown,failed_or_cancelled,,
931197,bci2b_subject_diffusion_mechanism_uq,2 tests passed after repair,unknown,completed,,
931198,bci2b_subject_diffusion_mechanism_uq,27/27 frozen GPU inference tasks,gpu,completed,,
931219,bci2b_subject_diffusion_mechanism_uq,infer,gpu,recorded_terminal_state_unknown,,
931240,bci2b_subject_diffusion_mechanism_uq,infer,gpu,recorded_terminal_state_unknown,,
931256,bci2b_subject_diffusion_mechanism_uq,initial evaluator used all-window natural preservation; replaced by frozen low-EOG contract,unknown,completed,,
931278,bci2b_subject_diffusion_mechanism_uq,evaluate,unknown,recorded_terminal_state_unknown,,
931293,bci2b_subject_diffusion_mechanism_uq,evaluate,unknown,recorded_terminal_state_unknown,,
931308,bci2b_subject_diffusion_mechanism_uq,intermediate aggregation/report/tests before low-EOG correction,unknown,completed,,
931322,bci2b_subject_diffusion_mechanism_uq,aggregate,unknown,recorded_terminal_state_unknown,,
931323,bci2b_subject_diffusion_mechanism_uq,finalize,cpu,recorded_terminal_state_unknown,,
931324,bci2b_subject_diffusion_mechanism_uq,tests,cpu,recorded_terminal_state_unknown,,
931326,bci2b_subject_diffusion_mechanism_uq,27/27 corrected independent evaluator tasks,unknown,completed,,
931335,bci2b_subject_diffusion_mechanism_uq,evaluate,unknown,recorded_terminal_state_unknown,,
931354,bci2b_subject_diffusion_mechanism_uq,evaluate,unknown,recorded_terminal_state_unknown,,
931364,bci2b_subject_diffusion_mechanism_uq,"final aggregation, report, and 2 tests passed",unknown,completed,,
931365,bci2b_subject_diffusion_mechanism_uq,finalize,cpu,recorded_terminal_state_unknown,,
931366,bci2b_subject_diffusion_mechanism_uq,tests,cpu,recorded_terminal_state_unknown,,
931371,bci2b_subject_diffusion_mechanism_uq,clean-checkout import passed; targeted tests 2/2 passed,unknown,completed,,
931372,bci2b_subject_diffusion_mechanism_uq,tests,cpu,recorded_terminal_state_unknown,,
931730,bci2b_subject_diffusion_next,"# 931730,931734,931740,931803,931809,931848,931939,931960: targeted tests completed; final 931960 = 9/9 passed.",unknown,completed,,
931731,bci2b_subject_diffusion_next,"# 931731,931767: J0 audit completed. 931735: POP8 preparation completed 9/9 folds.",unknown,completed,,
931734,bci2b_subject_diffusion_next,tests,cpu,recorded_terminal_state_unknown,,
931735,bci2b_subject_diffusion_next,prepare-pop8-all,unknown,recorded_terminal_state_unknown,,
931736,bci2b_subject_diffusion_next,# 931736 was an initial causal pass; 931765/931766 are the corrected complete causal audit and aggregate.,unknown,recorded_terminal_state_unknown,,
931737,bci2b_subject_diffusion_next,# 931737 FAILED: Python 3.9 rejected zip(strict=...). Compatibility-only fix applied.,unknown,failed_or_cancelled,,
931740,bci2b_subject_diffusion_next,tests,cpu,recorded_terminal_state_unknown,,
931741,bci2b_subject_diffusion_next,# 931741 FAILED technical validity: padding identity. 931742/931743 passed intermediate technical contracts.,unknown,failed_or_cancelled,,
931742,bci2b_subject_diffusion_next,oppost-technical,gpu,recorded_terminal_state_unknown,,
931743,bci2b_subject_diffusion_next,oppost-technical,gpu,recorded_terminal_state_unknown,,
931744,bci2b_subject_diffusion_next,"# 931744,931755,931756 completed the initial 27 OPPOST inference tasks; superseded after the stricter reconstructed-padding audit.",unknown,completed,,
931755,bci2b_subject_diffusion_next,oppost-infer,gpu,recorded_terminal_state_unknown,,
931756,bci2b_subject_diffusion_next,oppost-infer,gpu,recorded_terminal_state_unknown,,
931765,bci2b_subject_diffusion_next,causal-audit-all,unknown,recorded_terminal_state_unknown,,
931766,bci2b_subject_diffusion_next,aggregate-causal,unknown,recorded_terminal_state_unknown,,
931767,bci2b_subject_diffusion_next,audit,cpu,recorded_terminal_state_unknown,,
931799,bci2b_subject_diffusion_next,# 931799 FAILED: missing frozen PSD-floor config. 931800 dependency was never satisfied and was cancelled.,unknown,failed_or_cancelled,,
931800,bci2b_subject_diffusion_next,aggregate-oppost,unknown,recorded_terminal_state_unknown,,
931801,bci2b_subject_diffusion_next,"# 931801,931802,931818: POP8 training completed 27/27 checkpoints, 8000 updates each.",unknown,completed,,
931802,bci2b_subject_diffusion_next,train-pop8,gpu,recorded_terminal_state_unknown,,
931803,bci2b_subject_diffusion_next,tests,cpu,recorded_terminal_state_unknown,,
931804,bci2b_subject_diffusion_next,"# 931804/931805 completed the repaired evaluator/aggregate, then were superseded by the final padding-identity replay.",unknown,completed,,
931805,bci2b_subject_diffusion_next,aggregate-oppost,unknown,recorded_terminal_state_unknown,,
931809,bci2b_subject_diffusion_next,tests,cpu,recorded_terminal_state_unknown,,
931818,bci2b_subject_diffusion_next,train-pop8,gpu,recorded_terminal_state_unknown,,
931847,bci2b_subject_diffusion_next,"# 931847: final OPPOST technical validity passed, including reconstructed padding identity.",unknown,completed,,
931848,bci2b_subject_diffusion_next,tests,cpu,recorded_terminal_state_unknown,,
931855,bci2b_subject_diffusion_next,"# 931855,931878,931887: POP8 evaluator-blind inference completed 27/27 tasks.",unknown,completed,,
931878,bci2b_subject_diffusion_next,infer-pop8,gpu,recorded_terminal_state_unknown,,
931887,bci2b_subject_diffusion_next,infer-pop8,gpu,recorded_terminal_state_unknown,,
931897,bci2b_subject_diffusion_next,"# 931897,931915,931932: final OPPOST padding-identity replay completed 27/27 tasks.",unknown,completed,,
931915,bci2b_subject_diffusion_next,oppost-infer,gpu,recorded_terminal_state_unknown,,
931932,bci2b_subject_diffusion_next,oppost-infer,gpu,recorded_terminal_state_unknown,,
931933,bci2b_subject_diffusion_next,# 931933: independent final evaluator completed. 931934/931959: aggregation completed; 931959 is final.,unknown,completed,,
931934,bci2b_subject_diffusion_next,aggregate,unknown,recorded_terminal_state_unknown,,
931939,bci2b_subject_diffusion_next,tests,cpu,recorded_terminal_state_unknown,,
931940,bci2b_subject_diffusion_next,# 931940: finalization completed before the final report enrichment and is superseded by 931959 outputs.,unknown,completed,,
931959,bci2b_subject_diffusion_next,aggregate,unknown,recorded_terminal_state_unknown,,
931960,bci2b_subject_diffusion_next,tests,cpu,recorded_terminal_state_unknown,,
931962,bci2b_subject_diffusion_next,# 931962: clean-checkout import passed from committed HEAD 31d3174.,unknown,completed,,
930667,bci2b_subject_diffusion_replication,tests,cpu,recorded_terminal_state_unknown,,
930668,bci2b_subject_diffusion_replication,audit,unknown,recorded_terminal_state_unknown,,
930689,bci2b_subject_diffusion_replication,tests,cpu,recorded_terminal_state_unknown,,
930690,bci2b_subject_diffusion_replication,audit,unknown,recorded_terminal_state_unknown,,
930705,bci2b_subject_diffusion_replication,train,unknown,recorded_terminal_state_unknown,,
930767,bci2b_subject_diffusion_replication,infer,gpu,recorded_terminal_state_unknown,,
930791,bci2b_subject_diffusion_replication,evaluate,unknown,recorded_terminal_state_unknown,,
930817,bci2b_subject_diffusion_replication,tests,cpu,recorded_terminal_state_unknown,,
930819,bci2b_subject_diffusion_replication,evaluate,unknown,recorded_terminal_state_unknown,,
930846,bci2b_subject_diffusion_replication,multi-donor-infer,gpu,recorded_terminal_state_unknown,,
930855,bci2b_subject_diffusion_replication,multi-donor-infer,gpu,recorded_terminal_state_unknown,,
930864,bci2b_subject_diffusion_replication,multi-donor-infer,gpu,recorded_terminal_state_unknown,,
930880,bci2b_subject_diffusion_replication,tests,cpu,recorded_terminal_state_unknown,,
930881,bci2b_subject_diffusion_replication,donor-operators,unknown,recorded_terminal_state_unknown,,
930907,bci2b_subject_diffusion_replication,multi-donor-infer,gpu,recorded_terminal_state_unknown,,
930908,bci2b_subject_diffusion_replication,multi-donor-infer,gpu,recorded_terminal_state_unknown,,
930936,bci2b_subject_diffusion_replication,multi-donor-infer,gpu,recorded_terminal_state_unknown,,
930946,bci2b_subject_diffusion_replication,multi-donor-evaluate,unknown,recorded_terminal_state_unknown,,
930969,bci2b_subject_diffusion_replication,multi-donor-evaluate,unknown,recorded_terminal_state_unknown,,
930970,bci2b_subject_diffusion_replication,multi-donor-evaluate,unknown,recorded_terminal_state_unknown,,
930990,bci2b_subject_diffusion_replication,tests,cpu,recorded_terminal_state_unknown,,
930991,bci2b_subject_diffusion_replication,aggregate,unknown,recorded_terminal_state_unknown,,
931015,bci2b_subject_diffusion_replication,tests,cpu,recorded_terminal_state_unknown,,
931016,bci2b_subject_diffusion_replication,aggregate,unknown,recorded_terminal_state_unknown,,
931017,bci2b_subject_diffusion_replication,finalize,cpu,recorded_terminal_state_unknown,,
931046,bci2b_subject_diffusion_replication,tests,cpu,recorded_terminal_state_unknown,,
931047,bci2b_subject_diffusion_replication,finalize,cpu,recorded_terminal_state_unknown,,
931088,bci2b_subject_diffusion_replication,clean-import,cpu,recorded_terminal_state_unknown,,
919780,benchmark_data_locator,official_benchmark_exact_name_lookup|919780|cpu,cpu,recorded_terminal_state_unknown,,
919778,benchmark_source_checkout,EEGDfus|919778|cpu,cpu,recorded_terminal_state_unknown,,
919779,benchmark_source_checkout,D4PM|919779|cpu,cpu,recorded_terminal_state_unknown,,
919639,cgdr_bc68_replay,clean-bc68f59 J0c replay 919639 completed_80_tests_real_record_validator_clean_before_and_after,unknown,completed,,
919643,cgdr_geometry_sgeyesub,J0_cpu_tests=919643,cpu,recorded_terminal_state_unknown,,
919644,cgdr_geometry_sgeyesub,SGEYESUB_metadata=919644 afterok:919643,unknown,recorded_terminal_state_unknown,,
919645,cgdr_geometry_sgeyesub,Klados_multichannel_prior=919645 afterok:919643,unknown,recorded_terminal_state_unknown,,
919646,cgdr_geometry_sgeyesub,J0_interpretation_audit=919646 afterok:919643,unknown,recorded_terminal_state_unknown,,
919647,cgdr_geometry_sgeyesub,SGEYESUB_development_records=919647 afterok:919644 array:0-14%15,unknown,recorded_terminal_state_unknown,,
919648,cgdr_geometry_sgeyesub,Klados_calibration_duration=919648 afterok:919645,unknown,recorded_terminal_state_unknown,,
919649,cgdr_geometry_sgeyesub,Klados_B6_gamma_records=919649 afterok:919645 array:0-7%8,unknown,recorded_terminal_state_unknown,,
919664,cgdr_geometry_sgeyesub,SGEYESUB_development_aggregate=919664 afterok:919647,unknown,recorded_terminal_state_unknown,,
919665,cgdr_geometry_sgeyesub,Klados_B6_gamma_aggregate=919665 afterok:919649,unknown,recorded_terminal_state_unknown,,
919681,cgdr_geometry_sgeyesub,targeted_repair_J0=919681,unknown,recorded_terminal_state_unknown,,
919682,cgdr_geometry_sgeyesub,targeted_repair_SGEYESUB_metadata=919682 afterok:919681,unknown,recorded_terminal_state_unknown,,
919683,cgdr_geometry_sgeyesub,targeted_repair_Klados_B6_records=919683 afterok:919681 array:0-7%8,unknown,recorded_terminal_state_unknown,,
919685,cgdr_geometry_sgeyesub,targeted_repair_SGEYESUB_development_records=919685 afterok:919682 array:0-14%15,unknown,recorded_terminal_state_unknown,,
919686,cgdr_geometry_sgeyesub,targeted_repair_Klados_B6_aggregate=919686 afterok:919683,unknown,recorded_terminal_state_unknown,,
919687,cgdr_geometry_sgeyesub,targeted_repair_SGEYESUB_development_aggregate=919687 afterok:919685,unknown,recorded_terminal_state_unknown,,
919714,cgdr_geometry_sgeyesub,SGEYESUB_evaluation_shard_0_14=919714 array:0-14%8,unknown,recorded_terminal_state_unknown,,
919732,cgdr_geometry_sgeyesub,SGEYESUB_evaluation_shard_15_29=919732 array:15-29%8,unknown,recorded_terminal_state_unknown,,
919748,cgdr_geometry_sgeyesub,SGEYESUB_evaluation_shard_30_43=919748 array:30-43%8,unknown,recorded_terminal_state_unknown,,
919763,cgdr_geometry_sgeyesub,SGEYESUB_evaluation_aggregate=919763,unknown,recorded_terminal_state_unknown,,
919764,cgdr_geometry_sgeyesub,final_resolved_config_J0=919764,unknown,recorded_terminal_state_unknown,,
919765,cgdr_geometry_sgeyesub,final_resolved_config_evaluation_aggregate=919765 afterok:919764,unknown,recorded_terminal_state_unknown,,
919564,cgdr_repair,J0 cpu-tests attempt-1 919564 failed_real_record_protocol_30s_support_left_no_query,cpu,failed_or_cancelled,,
919567,cgdr_repair,J0 cpu-tests attempt-2 919567 passed_61_tests_and_real_record_validation,cpu,completed,,
919571,cgdr_repair,J1 sampler-integration L40S 919571 cancelled_pending_for_user_requested_V100,L40S,failed_or_cancelled,,
919572,cgdr_repair,J2 train-prior H100 919572 cancelled_dependency_for_user_requested_V100,H100,failed_or_cancelled,,
919575,cgdr_repair,J1 sampler-integration V100-32GB attempt-1 919575 failed_engineering_path_applied_scientific_bootstrap_gate,unknown,failed_or_cancelled,,
919576,cgdr_repair,J2 train-prior V100-32GB 919576 dependency_not_satisfied_after_919575_failure,unknown,recorded_terminal_state_unknown,,
919583,cgdr_repair,J1 sampler-integration V100-32GB attempt-2 919583 passed_real_VJP_M0_M5_checkpoint_reload,unknown,completed,,
919584,cgdr_repair,J2 train-prior V100-32GB 919584 completed_200_epochs_3000_steps,unknown,completed,,
919585,cgdr_repair,J3 task-7 sim45 scheduler_job 919585 completed,unknown,completed,,
919586,cgdr_repair,J3 task-0 sim31 scheduler_job 919586 completed,unknown,completed,,
919587,cgdr_repair,J3 task-1 sim32 scheduler_job 919587 completed,unknown,completed,,
919588,cgdr_repair,J3 task-2 sim33 scheduler_job 919588 completed,unknown,completed,,
919589,cgdr_repair,J3 task-3 sim34 scheduler_job 919589 completed,unknown,completed,,
919590,cgdr_repair,J3 task-4 sim35 scheduler_job 919590 completed,unknown,completed,,
919591,cgdr_repair,J4 aggregate-development cpu-high 919591 frozen_supported_M2_trust_0p1,cpu-high,recorded_terminal_state_unknown,,
919595,cgdr_repair,J3 task-5 sim36 scheduler_job 919595 completed,unknown,completed,,
919596,cgdr_repair,J3 task-6 sim44 scheduler_job 919596 completed,unknown,completed,,
919607,cgdr_repair,J5 task-15 sim54 scheduler_job 919607 completed,unknown,completed,,
919608,cgdr_repair,J6 decision cpu-high 919608 completed_conclusion_A_operator_specificity_not_supported,cpu-high,completed,,
919609,cgdr_repair,J5 task-0 sim37 scheduler_job 919609 completed,unknown,completed,,
919610,cgdr_repair,J5 task-1 sim38 scheduler_job 919610 completed,unknown,completed,,
919611,cgdr_repair,J5 task-2 sim39 scheduler_job 919611 completed,unknown,completed,,
919612,cgdr_repair,J5 task-3 sim40 scheduler_job 919612 completed,unknown,completed,,
919613,cgdr_repair,J5 task-4 sim41 scheduler_job 919613 completed,unknown,completed,,
919614,cgdr_repair,J5 task-5 sim42 scheduler_job 919614 completed,unknown,completed,,
919615,cgdr_repair,J5 task-6 sim43 scheduler_job 919615 completed,unknown,completed,,
919616,cgdr_repair,J5 task-7 sim46 scheduler_job 919616 completed,unknown,completed,,
919617,cgdr_repair,J5 task-8 sim47 scheduler_job 919617 completed,unknown,completed,,
919618,cgdr_repair,J5 task-9 sim48 scheduler_job 919618 completed,unknown,completed,,
919619,cgdr_repair,J5 task-10 sim49 scheduler_job 919619 completed,unknown,completed,,
919620,cgdr_repair,J5 task-11 sim50 scheduler_job 919620 completed,unknown,completed,,
919621,cgdr_repair,J5 task-12 sim51 scheduler_job 919621 completed,unknown,completed,,
919622,cgdr_repair,J5 task-13 sim52 scheduler_job 919622 completed,unknown,completed,,
919623,cgdr_repair,J5 task-14 sim53 scheduler_job 919623 completed,unknown,completed,,
919631,cgdr_repair,J0b B6-algebra-tests-plus-existing-real-record-CGDR-validation 919631 completed_74_tests_but_superseded_by_gamma0_and_compatibility_contract_fix,unknown,completed,,
919634,cgdr_repair,J0c B6-final-algebra-tests-plus-existing-real-record-CGDR-validation 919634 completed_80_tests_and_existing_real_record_validation_passed,unknown,completed,,
932272,diffusion_fair_neural_prior,audit,cpu,recorded_terminal_state_unknown,,
932273,diffusion_fair_neural_prior,tests,cpu,recorded_terminal_state_unknown,,
932274,diffusion_fair_neural_prior,neural-extract-all,unknown,failed_or_cancelled,,
932275,diffusion_fair_neural_prior,technical/train-det2,gpu,failed_or_cancelled,,
932276,diffusion_fair_neural_prior,neural-extract-all,unknown,recorded_terminal_state_unknown,,
932277,diffusion_fair_neural_prior,neural-evaluate-all/neural-aggregate,unknown,failed_or_cancelled,,
932278,diffusion_fair_neural_prior,neural-aggregate,unknown,recorded_terminal_state_unknown,,
932279,diffusion_fair_neural_prior,train-det2,gpu,recorded_terminal_state_unknown,,
932280,diffusion_fair_neural_prior,train-det2,gpu,recorded_terminal_state_unknown,,
932282,diffusion_fair_neural_prior,aggregate,unknown,failed_or_cancelled,,
932284,diffusion_fair_neural_prior,technical,gpu,failed_or_cancelled,,
932286,diffusion_fair_neural_prior,neural-evaluate-all,unknown,recorded_terminal_state_unknown,,
932287,diffusion_fair_neural_prior,neural-aggregate,unknown,recorded_terminal_state_unknown,,
932288,diffusion_fair_neural_prior,neural-technical,gpu,recorded_terminal_state_unknown,,
932289,diffusion_fair_neural_prior,neural-train,gpu,failed_or_cancelled,,
932290,diffusion_fair_neural_prior,neural-infer/evaluate/aggregate,unknown,failed_or_cancelled,,
932291,diffusion_fair_neural_prior,neural-diff-evaluate-all,unknown,recorded_terminal_state_unknown,,
932292,diffusion_fair_neural_prior,neural-diff-aggregate,unknown,recorded_terminal_state_unknown,,
932293,diffusion_fair_neural_prior,technical,gpu,recorded_terminal_state_unknown,,
932294,diffusion_fair_neural_prior,tests,cpu,recorded_terminal_state_unknown,,
932301,diffusion_fair_neural_prior,train-det2,gpu,recorded_terminal_state_unknown,,
932308,diffusion_fair_neural_prior,neural-train,gpu,recorded_terminal_state_unknown,,
932309,diffusion_fair_neural_prior,neural-train,gpu,recorded_terminal_state_unknown,,
932310,diffusion_fair_neural_prior,neural-train,gpu,recorded_terminal_state_unknown,,
932311,diffusion_fair_neural_prior,neural-train,gpu,recorded_terminal_state_unknown,,
932312,diffusion_fair_neural_prior,neural-train,gpu,recorded_terminal_state_unknown,,
932324,diffusion_fair_neural_prior,train-det2,gpu,recorded_terminal_state_unknown,,
932342,diffusion_fair_neural_prior,neural-infer,gpu,recorded_terminal_state_unknown,,
932343,diffusion_fair_neural_prior,neural-diff-evaluate-all,unknown,recorded_terminal_state_unknown,,
932344,diffusion_fair_neural_prior,neural-diff-aggregate,unknown,recorded_terminal_state_unknown,,
932355,diffusion_fair_neural_prior,train-det2,gpu,recorded_terminal_state_unknown,,
932365,diffusion_fair_neural_prior,infer,gpu,recorded_terminal_state_unknown,,
932378,diffusion_fair_neural_prior,infer,gpu,recorded_terminal_state_unknown,,
932387,diffusion_fair_neural_prior,infer,gpu,recorded_terminal_state_unknown,,
932412,diffusion_fair_neural_prior,evaluate-all,unknown,recorded_terminal_state_unknown,,
932413,diffusion_fair_neural_prior,aggregate,unknown,failed_or_cancelled,,
932415,diffusion_fair_neural_prior,aggregate,unknown,recorded_terminal_state_unknown,,
932418,diffusion_fair_neural_prior,final,cpu,recorded_terminal_state_unknown,,
932419,diffusion_fair_neural_prior,tests,cpu,recorded_terminal_state_unknown,,
