subject,protocol,method,lambda,paired_psd_error_1_45,rrmse
1,same_02,LINEAR-POP,1.0,0.03944110497832298,0.061562228947877884
1,same_02,LINEAR-MATCH,0.0,0.24025270342826843,0.3287827968597412
1,same_02,LINEAR-MATCH,0.1,0.21850372850894928,0.2987925708293915
1,same_02,LINEAR-MATCH,0.2,0.19703888893127441,0.2690555155277252
1,same_02,LINEAR-MATCH,0.3,0.17571337521076202,0.2396659255027771
1,same_02,LINEAR-MATCH,0.4,0.15463435649871826,0.21076923608779907
1,same_02,LINEAR-MATCH,0.5,0.13379308581352234,0.18259957432746887
1,same_02,LINEAR-MATCH,0.6,0.11304213851690292,0.15555238723754883
1,same_02,LINEAR-MATCH,0.7,0.09287495911121368,0.1303284913301468
1,same_02,LINEAR-MATCH,0.8,0.07438044995069504,0.10821042954921722
1,same_02,LINEAR-MATCH,0.9,0.05817587301135063,0.09147950261831284
1,same_02,LINEAR-MATCH,1.0,0.04788416996598244,0.08344170451164246
1,same_02,LINEAR-WRONG,0.0,0.24025270342826843,0.3287827968597412
1,same_02,LINEAR-WRONG,0.1,0.21288764476776123,0.2904997766017914
1,same_02,LINEAR-WRONG,0.2,0.18609017133712769,0.2528799772262573
1,same_02,LINEAR-WRONG,0.3,0.1597270369529724,0.2162698358297348
1,same_02,LINEAR-WRONG,0.4,0.13407683372497559,0.1812821477651596
1,same_02,LINEAR-WRONG,0.5,0.10944077372550964,0.14906367659568787
1,same_02,LINEAR-WRONG,0.6,0.0867769718170166,0.12183161079883575
1,same_02,LINEAR-WRONG,0.7,0.06675536930561066,0.10359587520360947
1,same_02,LINEAR-WRONG,0.8,0.05059551075100899,0.0994357317686081
1,same_02,LINEAR-WRONG,0.9,0.04418584331870079,0.11094604432582855
1,same_02,LINEAR-WRONG,1.0,0.059740737080574036,0.13415208458900452
1,same_02,DET-POP,0.0,0.24025270342826843,0.3287827968597412
1,same_02,DET-POP,0.1,0.21889345347881317,0.29818814992904663
1,same_02,DET-POP,0.2,0.19784210622310638,0.2678937613964081
1,same_02,DET-POP,0.3,0.17702209949493408,0.23801445960998535
1,same_02,DET-POP,0.4,0.15652187168598175,0.20872850716114044
1,same_02,DET-POP,0.5,0.13642704486846924,0.18032526969909668
1,same_02,DET-POP,0.6,0.11689869314432144,0.15329615771770477
1,same_02,DET-POP,0.7,0.0982922688126564,0.1285111904144287
1,same_02,DET-POP,0.8,0.08156725019216537,0.10753341764211655
1,same_02,DET-POP,0.9,0.06750565022230148,0.09297659993171692
1,same_02,DET-POP,1.0,0.056631430983543396,0.08808380365371704
1,same_02,DET-MATCH,0.0,0.24025270342826843,0.3287827968597412
1,same_02,DET-MATCH,0.1,0.2190619856119156,0.2984335422515869
1,same_02,DET-MATCH,0.2,0.19820226728916168,0.26848718523979187
1,same_02,DET-MATCH,0.3,0.1775318831205368,0.23909521102905273
1,same_02,DET-MATCH,0.4,0.1572546362876892,0.21049001812934875
1,same_02,DET-MATCH,0.5,0.13733787834644318,0.1830408275127411
1,same_02,DET-MATCH,0.6,0.1177888885140419,0.1573537290096283
1,same_02,DET-MATCH,0.7,0.09899462759494781,0.13444264233112335
1,same_02,DET-MATCH,0.8,0.08235252648591995,0.11596469581127167
1,same_02,DET-MATCH,0.9,0.06877420097589493,0.10430324822664261
1,same_02,DET-MATCH,1.0,0.06010863184928894,0.1018277257680893
1,same_02,DET-WRONG,0.0,0.24025270342826843,0.3287827968597412
1,same_02,DET-WRONG,0.1,0.21362939476966858,0.29098501801490784
1,same_02,DET-WRONG,0.2,0.18765491247177124,0.2539241313934326
1,same_02,DET-WRONG,0.3,0.1622554212808609,0.21797631680965424
1,same_02,DET-WRONG,0.4,0.1377950757741928,0.18379594385623932
1,same_02,DET-WRONG,0.5,0.11461189389228821,0.15257540345191956
1,same_02,DET-WRONG,0.6,0.09373343735933304,0.12652510404586792
1,same_02,DET-WRONG,0.7,0.0765753760933876,0.10940289497375488
1,same_02,DET-WRONG,0.8,0.06430725753307343,0.10564291477203369
1,same_02,DET-WRONG,0.9,0.059489089995622635,0.11654569208621979
1,same_02,DET-WRONG,1.0,0.06588512659072876,0.13869540393352509
1,same_02,DIFF-POP,0.0,0.24025270342826843,0.3287827968597412
1,same_02,DIFF-POP,0.1,0.21907389163970947,0.29832372069358826
1,same_02,DIFF-POP,0.2,0.19821958243846893,0.26817578077316284
1,same_02,DIFF-POP,0.3,0.17764051258563995,0.2384570688009262
1,same_02,DIFF-POP,0.4,0.1573566049337387,0.20935042202472687
1,same_02,DIFF-POP,0.5,0.13748635351657867,0.1811511367559433
1,same_02,DIFF-POP,0.6,0.11822780966758728,0.15435728430747986
1,same_02,DIFF-POP,0.7,0.09982778877019882,0.1298418939113617
1,same_02,DIFF-POP,0.8,0.08326350152492523,0.10915111005306244
1,same_02,DIFF-POP,0.9,0.06954125314950943,0.09482257813215256
1,same_02,DIFF-POP,1.0,0.05924614891409874,0.08994989842176437
1,same_02,DIFF-MATCH,0.0,0.24025270342826843,0.3287827968597412
1,same_02,DIFF-MATCH,0.1,0.22053605318069458,0.29944726824760437
1,same_02,DIFF-MATCH,0.2,0.2011442482471466,0.270564466714859
1,same_02,DIFF-MATCH,0.3,0.18204088509082794,0.24229618906974792
1,same_02,DIFF-MATCH,0.4,0.16328537464141846,0.21488524973392487
1,same_02,DIFF-MATCH,0.5,0.14511966705322266,0.18870553374290466
1,same_02,DIFF-MATCH,0.6,0.12729963660240173,0.16434653103351593
1,same_02,DIFF-MATCH,0.7,0.11013256758451462,0.14274339377880096
1,same_02,DIFF-MATCH,0.8,0.09457417577505112,0.12532939016819
1,same_02,DIFF-MATCH,0.9,0.0818391814827919,0.11404004693031311
1,same_02,DIFF-MATCH,1.0,0.07300129532814026,0.11076415330171585
1,same_02,DIFF-WRONG,0.0,0.24025270342826843,0.3287827968597412
1,same_02,DIFF-WRONG,0.1,0.21383322775363922,0.29107028245925903
1,same_02,DIFF-WRONG,0.2,0.18812274932861328,0.254127562046051
1,same_02,DIFF-WRONG,0.3,0.16305594146251678,0.2183457463979721
1,same_02,DIFF-WRONG,0.4,0.13906612992286682,0.18440186977386475
1,same_02,DIFF-WRONG,0.5,0.11645840108394623,0.15351994335651398
1,same_02,DIFF-WRONG,0.6,0.0961763933300972,0.12793684005737305
1,same_02,DIFF-WRONG,0.7,0.08010109513998032,0.11136621981859207
1,same_02,DIFF-WRONG,0.8,0.06935009360313416,0.10803781449794769
1,same_02,DIFF-WRONG,0.9,0.06601926684379578,0.11906737089157104
1,same_02,DIFF-WRONG,1.0,0.07251480966806412,0.1411277800798416
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.0,0.24025270342826843,0.3287827968597412
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.1,0.2407240867614746,0.33081749081611633
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.2,0.2428353726863861,0.33509349822998047
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.3,0.24670669436454773,0.34152668714523315
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.4,0.2521405816078186,0.3499981462955475
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.5,0.2589137554168701,0.3603641390800476
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.6,0.26705634593963623,0.3724665343761444
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.7,0.2765357494354248,0.3861420154571533
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.8,0.2871079742908478,0.4012299180030823
1,same_02,DIFF-TEMPORAL-SHUFFLED,0.9,0.2985993027687073,0.41757702827453613
1,same_02,DIFF-TEMPORAL-SHUFFLED,1.0,0.31097978353500366,0.43504148721694946
1,same_03,RAW,0.0,0.11756011098623276,0.4087892770767212
1,same_03,RAW,0.1,0.11756011098623276,0.4087892770767212
1,same_03,RAW,0.2,0.11756011098623276,0.4087892770767212
1,same_03,RAW,0.3,0.11756011098623276,0.4087892770767212
1,same_03,RAW,0.4,0.11756011098623276,0.4087892770767212
1,same_03,RAW,0.5,0.11756011098623276,0.4087892770767212
1,same_03,RAW,0.6,0.11756011098623276,0.4087892770767212
1,same_03,RAW,0.7,0.11756011098623276,0.4087892770767212
1,same_03,RAW,0.8,0.11756011098623276,0.4087892770767212
1,same_03,RAW,0.9,0.11756011098623276,0.4087892770767212
1,same_03,RAW,1.0,0.11756011098623276,0.4087892770767212
1,same_03,LINEAR-POP,0.0,0.11756011098623276,0.4087892770767212
1,same_03,LINEAR-POP,0.1,0.09366342425346375,0.3420311510562897
1,same_03,LINEAR-POP,0.2,0.07081235945224762,0.2791403532028198
1,same_03,LINEAR-POP,0.3,0.05057041347026825,0.22340704500675201
1,same_03,LINEAR-POP,0.4,0.041662853211164474,0.18154743313789368
1,same_03,LINEAR-POP,0.5,0.04552780091762543,0.16451628506183624
1,same_03,LINEAR-POP,0.6,0.05785451829433441,0.1795247197151184
1,same_03,LINEAR-POP,0.7,0.07589524984359741,0.2201135903596878
1,same_03,LINEAR-POP,0.8,0.09702080488204956,0.2751877009868622
1,same_03,LINEAR-POP,0.9,0.11949006468057632,0.3377334475517273
1,same_03,LINEAR-POP,1.0,0.14280155301094055,0.40429800748825073
1,same_03,LINEAR-MATCH,0.0,0.11756011098623276,0.4087892770767212
1,same_03,LINEAR-MATCH,0.1,0.10245200246572495,0.3617905080318451
1,same_03,LINEAR-MATCH,0.2,0.08750878274440765,0.3151848316192627
1,same_03,LINEAR-MATCH,0.3,0.07279454171657562,0.26917654275894165
1,same_03,LINEAR-MATCH,0.4,0.05845557153224945,0.22413374483585358
1,same_03,LINEAR-MATCH,0.5,0.044636428356170654,0.1807795614004135
1,same_03,LINEAR-MATCH,0.6,0.03201610594987869,0.14068390429019928
1,same_03,LINEAR-MATCH,0.7,0.0240801852196455,0.10755500197410583
1,same_03,LINEAR-MATCH,0.8,0.02450426109135151,0.08949633687734604
1,same_03,LINEAR-MATCH,0.9,0.03143488988280296,0.09548041969537735
1,same_03,LINEAR-MATCH,1.0,0.04286842420697212,0.12201979011297226
1,same_03,LINEAR-WRONG,0.0,0.11756011098623276,0.4087892770767212
1,same_03,LINEAR-WRONG,0.1,0.09546632319688797,0.3356405794620514
1,same_03,LINEAR-WRONG,0.2,0.07418381422758102,0.2647102475166321
1,same_03,LINEAR-WRONG,0.3,0.05407743901014328,0.19839195907115936
1,same_03,LINEAR-WRONG,0.4,0.0376686193048954,0.143241748213768
1,same_03,LINEAR-WRONG,0.5,0.029509419575333595,0.11639575660228729
1,same_03,LINEAR-WRONG,0.6,0.029948974028229713,0.13582603633403778
1,same_03,LINEAR-WRONG,0.7,0.04500341787934303,0.1876709908246994
1,same_03,LINEAR-WRONG,0.8,0.06638963520526886,0.2527114152908325
1,same_03,LINEAR-WRONG,0.9,0.0884198546409607,0.32307377457618713
1,same_03,LINEAR-WRONG,1.0,0.11058247834444046,0.39593082666397095
1,same_03,DET-POP,0.0,0.11756011098623276,0.4087892770767212
1,same_03,DET-POP,0.1,0.09600310772657394,0.3533482253551483
1,same_03,DET-POP,0.2,0.07528303563594818,0.2993164658546448
1,same_03,DET-POP,0.3,0.056349508464336395,0.2476181834936142
1,same_03,DET-POP,0.4,0.04385887831449509,0.20007066428661346
1,same_03,DET-POP,0.5,0.04215333238244057,0.16040830314159393
1,same_03,DET-POP,0.6,0.04899067059159279,0.1357293277978897
1,same_03,DET-POP,0.7,0.06217629462480545,0.1345478892326355
1,same_03,DET-POP,0.8,0.07898648828268051,0.15739405155181885
1,same_03,DET-POP,0.9,0.0976126566529274,0.19604003429412842
1,same_03,DET-POP,1.0,0.11702203005552292,0.24306291341781616
1,same_03,DET-MATCH,0.0,0.11756011098623276,0.4087892770767212
1,same_03,DET-MATCH,0.1,0.10309116542339325,0.36058011651039124
1,same_03,DET-MATCH,0.2,0.08884289115667343,0.3127041161060333
1,same_03,DET-MATCH,0.3,0.07485523819923401,0.265341579914093
1,same_03,DET-MATCH,0.4,0.061317078769207,0.21882624924182892
1,same_03,DET-MATCH,0.5,0.04823707044124603,0.1738395094871521
1,same_03,DET-MATCH,0.6,0.0362328439950943,0.13195408880710602
1,same_03,DET-MATCH,0.7,0.026791267096996307,0.09726288914680481
1,same_03,DET-MATCH,0.8,0.023442870005965233,0.07977922260761261
1,same_03,DET-MATCH,0.9,0.02802763320505619,0.09014347940683365
1,same_03,DET-MATCH,1.0,0.03761982545256615,0.12142257392406464
1,same_03,DET-WRONG,0.0,0.11756011098623276,0.4087892770767212
1,same_03,DET-WRONG,0.1,0.0973590537905693,0.34214165806770325
1,same_03,DET-WRONG,0.2,0.07778733968734741,0.2768499255180359
1,same_03,DET-WRONG,0.3,0.05940721184015274,0.21415765583515167
1,same_03,DET-WRONG,0.4,0.04346818849444389,0.15720626711845398
1,same_03,DET-WRONG,0.5,0.03324494510889053,0.11487735062837601
1,same_03,DET-WRONG,0.6,0.03157566860318184,0.10636011511087418
1,same_03,DET-WRONG,0.7,0.039620961993932724,0.13806095719337463
1,same_03,DET-WRONG,0.8,0.05451854690909386,0.19089750945568085
1,same_03,DET-WRONG,0.9,0.07236947119235992,0.25190386176109314
1,same_03,DET-WRONG,1.0,0.09129593521356583,0.31638893485069275
1,same_03,DIFF-POP,0.0,0.11756011098623276,0.4087892770767212
1,same_03,DIFF-POP,0.1,0.09625288844108582,0.3534284830093384
1,same_03,DIFF-POP,0.2,0.0758095309138298,0.2995365858078003
1,same_03,DIFF-POP,0.3,0.05718225613236427,0.24807260930538177
1,same_03,DIFF-POP,0.4,0.04438143968582153,0.20091120898723602
1,same_03,DIFF-POP,0.5,0.04184279590845108,0.16185800731182098
1,same_03,DIFF-POP,0.6,0.048366986215114594,0.13797873258590698
1,same_03,DIFF-POP,0.7,0.06108402460813522,0.13742513954639435
1,same_03,DIFF-POP,0.8,0.07764607667922974,0.16043883562088013
1,same_03,DIFF-POP,0.9,0.0959932953119278,0.19900496304035187
1,same_03,DIFF-POP,1.0,0.11518989503383636,0.245912104845047
1,same_03,DIFF-MATCH,0.0,0.11756011098623276,0.4087892770767212
1,same_03,DIFF-MATCH,0.1,0.10371994227170944,0.3616831600666046
1,same_03,DIFF-MATCH,0.2,0.0901317149400711,0.3149515390396118
1,same_03,DIFF-MATCH,0.3,0.07685846835374832,0.26878979802131653
1,same_03,DIFF-MATCH,0.4,0.06404928863048553,0.2235511988401413
1,same_03,DIFF-MATCH,0.5,0.05179620906710625,0.17993345856666565
1,same_03,DIFF-MATCH,0.6,0.04071018472313881,0.13946567475795746
1,same_03,DIFF-MATCH,0.7,0.031894173473119736,0.10582539439201355
1,same_03,DIFF-MATCH,0.8,0.027731265872716904,0.08729874342679977
1,same_03,DIFF-MATCH,0.9,0.02986319549381733,0.09336403012275696
1,same_03,DIFF-MATCH,1.0,0.037222299724817276,0.12035916745662689
1,same_03,DIFF-WRONG,0.0,0.11756011098623276,0.4087892770767212
1,same_03,DIFF-WRONG,0.1,0.0975341796875,0.342683881521225
1,same_03,DIFF-WRONG,0.2,0.07815472036600113,0.277934730052948
1,same_03,DIFF-WRONG,0.3,0.060158465057611465,0.21576623618602753
1,same_03,DIFF-WRONG,0.4,0.04475012421607971,0.15923039615154266
1,same_03,DIFF-WRONG,0.5,0.03489064797759056,0.11681374162435532
1,same_03,DIFF-WRONG,0.6,0.03303643688559532,0.10690401494503021
1,same_03,DIFF-WRONG,0.7,0.04079937934875488,0.13676026463508606
1,same_03,DIFF-WRONG,0.8,0.055173348635435104,0.18833523988723755
1,same_03,DIFF-WRONG,0.9,0.07248786836862564,0.24845285713672638
1,same_03,DIFF-WRONG,1.0,0.0910262018442154,0.3122169077396393
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.0,0.11756011098623276,0.4087892770767212
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.1,0.11842337995767593,0.41834452748298645
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.2,0.12097454071044922,0.431843638420105
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.3,0.12498485296964645,0.448930948972702
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.4,0.1303684115409851,0.469214528799057
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.5,0.13697175681591034,0.49229952692985535
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.6,0.14468806982040405,0.5178114175796509
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.7,0.15328168869018555,0.5454097390174866
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.8,0.16268227994441986,0.5747940540313721
1,same_03,DIFF-TEMPORAL-SHUFFLED,0.9,0.17285796999931335,0.6057043671607971
1,same_03,DIFF-TEMPORAL-SHUFFLED,1.0,0.18351934850215912,0.6379190683364868
2,same_01,RAW,0.0,0.20303533971309662,0.4466257393360138
2,same_01,RAW,0.1,0.20303533971309662,0.4466257393360138
2,same_01,RAW,0.2,0.20303533971309662,0.4466257393360138
2,same_01,RAW,0.3,0.20303533971309662,0.4466257393360138
2,same_01,RAW,0.4,0.20303533971309662,0.4466257393360138
2,same_01,RAW,0.5,0.20303533971309662,0.4466257393360138
2,same_01,RAW,0.6,0.20303533971309662,0.4466257393360138
2,same_01,RAW,0.7,0.20303533971309662,0.4466257393360138
2,same_01,RAW,0.8,0.20303533971309662,0.4466257393360138
