subject,protocol,k,method,panel,band,error,utility,distortion
1,same_01,8,DET-WRONG,natural,high_frequency_secondary,,,0.27637945218347126
1,same_01,8,DIFF-WRONG,natural,delta,,,0.19832364483081352
1,same_01,8,DIFF-WRONG,natural,theta,,,0.11797776418860767
1,same_01,8,DIFF-WRONG,natural,alpha,,,0.06391894535453278
1,same_01,8,DIFF-WRONG,natural,beta,,,0.05593595716583261
1,same_01,8,DIFF-WRONG,natural,low_gamma,,,0.08955850344105203
1,same_01,8,DIFF-WRONG,natural,high_frequency_secondary,,,0.22310789841431153
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,delta,,,0.06821472077265006
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,theta,,,0.043865251709048626
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,alpha,,,0.029396580270618578
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,beta,,,0.029879478957821635
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,low_gamma,,,0.06406745734859731
1,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,high_frequency_secondary,,,0.1518543964527027
1,same_02,8,RAW,paired,delta,0.22931551933288574,0.0,
1,same_02,8,RAW,paired,theta,0.15831725299358368,0.0,
1,same_02,8,RAW,paired,alpha,0.12393034994602203,0.0,
1,same_02,8,RAW,paired,beta,0.15645650029182434,0.0,
1,same_02,8,RAW,paired,low_gamma,0.38869303464889526,0.0,
1,same_02,8,RAW,paired,high_frequency_secondary,0.6709726452827454,0.0,
1,same_02,8,LINEAR-POP,paired,delta,0.0416303314268589,0.18768518790602684,
1,same_02,8,LINEAR-POP,paired,theta,0.037635382264852524,0.12068187072873116,
1,same_02,8,LINEAR-POP,paired,alpha,0.02738591656088829,0.09654443338513374,
1,same_02,8,LINEAR-POP,paired,beta,0.026473764330148697,0.12998273596167564,
1,same_02,8,LINEAR-POP,paired,low_gamma,0.05718183517456055,0.3315111994743347,
1,same_02,8,LINEAR-POP,paired,high_frequency_secondary,0.09478658437728882,0.5761860609054565,
1,same_02,8,DET-POP,paired,delta,0.07290515303611755,0.1564103662967682,
1,same_02,8,DET-POP,paired,theta,0.05227027088403702,0.10604698210954666,
1,same_02,8,DET-POP,paired,alpha,0.03539831191301346,0.08853203803300858,
1,same_02,8,DET-POP,paired,beta,0.03622099384665489,0.12023550644516945,
1,same_02,8,DET-POP,paired,low_gamma,0.08236321061849594,0.3063298240303993,
1,same_02,8,DET-POP,paired,high_frequency_secondary,0.14076273143291473,0.5302099138498306,
1,same_02,8,DIFF-POP,paired,delta,0.07258284091949463,0.1567326784133911,
1,same_02,8,DIFF-POP,paired,theta,0.05189776420593262,0.10641948878765106,
1,same_02,8,DIFF-POP,paired,alpha,0.035482730716466904,0.08844761922955513,
1,same_02,8,DIFF-POP,paired,beta,0.03683893010020256,0.11961757019162178,
1,same_02,8,DIFF-POP,paired,low_gamma,0.08907490223646164,0.2996181324124336,
1,same_02,8,DIFF-POP,paired,high_frequency_secondary,0.16882117092609406,0.5021514743566513,
1,same_02,8,LINEAR-MATCH,paired,delta,0.05849500373005867,0.17082051560282707,
1,same_02,8,LINEAR-MATCH,paired,theta,0.038692545145750046,0.11962470784783363,
1,same_02,8,LINEAR-MATCH,paired,alpha,0.0320710726082325,0.09185927733778954,
1,same_02,8,LINEAR-MATCH,paired,beta,0.03249029815196991,0.12396620213985443,
1,same_02,8,LINEAR-MATCH,paired,low_gamma,0.06875157356262207,0.3199414610862732,
1,same_02,8,LINEAR-MATCH,paired,high_frequency_secondary,0.11906979233026505,0.5519028529524803,
1,same_02,8,DET-MATCH,paired,delta,0.07543708384037018,0.15387843549251556,
1,same_02,8,DET-MATCH,paired,theta,0.04996660351753235,0.10835064947605133,
1,same_02,8,DET-MATCH,paired,alpha,0.03621085360646248,0.08771949633955956,
1,same_02,8,DET-MATCH,paired,beta,0.038733262568712234,0.1177232377231121,
1,same_02,8,DET-MATCH,paired,low_gamma,0.08959896117448807,0.2990940734744072,
1,same_02,8,DET-MATCH,paired,high_frequency_secondary,0.15613755583763123,0.5148350894451141,
1,same_02,8,DIFF-MATCH,paired,delta,0.0727614164352417,0.15655410289764404,
1,same_02,8,DIFF-MATCH,paired,theta,0.04732242599129677,0.11099482700228691,
1,same_02,8,DIFF-MATCH,paired,alpha,0.03525976464152336,0.08867058530449867,
1,same_02,8,DIFF-MATCH,paired,beta,0.04453328624367714,0.1119232140481472,
1,same_02,8,DIFF-MATCH,paired,low_gamma,0.12184035778045654,0.2668526768684387,
1,same_02,8,DIFF-MATCH,paired,high_frequency_secondary,0.2095036804676056,0.46146896481513977,
1,same_02,8,LINEAR-WRONG,paired,delta,0.08096090704202652,0.14835461229085922,
1,same_02,8,LINEAR-WRONG,paired,theta,0.06388493627309799,0.09443231672048569,
1,same_02,8,LINEAR-WRONG,paired,alpha,0.04530287906527519,0.07862747088074684,
1,same_02,8,LINEAR-WRONG,paired,beta,0.04252774268388748,0.11392875760793686,
1,same_02,8,LINEAR-WRONG,paired,low_gamma,0.07683796435594559,0.3118550702929497,
1,same_02,8,LINEAR-WRONG,paired,high_frequency_secondary,0.1287764012813568,0.5421962440013885,
1,same_02,8,DET-WRONG,paired,delta,0.11791466176509857,0.11140085756778717,
1,same_02,8,DET-WRONG,paired,theta,0.08509009331464767,0.073227159678936,
1,same_02,8,DET-WRONG,paired,alpha,0.05482334643602371,0.06910700350999832,
1,same_02,8,DET-WRONG,paired,beta,0.045495472848415375,0.11096102744340897,
1,same_02,8,DET-WRONG,paired,low_gamma,0.07496829330921173,0.31372474133968353,
1,same_02,8,DET-WRONG,paired,high_frequency_secondary,0.1255595088005066,0.5454131364822388,
1,same_02,8,DIFF-WRONG,paired,delta,0.12054085731506348,0.10877466201782227,
1,same_02,8,DIFF-WRONG,paired,theta,0.08620728552341461,0.07210996747016907,
1,same_02,8,DIFF-WRONG,paired,alpha,0.05697939172387123,0.0669509582221508,
1,same_02,8,DIFF-WRONG,paired,beta,0.04903169348835945,0.10742480680346489,
1,same_02,8,DIFF-WRONG,paired,low_gamma,0.08852453529834747,0.3001684993505478,
1,same_02,8,DIFF-WRONG,paired,high_frequency_secondary,0.14943045377731323,0.5215421915054321,
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,delta,0.34060606360435486,-0.11129054427146912,
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,theta,0.23328018188476562,-0.07496292889118195,
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,alpha,0.1642342060804367,-0.04030385613441467,
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,beta,0.20193231105804443,-0.04547581076622009,
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,low_gamma,0.4856674373149872,-0.09697440266609192,
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,high_frequency_secondary,0.7749144434928894,-0.10394179821014404,
1,same_02,8,RAW,natural,delta,,,0.0
1,same_02,8,RAW,natural,theta,,,0.0
1,same_02,8,RAW,natural,alpha,,,0.0
1,same_02,8,RAW,natural,beta,,,0.0
1,same_02,8,RAW,natural,low_gamma,,,0.0
1,same_02,8,RAW,natural,high_frequency_secondary,,,0.0
1,same_02,8,LINEAR-POP,natural,delta,,,0.15598131149946964
1,same_02,8,LINEAR-POP,natural,theta,,,0.11898260061281953
1,same_02,8,LINEAR-POP,natural,alpha,,,0.07184413937240688
1,same_02,8,LINEAR-POP,natural,beta,,,0.04230428183671079
1,same_02,8,LINEAR-POP,natural,low_gamma,,,0.16380815779040633
1,same_02,8,LINEAR-POP,natural,high_frequency_secondary,,,0.4742675227399016
1,same_02,8,DET-POP,natural,delta,,,0.20566945958072466
1,same_02,8,DET-POP,natural,theta,,,0.1379751746901596
1,same_02,8,DET-POP,natural,alpha,,,0.07506162959457274
1,same_02,8,DET-POP,natural,beta,,,0.04646938143213218
1,same_02,8,DET-POP,natural,low_gamma,,,0.1304499376333341
1,same_02,8,DET-POP,natural,high_frequency_secondary,,,0.385319691330983
1,same_02,8,DIFF-POP,natural,delta,,,0.19856011114564123
1,same_02,8,DIFF-POP,natural,theta,,,0.13425704354849324
1,same_02,8,DIFF-POP,natural,alpha,,,0.07419473624383935
1,same_02,8,DIFF-POP,natural,beta,,,0.04442568980108863
1,same_02,8,DIFF-POP,natural,low_gamma,,,0.12652364585743056
1,same_02,8,DIFF-POP,natural,high_frequency_secondary,,,0.3272538006551536
1,same_02,8,LINEAR-MATCH,natural,delta,,,0.15323799975421637
1,same_02,8,LINEAR-MATCH,natural,theta,,,0.1162216694033077
1,same_02,8,LINEAR-MATCH,natural,alpha,,,0.06882954199378565
1,same_02,8,LINEAR-MATCH,natural,beta,,,0.040488734360533025
1,same_02,8,LINEAR-MATCH,natural,low_gamma,,,0.16359662502098046
1,same_02,8,LINEAR-MATCH,natural,high_frequency_secondary,,,0.4613481061487576
1,same_02,8,DET-MATCH,natural,delta,,,0.19878786681307523
1,same_02,8,DET-MATCH,natural,theta,,,0.13504609871141657
1,same_02,8,DET-MATCH,natural,alpha,,,0.07174983342045567
1,same_02,8,DET-MATCH,natural,beta,,,0.0438463342420091
1,same_02,8,DET-MATCH,natural,low_gamma,,,0.13272825622298795
1,same_02,8,DET-MATCH,natural,high_frequency_secondary,,,0.3812390896165353
1,same_02,8,DIFF-MATCH,natural,delta,,,0.19059028780836934
1,same_02,8,DIFF-MATCH,natural,theta,,,0.1299967549788838
1,same_02,8,DIFF-MATCH,natural,alpha,,,0.07042746066403768
1,same_02,8,DIFF-MATCH,natural,beta,,,0.040340633394946486
1,same_02,8,DIFF-MATCH,natural,low_gamma,,,0.11580417933093265
1,same_02,8,DIFF-MATCH,natural,high_frequency_secondary,,,0.3199525104777351
1,same_02,8,LINEAR-WRONG,natural,delta,,,0.2014778407116539
1,same_02,8,LINEAR-WRONG,natural,theta,,,0.15157985120613038
1,same_02,8,LINEAR-WRONG,natural,alpha,,,0.09088891418293589
1,same_02,8,LINEAR-WRONG,natural,beta,,,0.051948960278382916
1,same_02,8,LINEAR-WRONG,natural,low_gamma,,,0.22876638442156286
1,same_02,8,LINEAR-WRONG,natural,high_frequency_secondary,,,0.6577227559868543
1,same_02,8,DET-WRONG,natural,delta,,,0.24884948253562345
1,same_02,8,DET-WRONG,natural,theta,,,0.1667168944129463
1,same_02,8,DET-WRONG,natural,alpha,,,0.0929153671158813
1,same_02,8,DET-WRONG,natural,beta,,,0.0552037443795068
1,same_02,8,DET-WRONG,natural,low_gamma,,,0.19065264538579332
1,same_02,8,DET-WRONG,natural,high_frequency_secondary,,,0.5704116184412431
1,same_02,8,DIFF-WRONG,natural,delta,,,0.24375574900635955
1,same_02,8,DIFF-WRONG,natural,theta,,,0.16434175641847665
1,same_02,8,DIFF-WRONG,natural,alpha,,,0.09297588602850884
1,same_02,8,DIFF-WRONG,natural,beta,,,0.05443593269361342
1,same_02,8,DIFF-WRONG,natural,low_gamma,,,0.1848750443297989
1,same_02,8,DIFF-WRONG,natural,high_frequency_secondary,,,0.48815895454217084
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,delta,,,0.10064976599170182
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,theta,,,0.07271833205003984
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,alpha,,,0.04969599820547829
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,beta,,,0.027734911422243488
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,low_gamma,,,0.11975010822573352
1,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,high_frequency_secondary,,,0.26968258971153986
1,same_03,8,RAW,paired,delta,0.2301064431667328,0.0,
1,same_03,8,RAW,paired,theta,0.13259297609329224,0.0,
1,same_03,8,RAW,paired,alpha,0.09384480118751526,0.0,
1,same_03,8,RAW,paired,beta,0.08606113493442535,0.0,
1,same_03,8,RAW,paired,low_gamma,0.1284618228673935,0.0,
1,same_03,8,RAW,paired,high_frequency_secondary,0.31245800852775574,0.0,
1,same_03,8,LINEAR-POP,paired,delta,0.18197517096996307,0.048131272196769714,
1,same_03,8,LINEAR-POP,paired,theta,0.11733448505401611,0.015258491039276123,
1,same_03,8,LINEAR-POP,paired,alpha,0.09733117371797562,-0.0034863725304603577,
1,same_03,8,LINEAR-POP,paired,beta,0.11709292232990265,-0.031031787395477295,
1,same_03,8,LINEAR-POP,paired,low_gamma,0.18101820349693298,-0.05255638062953949,
1,same_03,8,LINEAR-POP,paired,high_frequency_secondary,0.4433978497982025,-0.13093984127044678,
1,same_03,8,DET-POP,paired,delta,0.13749365508556366,0.09261278808116913,
1,same_03,8,DET-POP,paired,theta,0.09448063373565674,0.0381123423576355,
1,same_03,8,DET-POP,paired,alpha,0.08370925486087799,0.010135546326637268,
1,same_03,8,DET-POP,paired,beta,0.09702067077159882,-0.010959535837173462,
1,same_03,8,DET-POP,paired,low_gamma,0.150163933634758,-0.021702110767364502,
1,same_03,8,DET-POP,paired,high_frequency_secondary,0.3416302800178528,-0.029172271490097046,
1,same_03,8,DIFF-POP,paired,delta,0.14060083031654358,0.08950561285018921,
1,same_03,8,DIFF-POP,paired,theta,0.09478706121444702,0.037805914878845215,
1,same_03,8,DIFF-POP,paired,alpha,0.08405430614948273,0.009790495038032532,
1,same_03,8,DIFF-POP,paired,beta,0.09635836631059647,-0.010297231376171112,
1,same_03,8,DIFF-POP,paired,low_gamma,0.14473481476306915,-0.01627299189567566,
1,same_03,8,DIFF-POP,paired,high_frequency_secondary,0.3108314871788025,0.001626521348953247,
1,same_03,8,LINEAR-MATCH,paired,delta,0.04932461306452751,0.18078183010220528,
1,same_03,8,LINEAR-MATCH,paired,theta,0.031205259263515472,0.10138771682977676,
1,same_03,8,LINEAR-MATCH,paired,alpha,0.02843019925057888,0.06541460193693638,
1,same_03,8,LINEAR-MATCH,paired,beta,0.0356428287923336,0.05041830614209175,
1,same_03,8,LINEAR-MATCH,paired,low_gamma,0.05616273358464241,0.07229908928275108,
1,same_03,8,LINEAR-MATCH,paired,high_frequency_secondary,0.13806430995464325,0.1743936985731125,
1,same_03,8,DET-MATCH,paired,delta,0.06956735253334045,0.16053909063339233,
1,same_03,8,DET-MATCH,paired,theta,0.04131258651614189,0.09128038957715034,
1,same_03,8,DET-MATCH,paired,alpha,0.031072454527020454,0.0627723466604948,
1,same_03,8,DET-MATCH,paired,beta,0.02868824638426304,0.057372888550162315,
1,same_03,8,DET-MATCH,paired,low_gamma,0.04119159281253815,0.08727023005485535,
1,same_03,8,DET-MATCH,paired,high_frequency_secondary,0.08496582508087158,0.22749218344688416,
1,same_03,8,DIFF-MATCH,paired,delta,0.07023107260465622,0.15987537056207657,
1,same_03,8,DIFF-MATCH,paired,theta,0.04001961648464203,0.09257335960865021,
1,same_03,8,DIFF-MATCH,paired,alpha,0.029788509011268616,0.06405629217624664,
1,same_03,8,DIFF-MATCH,paired,beta,0.026638248935341835,0.05942288599908352,
1,same_03,8,DIFF-MATCH,paired,low_gamma,0.04272787645459175,0.08573394641280174,
1,same_03,8,DIFF-MATCH,paired,high_frequency_secondary,0.1328018456697464,0.17965616285800934,
1,same_03,8,LINEAR-WRONG,paired,delta,0.26472556591033936,-0.03461912274360657,
1,same_03,8,LINEAR-WRONG,paired,theta,0.1501549929380417,-0.01756201684474945,
1,same_03,8,LINEAR-WRONG,paired,alpha,0.09180773049592972,0.0020370706915855408,
1,same_03,8,LINEAR-WRONG,paired,beta,0.07656531780958176,0.009495817124843597,
1,same_03,8,LINEAR-WRONG,paired,low_gamma,0.10773973912000656,0.020722083747386932,
1,same_03,8,LINEAR-WRONG,paired,high_frequency_secondary,0.26226961612701416,0.05018839240074158,
1,same_03,8,DET-WRONG,paired,delta,0.18656045198440552,0.04354599118232727,
1,same_03,8,DET-WRONG,paired,theta,0.12059501558542252,0.01199796050786972,
1,same_03,8,DET-WRONG,paired,alpha,0.08269670605659485,0.01114809513092041,
1,same_03,8,DET-WRONG,paired,beta,0.067164845764637,0.01889628916978836,
1,same_03,8,DET-WRONG,paired,low_gamma,0.09099282324314117,0.03746899962425232,
1,same_03,8,DET-WRONG,paired,high_frequency_secondary,0.20786210894584656,0.10459589958190918,
1,same_03,8,DIFF-WRONG,paired,delta,0.17917606234550476,0.05093038082122803,
1,same_03,8,DIFF-WRONG,paired,theta,0.116478830575943,0.016114145517349243,
1,same_03,8,DIFF-WRONG,paired,alpha,0.07983560860157013,0.01400919258594513,
1,same_03,8,DIFF-WRONG,paired,beta,0.06710235029459,0.018958784639835358,
1,same_03,8,DIFF-WRONG,paired,low_gamma,0.09405457228422165,0.034407250583171844,
1,same_03,8,DIFF-WRONG,paired,high_frequency_secondary,0.21914450824260712,0.09331350028514862,
1,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,delta,0.3937608599662781,-0.1636544167995453,
1,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,theta,0.20962516963481903,-0.0770321935415268,
1,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,alpha,0.14854523539543152,-0.05470043420791626,
1,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,beta,0.1347103714942932,-0.04864923655986786,
1,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,low_gamma,0.1925152689218521,-0.06405344605445862,
1,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,high_frequency_secondary,0.44348472356796265,-0.1310267150402069,
1,same_03,8,RAW,natural,delta,,,0.0
1,same_03,8,RAW,natural,theta,,,0.0
1,same_03,8,RAW,natural,alpha,,,0.0
1,same_03,8,RAW,natural,beta,,,0.0
1,same_03,8,RAW,natural,low_gamma,,,0.0
1,same_03,8,RAW,natural,high_frequency_secondary,,,0.0
1,same_03,8,LINEAR-POP,natural,delta,,,0.1939801660515047
1,same_03,8,LINEAR-POP,natural,theta,,,0.13842276793285288
1,same_03,8,LINEAR-POP,natural,alpha,,,0.10370350977484308
1,same_03,8,LINEAR-POP,natural,beta,,,0.06021153576098405
1,same_03,8,LINEAR-POP,natural,low_gamma,,,0.08375067657074498
1,same_03,8,LINEAR-POP,natural,high_frequency_secondary,,,0.4406064268393997
1,same_03,8,DET-POP,natural,delta,,,0.23059339449443733
1,same_03,8,DET-POP,natural,theta,,,0.15908057774795417
