subject,protocol,k,method,rrmse,correlation,delta_snr,paired_psd_error_1_45,paired_spectral_utility
3,same_02,8,LINEAR-WRONG,0.17367736995220184,0.9856593787306384,7.916876792907715,0.062365394085645676,0.2138969488441944
3,same_02,8,DET-WRONG,0.14839816093444824,0.9889565905218495,9.283171653747559,0.08722826093435287,0.1890340819954872
3,same_02,8,DIFF-WRONG,0.1508622020483017,0.9886046807705949,9.140132904052734,0.09670735895633698,0.1795549839735031
3,same_02,8,DIFF-TEMPORAL-SHUFFLED,0.549472451210022,0.8739410409925844,-2.087177276611328,0.3765820860862732,-0.1003197431564331
3,same_03,8,RAW,0.31134602427482605,0.9553968950664986,0.0,0.14437954127788544,0.0
3,same_03,8,LINEAR-POP,0.1013539731502533,0.9949686645137928,9.748051643371582,0.06184354051947594,0.0825360007584095
3,same_03,8,DET-POP,0.11510095000267029,0.9936796319874057,8.643288612365723,0.06405489891767502,0.08032464236021042
3,same_03,8,DIFF-POP,0.11404749751091003,0.993704186893908,8.723151206970215,0.06835786998271942,0.07602167129516602
3,same_03,8,LINEAR-MATCH,0.014026924967765808,0.9999013515006239,26.92561912536621,0.006647633388638496,0.13773190788924694
3,same_03,8,DET-MATCH,0.0674269050359726,0.9979279047219812,13.288202285766602,0.040915872901678085,0.10346366837620735
3,same_03,8,DIFF-MATCH,0.07142043113708496,0.9975676679096939,12.78841781616211,0.04907417669892311,0.09530536457896233
3,same_03,8,LINEAR-WRONG,0.0859609991312027,0.9963278304168313,11.178837776184082,0.020305713638663292,0.12407382763922215
3,same_03,8,DET-WRONG,0.0830935686826706,0.9966538757227639,11.473518371582031,0.04526110365986824,0.0991184376180172
3,same_03,8,DIFF-WRONG,0.08444114774465561,0.9964956853885719,11.333784103393555,0.05022288113832474,0.0941566601395607
3,same_03,8,DIFF-TEMPORAL-SHUFFLED,0.38984745740890503,0.9260957767504211,-1.9530282020568848,0.20793946087360382,-0.06355991959571838
3,same_01,32,RAW,0.3934550881385803,0.9357966113626329,0.0,0.2488958090543747,0.0
3,same_01,32,LINEAR-POP,0.1499183028936386,0.9892214652959814,8.380809783935547,0.10442444682121277,0.14447136223316193
3,same_01,32,DET-POP,0.14748552441596985,0.989113382690206,8.522915840148926,0.11318256705999374,0.13571324199438095
3,same_01,32,DIFF-POP,0.14856190979480743,0.9889410487594384,8.45975399017334,0.11386889219284058,0.13502691686153412
3,same_01,32,LINEAR-MATCH,0.051412612199783325,0.9987371855315342,17.676509857177734,0.033918801695108414,0.21497700735926628
3,same_01,32,DET-MATCH,0.07348605245351791,0.9973786191312396,14.573806762695312,0.0550822839140892,0.1938135251402855
3,same_01,32,DIFF-MATCH,0.0807436928153038,0.9967854801611302,13.755732536315918,0.060794152319431305,0.1881016567349434
3,same_01,32,LINEAR-WRONG,0.1541782170534134,0.988658190229721,8.137444496154785,0.08366356790065765,0.16523224115371704
3,same_01,32,DET-WRONG,0.14680348336696625,0.9891940423416842,8.563176155090332,0.09692677855491638,0.1519690304994583
3,same_01,32,DIFF-WRONG,0.1474037617444992,0.9891001849078569,8.527732849121094,0.09710399806499481,0.15179181098937988
3,same_01,32,DIFF-TEMPORAL-SHUFFLED,0.5100368857383728,0.8906232632057619,-2.2541282176971436,0.3459031283855438,-0.09700731933116913
3,same_02,32,RAW,0.4321027994155884,0.921482270050477,0.0,0.2762623429298401,0.0
