subject,protocol,method,panel,band,error,utility,distortion
1,same_03,RAW,paired,alpha,0.09384480118751526,0.0,
1,same_03,RAW,paired,beta,0.08606113493442535,0.0,
1,same_03,RAW,paired,low_gamma,0.1284618228673935,0.0,
1,same_03,RAW,paired,high_frequency_secondary,0.31245800852775574,0.0,
1,same_03,RAW,natural,delta,,,0.0
1,same_03,RAW,natural,theta,,,0.0
1,same_03,RAW,natural,alpha,,,0.0
1,same_03,RAW,natural,beta,,,0.0
1,same_03,RAW,natural,low_gamma,,,0.0
1,same_03,RAW,natural,high_frequency_secondary,,,0.0
1,same_03,LINEAR-POP,paired,delta,0.18197517096996307,0.048131272196769714,
1,same_03,LINEAR-POP,paired,theta,0.11733448505401611,0.015258491039276123,
1,same_03,LINEAR-POP,paired,alpha,0.09733117371797562,-0.0034863725304603577,
1,same_03,LINEAR-POP,paired,beta,0.11709292232990265,-0.031031787395477295,
1,same_03,LINEAR-POP,paired,low_gamma,0.18101820349693298,-0.05255638062953949,
1,same_03,LINEAR-POP,paired,high_frequency_secondary,0.4433978497982025,-0.13093984127044678,
1,same_03,LINEAR-POP,natural,delta,,,0.1939801660515047
1,same_03,LINEAR-POP,natural,theta,,,0.13842276793285288
1,same_03,LINEAR-POP,natural,alpha,,,0.10370350977484308
1,same_03,LINEAR-POP,natural,beta,,,0.06021153576098405
1,same_03,LINEAR-POP,natural,low_gamma,,,0.08375067657074498
1,same_03,LINEAR-POP,natural,high_frequency_secondary,,,0.4406064268393997
1,same_03,LINEAR-MATCH,paired,delta,0.04932461306452751,0.18078183010220528,
1,same_03,LINEAR-MATCH,paired,theta,0.031205259263515472,0.10138771682977676,
1,same_03,LINEAR-MATCH,paired,alpha,0.02843019925057888,0.06541460193693638,
1,same_03,LINEAR-MATCH,paired,beta,0.0356428287923336,0.05041830614209175,
1,same_03,LINEAR-MATCH,paired,low_gamma,0.05616273358464241,0.07229908928275108,
1,same_03,LINEAR-MATCH,paired,high_frequency_secondary,0.13806430995464325,0.1743936985731125,
1,same_03,LINEAR-MATCH,natural,delta,,,0.13548963599723024
1,same_03,LINEAR-MATCH,natural,theta,,,0.09802866229183715
1,same_03,LINEAR-MATCH,natural,alpha,,,0.07455187891710349
1,same_03,LINEAR-MATCH,natural,beta,,,0.044669684222155476
1,same_03,LINEAR-MATCH,natural,low_gamma,,,0.04844080097380405
1,same_03,LINEAR-MATCH,natural,high_frequency_secondary,,,0.16656118726017666
1,same_03,LINEAR-WRONG,paired,delta,0.26472556591033936,-0.03461912274360657,
1,same_03,LINEAR-WRONG,paired,theta,0.1501549929380417,-0.01756201684474945,
1,same_03,LINEAR-WRONG,paired,alpha,0.09180773049592972,0.0020370706915855408,
1,same_03,LINEAR-WRONG,paired,beta,0.07656531780958176,0.009495817124843597,
1,same_03,LINEAR-WRONG,paired,low_gamma,0.10773973912000656,0.020722083747386932,
1,same_03,LINEAR-WRONG,paired,high_frequency_secondary,0.26226961612701416,0.05018839240074158,
1,same_03,LINEAR-WRONG,natural,delta,,,0.18834691117859126
1,same_03,LINEAR-WRONG,natural,theta,,,0.12787257201925561
1,same_03,LINEAR-WRONG,natural,alpha,,,0.10003854738747989
1,same_03,LINEAR-WRONG,natural,beta,,,0.05551009118984621
1,same_03,LINEAR-WRONG,natural,low_gamma,,,0.07115038365690027
1,same_03,LINEAR-WRONG,natural,high_frequency_secondary,,,0.3267887503720309
1,same_03,DET-POP,paired,delta,0.13749365508556366,0.09261278808116913,
1,same_03,DET-POP,paired,theta,0.09448063373565674,0.0381123423576355,
1,same_03,DET-POP,paired,alpha,0.08370925486087799,0.010135546326637268,
1,same_03,DET-POP,paired,beta,0.09702067077159882,-0.010959535837173462,
1,same_03,DET-POP,paired,low_gamma,0.150163933634758,-0.021702110767364502,
1,same_03,DET-POP,paired,high_frequency_secondary,0.3416302800178528,-0.029172271490097046,
1,same_03,DET-POP,natural,delta,,,0.23059339449443733
1,same_03,DET-POP,natural,theta,,,0.15908057774795417
1,same_03,DET-POP,natural,alpha,,,0.10770810526121118
1,same_03,DET-POP,natural,beta,,,0.06410562547394627
1,same_03,DET-POP,natural,low_gamma,,,0.07586559567172979
1,same_03,DET-POP,natural,high_frequency_secondary,,,0.33364360848164826
1,same_03,DET-MATCH,paired,delta,0.06956735253334045,0.16053909063339233,
1,same_03,DET-MATCH,paired,theta,0.04131258651614189,0.09128038957715034,
1,same_03,DET-MATCH,paired,alpha,0.031072454527020454,0.0627723466604948,
1,same_03,DET-MATCH,paired,beta,0.02868824638426304,0.057372888550162315,
1,same_03,DET-MATCH,paired,low_gamma,0.04119159281253815,0.08727023005485535,
1,same_03,DET-MATCH,paired,high_frequency_secondary,0.08496582508087158,0.22749218344688416,
1,same_03,DET-MATCH,natural,delta,,,0.17150031401904078
1,same_03,DET-MATCH,natural,theta,,,0.11807783245405215
1,same_03,DET-MATCH,natural,alpha,,,0.07853229405918304
1,same_03,DET-MATCH,natural,beta,,,0.04998162898957739
1,same_03,DET-MATCH,natural,low_gamma,,,0.05076328975043569
1,same_03,DET-MATCH,natural,high_frequency_secondary,,,0.1004424169140796
1,same_03,DET-WRONG,paired,delta,0.18656045198440552,0.04354599118232727,
1,same_03,DET-WRONG,paired,theta,0.12059501558542252,0.01199796050786972,
1,same_03,DET-WRONG,paired,alpha,0.08269670605659485,0.01114809513092041,
1,same_03,DET-WRONG,paired,beta,0.067164845764637,0.01889628916978836,
1,same_03,DET-WRONG,paired,low_gamma,0.09099282324314117,0.03746899962425232,
1,same_03,DET-WRONG,paired,high_frequency_secondary,0.20786210894584656,0.10459589958190918,
1,same_03,DET-WRONG,natural,delta,,,0.21290631170770682
1,same_03,DET-WRONG,natural,theta,,,0.14578200213044198
1,same_03,DET-WRONG,natural,alpha,,,0.10436003960979151
1,same_03,DET-WRONG,natural,beta,,,0.06081310192482571
1,same_03,DET-WRONG,natural,low_gamma,,,0.0694334698678791
1,same_03,DET-WRONG,natural,high_frequency_secondary,,,0.24594308271573506
1,same_03,DIFF-POP,paired,delta,0.14060083031654358,0.08950561285018921,
1,same_03,DIFF-POP,paired,theta,0.09478706121444702,0.037805914878845215,
1,same_03,DIFF-POP,paired,alpha,0.08405430614948273,0.009790495038032532,
1,same_03,DIFF-POP,paired,beta,0.09635836631059647,-0.010297231376171112,
1,same_03,DIFF-POP,paired,low_gamma,0.14473481476306915,-0.01627299189567566,
1,same_03,DIFF-POP,paired,high_frequency_secondary,0.3108314871788025,0.001626521348953247,
1,same_03,DIFF-POP,natural,delta,,,0.22689870897295528
1,same_03,DIFF-POP,natural,theta,,,0.15633524885165187
1,same_03,DIFF-POP,natural,alpha,,,0.1069776160270476
1,same_03,DIFF-POP,natural,beta,,,0.06399436622741832
1,same_03,DIFF-POP,natural,low_gamma,,,0.07378972886903466
1,same_03,DIFF-POP,natural,high_frequency_secondary,,,0.2637836169082118
1,same_03,DIFF-MATCH,paired,delta,0.07023107260465622,0.15987537056207657,
1,same_03,DIFF-MATCH,paired,theta,0.04001961648464203,0.09257335960865021,
1,same_03,DIFF-MATCH,paired,alpha,0.029788509011268616,0.06405629217624664,
1,same_03,DIFF-MATCH,paired,beta,0.026638248935341835,0.05942288599908352,
1,same_03,DIFF-MATCH,paired,low_gamma,0.04272787645459175,0.08573394641280174,
1,same_03,DIFF-MATCH,paired,high_frequency_secondary,0.1328018456697464,0.17965616285800934,
1,same_03,DIFF-MATCH,natural,delta,,,0.166111339396165
1,same_03,DIFF-MATCH,natural,theta,,,0.11354844091313103
1,same_03,DIFF-MATCH,natural,alpha,,,0.0758564036061171
