subject,protocol,method,gamma,rrmse,correlation,delta_snr,correction_rms,output_input_rms
4,cross_02,LINEAR-POP,0.8,0.19362419843673706,0.9817939220405408,7.522082328796387,1.7668062448501587,0.9342528581619263
4,cross_02,LINEAR-POP,0.9,0.2570762634277344,0.9686735396001448,5.06003475189209,1.987656831741333,0.9483218789100647
4,cross_02,LINEAR-POP,1.0,0.32540103793144226,0.9513303617951882,3.0128960609436035,2.208507776260376,0.9670671224594116
4,cross_02,LINEAR-WRONG,0.0,0.46032413840293884,0.9072641738586051,0.0,0.0,1.0
4,cross_02,LINEAR-WRONG,0.1,0.3940345048904419,0.9296507295569234,1.3505899906158447,0.21263469755649567,0.9769102334976196
4,cross_02,LINEAR-WRONG,0.2,0.33016666769981384,0.9491485940336293,2.8866100311279297,0.42526939511299133,0.9578297734260559
4,cross_02,LINEAR-WRONG,0.3,0.2704419195652008,0.9650883176205227,4.619794845581055,0.6379041075706482,0.943001925945282
4,cross_02,LINEAR-WRONG,0.4,0.21828779578208923,0.9768727287768602,6.480685234069824,0.8505387902259827,0.9326296448707581
4,cross_02,LINEAR-WRONG,0.5,0.18039467930793762,0.9840355644294121,8.136800765991211,1.0631734132766724,0.9268624782562256
4,cross_02,LINEAR-WRONG,0.6,0.16678385436534882,0.9862924427786888,8.818195343017578,1.2758082151412964,0.9257864952087402
4,cross_02,LINEAR-WRONG,0.7,0.18295739591121674,0.9835738667960465,8.014276504516602,1.4884427785873413,0.9294179677963257
4,cross_02,LINEAR-WRONG,0.8,0.22251272201538086,0.9760329345376122,6.314177513122559,1.7010775804519653,0.9377022981643677
4,cross_02,LINEAR-WRONG,0.9,0.2755582332611084,0.9640260622337538,4.457006931304932,1.9137120246887207,0.9505177736282349
4,cross_02,LINEAR-WRONG,1.0,0.3357599377632141,0.9480711605331177,2.7406976222991943,2.1263468265533447,0.9676843881607056
4,cross_02,RANK-1-PROJECTION-ORACLE,0.0,0.46032413840293884,0.9072641738586051,0.0,0.0,1.0
4,cross_02,RANK-1-PROJECTION-ORACLE,0.1,0.4154075086116791,0.9226888572996278,0.8917882442474365,0.13428330421447754,0.9843534231185913
4,cross_02,RANK-1-PROJECTION-ORACLE,0.2,0.37063324451446533,0.9371279027176874,1.882387399673462,0.2685666084289551,0.970250129699707
4,cross_02,RANK-1-PROJECTION-ORACLE,0.3,0.326060026884079,0.9504016869365556,2.995323896408081,0.402849942445755,0.9577581882476807
4,cross_02,RANK-1-PROJECTION-ORACLE,0.4,0.28178322315216064,0.9623328224554709,4.262971878051758,0.5371332168579102,0.9469415545463562
4,cross_02,RANK-1-PROJECTION-ORACLE,0.5,0.23796840012073517,0.9727519695406077,5.730890274047852,0.6714165210723877,0.9378581047058105
4,cross_02,RANK-1-PROJECTION-ORACLE,0.6,0.19492724537849426,0.9815040635397675,7.46382474899292,0.80569988489151,0.9305585026741028
4,cross_02,RANK-1-PROJECTION-ORACLE,0.7,0.15331284701824188,0.9884545703140138,9.549704551696777,0.939983069896698,0.9250851273536682
4,cross_02,RANK-1-PROJECTION-ORACLE,0.8,0.11468885093927383,0.9934953518468377,12.07085132598877,1.0742664337158203,0.9214703440666199
4,cross_02,RANK-1-PROJECTION-ORACLE,0.9,0.08332322537899017,0.9965495793366217,14.845952987670898,1.2085496187210083,0.9197362065315247
4,cross_02,RANK-1-PROJECTION-ORACLE,1.0,0.06980329751968384,0.997575374777006,16.383756637573242,1.3428330421447754,0.9198933839797974
4,cross_02,RANK-2-PROJECTION-ORACLE,0.0,0.46032413840293884,0.9072641738586051,0.0,0.0,1.0
4,cross_02,RANK-2-PROJECTION-ORACLE,0.1,0.41469472646713257,0.9229200213022035,0.9067049622535706,0.13528954982757568,0.9840610027313232
4,cross_02,RANK-2-PROJECTION-ORACLE,0.2,0.36911770701408386,0.9375879188324246,1.9179775714874268,0.27057909965515137,0.9696836471557617
4,cross_02,RANK-2-PROJECTION-ORACLE,0.3,0.32361531257629395,0.9510829547627205,3.0606942176818848,0.40586864948272705,0.9569383859634399
4,cross_02,RANK-2-PROJECTION-ORACLE,0.4,0.27822408080101013,0.9632220017031249,4.373380661010742,0.5411581993103027,0.9458910822868347
4,cross_02,RANK-2-PROJECTION-ORACLE,0.5,0.23300907015800476,0.9738297705559178,5.913818359375,0.6764477491378784,0.936601996421814
4,cross_02,RANK-2-PROJECTION-ORACLE,0.6,0.18809734284877777,0.9827453251963523,7.773622512817383,0.8117372989654541,0.9291237592697144
4,cross_02,RANK-2-PROJECTION-ORACLE,0.7,0.14377345144748688,0.9898286597342085,10.10770034790039,0.9470269083976746,0.9235002398490906
4,cross_02,RANK-2-PROJECTION-ORACLE,0.8,0.10081566870212555,0.9949668928067679,13.190713882446289,1.0823163986206055,0.9197657108306885
4,cross_02,RANK-2-PROJECTION-ORACLE,0.9,0.06212565675377846,0.998079498064272,17.395854949951172,1.2176059484481812,0.9179430603981018
4,cross_02,RANK-2-PROJECTION-ORACLE,1.0,0.04193083941936493,0.9991221886515107,20.810604095458984,1.3528954982757568,0.9180437326431274
4,cross_02,BOUNDED-CLIP-ORACLE,0.0,0.46032413840293884,0.9072641738586051,0.0,0.0,1.0
4,cross_02,BOUNDED-CLIP-ORACLE,0.1,0.43096113204956055,0.9174048997073804,0.5725135803222656,0.10013534873723984,0.989690899848938
4,cross_02,BOUNDED-CLIP-ORACLE,0.2,0.4023171365261078,0.9269391978885437,1.169904351234436,0.20027069747447968,0.9802613258361816
4,cross_02,BOUNDED-CLIP-ORACLE,0.3,0.37455716729164124,0.935799936302484,1.790912389755249,0.3004060387611389,0.9717370271682739
4,cross_02,BOUNDED-CLIP-ORACLE,0.4,0.34789299964904785,0.9439217802526122,2.432361364364624,0.40054139494895935,0.964141845703125
4,cross_02,BOUNDED-CLIP-ORACLE,0.5,0.32259631156921387,0.9512424153326055,3.0880868434906006,0.5006767511367798,0.9574979543685913
4,cross_02,BOUNDED-CLIP-ORACLE,0.6,0.29901453852653503,0.9577038131107357,3.7474288940429688,0.6008120775222778,0.9518253207206726
4,cross_02,BOUNDED-CLIP-ORACLE,0.7,0.2775849401950836,0.9632534736813966,4.393357276916504,0.7009474039077759,0.9471413493156433
4,cross_02,BOUNDED-CLIP-ORACLE,0.8,0.25884267687797546,0.9678456429145237,5.0005574226379395,0.8010827898979187,0.9434607028961182
4,cross_02,BOUNDED-CLIP-ORACLE,0.9,0.24340930581092834,0.9714423813493709,5.534532070159912,0.9012181162834167,0.9407953023910522
4,cross_02,BOUNDED-CLIP-ORACLE,1.0,0.23194628953933716,0.9740145162553602,5.953526496887207,1.0013535022735596,0.9391537308692932
4,cross_02,BOUNDED-TANH-ORACLE,0.0,0.46032413840293884,0.9072641738586051,0.0,0.0,1.0
4,cross_02,BOUNDED-TANH-ORACLE,0.1,0.4316352605819702,0.9171696513796376,0.5589361786842346,0.09750597923994064,0.9898842573165894
4,cross_02,BOUNDED-TANH-ORACLE,0.2,0.4036122262477875,0.9265048684317908,1.14198899269104,0.1950119584798813,0.9806006550788879
4,cross_02,BOUNDED-TANH-ORACLE,0.3,0.37640365958213806,0.9352076042521531,1.7481985092163086,0.2925179600715637,0.9721729159355164
4,cross_02,BOUNDED-TANH-ORACLE,0.4,0.35019955039024353,0.9432171084558252,2.3749635219573975,0.3900239169597626,0.9646235108375549
4,cross_02,BOUNDED-TANH-ORACLE,0.5,0.32524266839027405,0.9504752000739064,3.0171241760253906,0.4875299036502838,0.9579734206199646
4,cross_02,BOUNDED-TANH-ORACLE,0.6,0.3018426299095154,0.9569273627957785,3.665663957595825,0.5850359201431274,0.952241063117981
4,cross_02,BOUNDED-TANH-ORACLE,0.7,0.2803894877433777,0.962523838429578,4.306040287017822,0.6825418472290039,0.947443425655365
4,cross_02,BOUNDED-TANH-ORACLE,0.8,0.26136305928230286,0.9672207254611226,4.916391849517822,0.7800478339195251,0.943594753742218
4,cross_02,BOUNDED-TANH-ORACLE,0.9,0.2453286051750183,0.9709809325471757,5.466311454772949,0.8775538206100464,0.9407064914703369
