successful_update,pair_indices,pair_keys
11,277;300;543;44;639;270;10;783,study05/study05_p40:target_t33_0:source_t16_0;study05/study05_p41:target_t17_1536:source_t2_512;study05/study05_p45:target_t24_1536:source_t8_0;study05/study05_p06:target_t28_512:source_t11_1024;study05/study05_p46:target_t31_1024:source_t9_1536;study05/study05_p40:target_t31_512:source_t14_512;study05/study05_p06:target_t19_1024:source_t3_0;study05/study05_p48:target_t26_0:source_t8_0
12,376;301;85;97;228;753;113;615,study05/study05_p43:target_t21_1024:source_t3_1024;study05/study05_p41:target_t18_0:source_t2_1024;study05/study05_p06:target_t38_1024:source_t5_0;study05/study05_p10:target_t19_1024:source_t3_0;study05/study05_p40:target_t20_0:source_t2_1024;study05/study05_p48:target_t18_512:source_t0_1024;study05/study05_p10:target_t23_1024:source_t7_0;study05/study05_p46:target_t25_0:source_t3_1536
13,630;663;371;139;24;463;386;670,study05/study05_p46:target_t29_512:source_t7_1024;study05/study05_p46:target_t37_1024:source_t16_1024;study05/study05_p43:target_t19_1536:source_t2_512;study05/study05_p10:target_t30_0:source_t14_512;study05/study05_p06:target_t23_0:source_t6_1024;study05/study05_p44:target_t21_1536:source_t2_0;study05/study05_p43:target_t24_1024:source_t6_0;study05/study05_p47:target_t17_512:source_t0_1536
14,705;210;158;768;516;7;237;546,study05/study05_p47:target_t26_0:source_t10_512;study05/study05_p24:target_t30_1024:source_t0_512;study05/study05_p10:target_t34_1536:source_t2_512;study05/study05_p48:target_t22_0:source_t4_512;study05/study05_p44:target_t35_0:source_t2_1024;study05/study05_p06:target_t18_1536:source_t2_512;study05/study05_p40:target_t22_1024:source_t4_1536;study05/study05_p45:target_t25_1024:source_t8_1536
15,411;250;654;77;638;636;280;148,study05/study05_p43:target_t31_1024:source_t13_0;study05/study05_p40:target_t25_1536:source_t8_0;study05/study05_p46:target_t35_512:source_t14_512;study05/study05_p06:target_t36_1024:source_t3_0;study05/study05_p46:target_t31_512:source_t9_1024;study05/study05_p46:target_t30_1536:source_t9_0;study05/study05_p40:target_t33_1536:source_t16_1536;study05/study05_p10:target_t32_512:source_t16_1536
16,344;48;408;409;622;154;779;522,study05/study05_p41:target_t28_1536:source_t15_0;study05/study05_p06:target_t29_512:source_t12_1024;study05/study05_p43:target_t30_1536:source_t11_1024;study05/study05_p43:target_t31_0:source_t11_1536;study05/study05_p46:target_t26_1536:source_t5_1024;study05/study05_p10:target_t33_1536:source_t1_512;study05/study05_p48:target_t25_0:source_t7_0;study05/study05_p45:target_t18_0:source_t2_1024
17,717;4;152;618;351;429;446;599,study05/study05_p47:target_t29_0:source_t13_1536;study05/study05_p06:target_t18_0:source_t1_1024;study05/study05_p10:target_t33_512:source_t0_1536;study05/study05_p46:target_t25_1536:source_t4_1024;study05/study05_p41:target_t30_1024:source_t1_0;study05/study05_p43:target_t37_512:source_t3_512;study05/study05_p44:target_t17_1024:source_t11_512;study05/study05_p46:target_t21_0:source_t17_1536
18,794;369;694;399;756;596;380;249,study05/study05_p48:target_t29_1024:source_t10_1536;study05/study05_p43:target_t19_512:source_t1_1536;study05/study05_p47:target_t23_512:source_t7_0;study05/study05_p43:target_t27_1536:source_t9_512;study05/study05_p48:target_t19_0:source_t1_512;study05/study05_p46:target_t20_512:source_t17_0;study05/study05_p43:target_t22_1024:source_t4_1024;study05/study05_p40:target_t25_1024:source_t7_1536
19,264;424;353;449;25;621;169;712,study05/study05_p40:target_t29_1024:source_t11_1536;study05/study05_p43:target_t35_512:source_t2_0;study05/study05_p41:target_t31_0:source_t1_1024;study05/study05_p44:target_t18_512:source_t12_1024;study05/study05_p06:target_t23_512:source_t6_1536;study05/study05_p46:target_t26_1024:source_t5_512;study05/study05_p10:target_t37_1024:source_t5_0;study05/study05_p47:target_t27_1536:source_t12_512
20,367;676;549;213;354;311;292;715,study05/study05_p43:target_t18_1536:source_t1_512;study05/study05_p47:target_t18_1536:source_t2_512;study05/study05_p45:target_t26_512:source_t9_1024;study05/study05_p24:target_t31_512:source_t1_0;study05/study05_p41:target_t31_512:source_t1_1536;study05/study05_p41:target_t20_1024:source_t5_0;study05/study05_p40:target_t36_1536:source_t1_1536;study05/study05_p47:target_t28_1024:source_t13_512
21,724;592;637;239;477;607;767;363,study05/study05_p47:target_t30_1536:source_t16_512;study05/study05_p46:target_t19_512:source_t16_0;study05/study05_p46:target_t31_0:source_t9_512;study05/study05_p40:target_t23_0:source_t5_512;study05/study05_p44:target_t25_512:source_t5_1024;study05/study05_p46:target_t23_0:source_t1_1536;study05/study05_p48:target_t21_1536:source_t4_0;study05/study05_p41:target_t33_1536:source_t4_0
22,761;551;412;196;764;365;718;534,study05/study05_p48:target_t20_512:source_t2_1024;study05/study05_p45:target_t26_1536:source_t10_0;study05/study05_p43:target_t31_1536:source_t13_512;study05/study05_p24:target_t27_0:source_t13_0;study05/study05_p48:target_t21_0:source_t3_512;study05/study05_p43:target_t18_512:source_t0_1536;study05/study05_p47:target_t29_512:source_t14_0;study05/study05_p45:target_t21_512:source_t5_1024
23,572;765;310;51;360;552;282;462,study05/study05_p45:target_t32_1536:source_t16_512;study05/study05_p48:target_t21_512:source_t3_1024;study05/study05_p41:target_t20_512:source_t4_1536;study05/study05_p06:target_t30_0:source_t13_1024;study05/study05_p41:target_t33_0:source_t3_512;study05/study05_p45:target_t27_0:source_t10_512;study05/study05_p40:target_t34_512:source_t17_512;study05/study05_p44:target_t21_1024:source_t1_1536
24,488;36;43;680;467;432;703;177,study05/study05_p44:target_t28_0:source_t8_512;study05/study05_p06:target_t26_0:source_t9_1024;study05/study05_p06:target_t27_1536:source_t11_512;study05/study05_p47:target_t19_1536:source_t3_512;study05/study05_p44:target_t22_1536:source_t3_0;study05/study05_p43:target_t38_0:source_t4_0;study05/study05_p47:target_t25_1024:source_t9_1536;study05/study05_p24:target_t20_0:source_t6_1536
25,21;493;501;57;202;328;547;727,study05/study05_p06:target_t22_512:source_t5_1536;study05/study05_p44:target_t29_512:source_t9_1024;study05/study05_p44:target_t31_512:source_t12_1536;study05/study05_p06:target_t31_1024:source_t15_0;study05/study05_p24:target_t28_1024:source_t15_0;study05/study05_p41:target_t24_1536:source_t9_512;study05/study05_p45:target_t25_1536:source_t9_0;study05/study05_p47:target_t31_1024:source_t0_0
26,509;84;667;595;293;484;605;135,study05/study05_p44:target_t33_512:source_t0_1536;study05/study05_p06:target_t38_512:source_t4_1536;study05/study05_p46:target_t38_1024:source_t17_1024;study05/study05_p46:target_t20_0:source_t16_1536;study05/study05_p41:target_t16_0:source_t0_1024;study05/study05_p44:target_t27_0:source_t7_512;study05/study05_p46:target_t22_1024:source_t1_512;study05/study05_p10:target_t29_0:source_t13_512
27,778;662;258;731;118;220;120;611,study05/study05_p48:target_t24_1536:source_t6_1536;study05/study05_p46:target_t37_512:source_t16_512;study05/study05_p40:target_t28_0:source_t10_512;study05/study05_p47:target_t32_1024:source_t1_0;study05/study05_p10:target_t24_1536:source_t8_512;study05/study05_p40:target_t18_0:source_t0_1024;study05/study05_p10:target_t25_512:source_t9_0;study05/study05_p46:target_t24_0:source_t2_1536
28,189;454;263;27;541;559;558;441,study05/study05_p24:target_t25_512:source_t9_1536;study05/study05_p44:target_t19_1024:source_t14_1536;study05/study05_p40:target_t29_512:source_t11_1024;study05/study05_p06:target_t23_1536:source_t7_512;study05/study05_p45:target_t23_1536:source_t7_512;study05/study05_p45:target_t29_1024:source_t12_512;study05/study05_p45:target_t29_512:source_t12_0;study05/study05_p44:target_t16_512:source_t9_512
29,701;199;461;796;602;29;229;397,study05/study05_p47:target_t25_0:source_t9_512;study05/study05_p24:target_t27_1536:source_t14_0;study05/study05_p44:target_t21_512:source_t1_1024;study05/study05_p48:target_t30_512:source_t11_512;study05/study05_p46:target_t21_1536:source_t0_1024;study05/study05_p06:target_t24_512:source_t7_1536;study05/study05_p40:target_t20_512:source_t2_1536;study05/study05_p43:target_t27_512:source_t8_1536
30,41;373;584;337;466;318;762;413,study05/study05_p06:target_t27_512:source_t10_1536;study05/study05_p43:target_t20_512:source_t2_1536;study05/study05_p45:target_t36_512:source_t2_1024;study05/study05_p41:target_t27_0:source_t11_1024;study05/study05_p44:target_t22_1024:source_t2_1536;study05/study05_p41:target_t22_512:source_t6_1536;study05/study05_p48:target_t20_1024:source_t2_1536;study05/study05_p43:target_t32_0:source_t14_512
31,568;174;668;536;460;486;562;191,study05/study05_p45:target_t31_1536:source_t15_512;study05/study05_p10:target_t38_1536:source_t6_512;study05/study05_p46:target_t38_1536:source_t17_1536;study05/study05_p45:target_t22_0:source_t6_0;study05/study05_p44:target_t21_0:source_t1_512;study05/study05_p44:target_t27_1024:source_t7_1536;study05/study05_p45:target_t30_512:source_t13_512;study05/study05_p24:target_t25_1536:source_t10_512
32,248;777;30;643;520;402;444;629,study05/study05_p40:target_t25_512:source_t7_1024;study05/study05_p48:target_t24_1024:source_t6_1024;study05/study05_p06:target_t24_1024:source_t8_0;study05/study05_p46:target_t32_1024:source_t10_1536;study05/study05_p45:target_t17_0:source_t2_0;study05/study05_p43:target_t29_0:source_t10_0;study05/study05_p44:target_t17_0:source_t10_1024;study05/study05_p46:target_t29_0:source_t7_512
33,803;526;620;332;388;805;623;619,study05/study05_p48:target_t32_512:source_t0_0;study05/study05_p45:target_t19_0:source_t3_1024;study05/study05_p46:target_t26_512:source_t5_0;study05/study05_p41:target_t25_1536:source_t10_512;study05/study05_p43:target_t25_0:source_t6_1024;study05/study05_p48:target_t32_1536:source_t0_1024;study05/study05_p46:target_t27_0:source_t5_1536;study05/study05_p46:target_t26_0:source_t4_1536
34,792;682;224;194;635;787;784;206,study05/study05_p48:target_t29_0:source_t10_512;study05/study05_p47:target_t20_512:source_t3_1536;study05/study05_p40:target_t19_0:source_t1_1024;study05/study05_p24:target_t26_1024:source_t11_1536;study05/study05_p46:target_t30_1024:source_t8_1536;study05/study05_p48:target_t27_512:source_t9_0;study05/study05_p48:target_t26_512:source_t8_512;study05/study05_p24:target_t29_1024:source_t16_512
35,245;290;554;265;355;491;334;297,study05/study05_p40:target_t24_1024:source_t6_1536;study05/study05_p40:target_t36_512:source_t1_512;study05/study05_p45:target_t27_1024:source_t10_1536;study05/study05_p40:target_t29_1536:source_t12_1024;study05/study05_p41:target_t31_1024:source_t2_0;study05/study05_p44:target_t28_1536:source_t9_0;study05/study05_p41:target_t26_512:source_t10_1536;study05/study05_p41:target_t17_0:source_t1_1024
36,168;80;167;19;695;545;216;697,study05/study05_p10:target_t37_512:source_t4_1536;study05/study05_p06:target_t37_512:source_t3_1536;study05/study05_p10:target_t37_0:source_t4_1024;study05/study05_p06:target_t21_1536:source_t5_512;study05/study05_p47:target_t23_1024:source_t7_512;study05/study05_p45:target_t25_512:source_t8_1024;study05/study05_p24:target_t32_0:source_t1_1536;study05/study05_p47:target_t24_0:source_t8_0
37,349;238;427;317;742;68;631;789,study05/study05_p41:target_t30_0:source_t0_1024;study05/study05_p40:target_t22_1536:source_t5_0;study05/study05_p43:target_t36_1024:source_t2_1536;study05/study05_p41:target_t22_0:source_t6_1024;study05/study05_p48:target_t15_512:source_t10_1536;study05/study05_p06:target_t34_512:source_t0_1536;study05/study05_p46:target_t29_1024:source_t7_1536;study05/study05_p48:target_t27_1536:source_t9_1024
38,512;684;92;225;204;227;750;398,study05/study05_p44:target_t34_0:source_t1_1024;study05/study05_p47:target_t20_1536:source_t4_512;study05/study05_p10:target_t18_512:source_t1_1536;study05/study05_p40:target_t19_512:source_t1_1536;study05/study05_p24:target_t29_0:source_t15_1024;study05/study05_p40:target_t19_1536:source_t2_512;study05/study05_p48:target_t17_512:source_t14_512;study05/study05_p43:target_t27_1024:source_t9_0
39,107;702;143;150;179;254;713;160,study05/study05_p10:target_t22_0:source_t5_1024;study05/study05_p47:target_t25_512:source_t9_1024;study05/study05_p10:target_t31_0:source_t15_1024;study05/study05_p10:target_t32_1536:source_t0_512;study05/study05_p24:target_t21_512:source_t7_512;study05/study05_p40:target_t27_0:source_t9_0;study05/study05_p47:target_t28_0:source_t12_1024;study05/study05_p10:target_t35_512:source_t2_1536
40,141;504;553;738;14;192;161;138,study05/study05_p10:target_t30_1024:source_t15_0;study05/study05_p44:target_t32_0:source_t14_512;study05/study05_p45:target_t27_512:source_t10_1024;study05/study05_p47:target_t34_512:source_t2_1536;study05/study05_p06:target_t20_1024:source_t4_0;study05/study05_p24:target_t26_0:source_t10_1024;study05/study05_p10:target_t35_1024:source_t3_0;study05/study05_p10:target_t29_1536:source_t14_0
41,790;774;802;64;272;728;17;79,study05/study05_p48:target_t28_0:source_t9_1536;study05/study05_p48:target_t23_1024:source_t5_1536;study05/study05_p48:target_t32_0:source_t14_512;study05/study05_p06:target_t33_512:source_t16_1536;study05/study05_p40:target_t31_1536:source_t14_1536;study05/study05_p47:target_t31_1536:source_t0_512;study05/study05_p06:target_t21_512:source_t4_1536;study05/study05_p06:target_t37_0:source_t3_1024
42,458;61;15;566;244;683;499;302,study05/study05_p44:target_t20_1024:source_t0_1536;study05/study05_p06:target_t32_1024:source_t16_0;study05/study05_p06:target_t20_1536:source_t4_512;study05/study05_p45:target_t31_512:source_t14_1024;study05/study05_p40:target_t24_512:source_t6_1024;study05/study05_p47:target_t20_1024:source_t4_0;study05/study05_p44:target_t30_1536:source_t11_1536;study05/study05_p41:target_t18_512:source_t2_1536
43,49;492;284;749;487;770;523;149,study05/study05_p06:target_t29_1024:source_t13_0;study05/study05_p44:target_t29_0:source_t9_512;study05/study05_p40:target_t34_1536:source_t17_1536;study05/study05_p48:target_t17_0:source_t13_512;study05/study05_p44:target_t27_1536:source_t8_0;study05/study05_p48:target_t22_1024:source_t4_1536;study05/study05_p45:target_t18_512:source_t2_1536;study05/study05_p10:target_t32_1024:source_t0_0
44,597;91;540;102;60;514;754;183,study05/study05_p46:target_t20_1024:source_t17_512;study05/study05_p10:target_t18_0:source_t1_1024;study05/study05_p45:target_t23_1024:source_t7_0;study05/study05_p10:target_t20_1536:source_t4_512;study05/study05_p06:target_t32_512:source_t15_1536;study05/study05_p44:target_t34_1024:source_t2_0;study05/study05_p48:target_t18_1024:source_t0_1536;study05/study05_p24:target_t23_512:source_t8_512
45,733;164;267;379;590;415;236;288,study05/study05_p47:target_t33_0:source_t1_1024;study05/study05_p10:target_t36_512:source_t3_1536;study05/study05_p40:target_t30_512:source_t13_0;study05/study05_p43:target_t22_512:source_t4_512;study05/study05_p46:target_t18_1536:source_t15_1024;study05/study05_p43:target_t32_1024:source_t16_0;study05/study05_p40:target_t22_512:source_t4_1024;study05/study05_p40:target_t35_1536:source_t0_1536
46,472;74;221;178;471;142;730;786,study05/study05_p44:target_t24_0:source_t4_512;study05/study05_p06:target_t35_1536:source_t2_512;study05/study05_p40:target_t18_512:source_t0_1536;study05/study05_p24:target_t21_0:source_t7_0;study05/study05_p44:target_t23_1536:source_t4_0;study05/study05_p10:target_t30_1536:source_t15_512;study05/study05_p47:target_t32_512:source_t0_1536;study05/study05_p48:target_t26_1536:source_t8_1536
47,255;699;570;664;18;96;421;443,study05/study05_p40:target_t27_512:source_t9_512;study05/study05_p47:target_t24_1024:source_t8_1536;study05/study05_p45:target_t32_512:source_t15_1536;study05/study05_p46:target_t37_1536:source_t16_1536;study05/study05_p06:target_t21_1024:source_t5_0;study05/study05_p10:target_t19_512:source_t2_1536;study05/study05_p43:target_t34_1024:source_t1_512;study05/study05_p44:target_t16_1536:source_t9_1536
48,560;530;688;186;589;63;193;646,study05/study05_p45:target_t29_1536:source_t12_1536;study05/study05_p45:target_t20_0:source_t4_1024;study05/study05_p47:target_t21_1536:source_t5_512;study05/study05_p24:target_t24_512:source_t9_0;study05/study05_p46:target_t18_1024:source_t15_512;study05/study05_p06:target_t33_0:source_t16_1024;study05/study05_p24:target_t26_512:source_t10_1536;study05/study05_p46:target_t33_512:source_t11_1024
49,147;378;649;527;76;240;181;653,study05/study05_p10:target_t32_0:source_t16_1024;study05/study05_p43:target_t22_0:source_t4_0;study05/study05_p46:target_t34_0:source_t12_1536;study05/study05_p45:target_t19_512:source_t3_1536;study05/study05_p06:target_t36_512:source_t2_1536;study05/study05_p40:target_t23_512:source_t5_1024;study05/study05_p24:target_t22_1536:source_t7_1536;study05/study05_p46:target_t35_0:source_t13_1536
50,313;197;9;795;105;574;587;180,study05/study05_p41:target_t21_0:source_t5_1024;study05/study05_p24:target_t27_512:source_t13_512;study05/study05_p06:target_t19_512:source_t2_1536;study05/study05_p48:target_t30_0:source_t11_0;study05/study05_p10:target_t21_1024:source_t5_0;study05/study05_p45:target_t33_1024:source_t0_0;study05/study05_p46:target_t18_0:source_t14_1536;study05/study05_p24:target_t21_1024:source_t7_1024
51,104;759;423;69;601;610;775;579,study05/study05_p10:target_t21_512:source_t4_1536;study05/study05_p48:target_t19_1536:source_t2_0;study05/study05_p43:target_t35_0:source_t1_1536;study05/study05_p06:target_t34_1024:source_t1_0;study05/study05_p46:target_t21_1024:source_t0_512;study05/study05_p46:target_t23_1536:source_t2_1024;study05/study05_p48:target_t24_0:source_t6_0;study05/study05_p45:target_t34_1536:source_t1_512
52,34;234;476;752;108;22;273;521,study05/study05_p06:target_t25_1024:source_t9_0;study05/study05_p40:target_t21_1536:source_t4_0;study05/study05_p44:target_t25_0:source_t5_512;study05/study05_p48:target_t17_1536:source_t0_512;study05/study05_p10:target_t22_512:source_t5_1536;study05/study05_p06:target_t22_1024:source_t6_0;study05/study05_p40:target_t32_0:source_t15_0;study05/study05_p45:target_t17_512:source_t2_512
53,651;810;434;222;464;672;390;453,study05/study05_p46:target_t34_1024:source_t13_512;study05/study05_p48:target_t34_1024:source_t1_1536;study05/study05_p43:target_t38_1024:source_t4_1024;study05/study05_p40:target_t18_1024:source_t1_0;study05/study05_p44:target_t22_0:source_t2_512;study05/study05_p47:target_t17_1536:source_t1_512;study05/study05_p43:target_t25_1024:source_t7_0;study05/study05_p44:target_t19_512:source_t14_512
54,665;600;144;55;259;251;278;110,study05/study05_p46:target_t38_0:source_t17_0;study05/study05_p46:target_t21_512:source_t0_0;study05/study05_p10:target_t31_512:source_t15_1536;study05/study05_p06:target_t31_0:source_t14_1024;study05/study05_p40:target_t28_512:source_t10_1024;study05/study05_p40:target_t26_512:source_t8_512;study05/study05_p40:target_t33_512:source_t16_512;study05/study05_p10:target_t22_1536:source_t6_512
55,657;323;652;511;372;606;5;681,study05/study05_p46:target_t36_0:source_t15_0;study05/study05_p41:target_t23_1024:source_t8_0;study05/study05_p46:target_t34_1536:source_t13_1024;study05/study05_p44:target_t33_1536:source_t1_512;study05/study05_p43:target_t20_0:source_t2_1024;study05/study05_p46:target_t22_1536:source_t1_1024;study05/study05_p06:target_t18_512:source_t1_1536;study05/study05_p47:target_t20_0:source_t3_1024
56,748;474;410;690;201;747;431;140,study05/study05_p48:target_t16_1536:source_t12_1536;study05/study05_p44:target_t24_1024:source_t4_1536;study05/study05_p43:target_t31_512:source_t12_1536;study05/study05_p47:target_t22_512:source_t5_1536;study05/study05_p24:target_t28_512:source_t14_1536;study05/study05_p48:target_t16_1024:source_t12_512;study05/study05_p43:target_t37_1536:source_t3_1536;study05/study05_p10:target_t30_512:source_t14_1024
57,447;253;394;307;333;425;528;38,study05/study05_p44:target_t17_1536:source_t11_1024;study05/study05_p40:target_t26_1536:source_t8_1536;study05/study05_p43:target_t26_1024:source_t8_0;study05/study05_p41:target_t19_1024:source_t4_0;study05/study05_p41:target_t26_0:source_t10_1024;study05/study05_p43:target_t36_0:source_t2_512;study05/study05_p45:target_t19_1024:source_t4_0;study05/study05_p06:target_t26_1024:source_t10_0
58,32;126;641;793;322;356;603;326,study05/study05_p06:target_t25_0:source_t8_1024;study05/study05_p10:target_t26_1536:source_t10_1024;study05/study05_p46:target_t32_0:source_t10_512;study05/study05_p48:target_t29_512:source_t10_1024;study05/study05_p41:target_t23_512:source_t7_1536;study05/study05_p41:target_t31_1536:source_t2_512;study05/study05_p46:target_t22_0:source_t0_1536;study05/study05_p41:target_t24_512:source_t8_1536
59,325;808;205;567;187;364;685;780,study05/study05_p41:target_t24_0:source_t8_1024;study05/study05_p48:target_t34_0:source_t1_512;study05/study05_p24:target_t29_512:source_t16_0;study05/study05_p45:target_t31_1024:source_t14_1536;study05/study05_p24:target_t24_1024:source_t9_512;study05/study05_p43:target_t18_0:source_t0_1024;study05/study05_p47:target_t21_0:source_t4_1024;study05/study05_p48:target_t25_512:source_t7_512
60,299;720;132;519;785;50;800;811,study05/study05_p41:target_t17_1024:source_t2_0;study05/study05_p47:target_t29_1536:source_t14_1024;study05/study05_p10:target_t28_512:source_t12_1024;study05/study05_p44:target_t35_1536:source_t3_512;study05/study05_p48:target_t26_1024:source_t8_1024;study05/study05_p06:target_t29_1536:source_t13_512;study05/study05_p48:target_t31_1024:source_t12_1536;study05/study05_p48:target_t34_1536:source_t2_0
61,769;633;448;438;95;801;508;776,study05/study05_p48:target_t22_512:source_t4_1024;study05/study05_p46:target_t30_0:source_t8_512;study05/study05_p44:target_t18_0:source_t11_1536;study05/study05_p44:target_t15_1024:source_t8_1024;study05/study05_p10:target_t19_0:source_t2_1024;study05/study05_p48:target_t31_1536:source_t13_512;study05/study05_p44:target_t33_0:source_t0_1024;study05/study05_p48:target_t24_512:source_t6_512
62,692;72;218;804;537;763;1;660,study05/study05_p47:target_t22_1536:source_t6_512;study05/study05_p06:target_t35_512:source_t1_1536;study05/study05_p24:target_t32_1024:source_t2_512;study05/study05_p48:target_t32_1024:source_t0_512;study05/study05_p45:target_t22_1536:source_t6_512;study05/study05_p48:target_t20_1536:source_t3_0;study05/study05_p06:target_t17_512:source_t0_1536;study05/study05_p46:target_t36_1536:source_t15_1536
63,437;330;406;362;56;256;12;241,study05/study05_p44:target_t15_512:source_t8_512;study05/study05_p41:target_t25_512:source_t9_1536;study05/study05_p43:target_t30_512:source_t11_0;study05/study05_p41:target_t33_1024:source_t3_1536;study05/study05_p06:target_t31_512:source_t14_1536;study05/study05_p40:target_t27_1024:source_t9_1536;study05/study05_p06:target_t20_0:source_t3_1024;study05/study05_p40:target_t23_1024:source_t5_1536
64,294;184;459;387;814;291;687;440,study05/study05_p41:target_t16_512:source_t0_1536;study05/study05_p24:target_t23_1024:source_t8_1024;study05/study05_p44:target_t20_1536:source_t1_0;study05/study05_p43:target_t24_1536:source_t6_512;study05/study05_p48:target_t36_0:source_t2_1536;study05/study05_p40:target_t36_1024:source_t1_1024;study05/study05_p47:target_t21_1024:source_t5_0;study05/study05_p44:target_t16_0:source_t9_0
65,782;336;479;575;268;478;417;128,study05/study05_p48:target_t25_1536:source_t7_1536;study05/study05_p41:target_t26_1536:source_t11_512;study05/study05_p44:target_t25_1536:source_t6_0;study05/study05_p45:target_t33_1536:source_t0_512;study05/study05_p40:target_t30_1024:source_t13_512;study05/study05_p44:target_t25_1024:source_t5_1536;study05/study05_p43:target_t33_0:source_t0_512;study05/study05_p10:target_t27_512:source_t11_512
66,86;67;604;502;709;275;23;112,study05/study05_p06:target_t38_1536:source_t5_512;study05/study05_p06:target_t34_0:source_t0_1024;study05/study05_p46:target_t22_512:source_t1_0;study05/study05_p44:target_t31_1024:source_t13_512;study05/study05_p47:target_t27_0:source_t11_1024;study05/study05_p40:target_t32_1024:source_t15_1024;study05/study05_p06:target_t22_1536:source_t6_512;study05/study05_p10:target_t23_512:source_t6_1536
