basis,fold,participant,projection_error,sample,session,task
MATCH,0,sub-03,0.2668684720993042,29,ses-02,ERP
WRONG,0,sub-03,0.34456026554107666,29,ses-02,ERP
QUERY_ORACLE,0,sub-03,0.2519737482070923,29,ses-02,ERP
POP,0,sub-05,0.538862943649292,30,ses-04,ERP
MATCH,0,sub-05,0.3013419210910797,30,ses-04,ERP
WRONG,0,sub-05,0.5129711031913757,30,ses-04,ERP
QUERY_ORACLE,0,sub-05,0.2940899133682251,30,ses-04,ERP
POP,0,sub-03,0.5457664132118225,31,ses-03,SSVEP
MATCH,0,sub-03,0.3161482512950897,31,ses-03,SSVEP
WRONG,0,sub-03,0.4809335470199585,31,ses-03,SSVEP
QUERY_ORACLE,0,sub-03,0.2717858552932739,31,ses-03,SSVEP
POP,0,sub-05,0.3795584440231323,32,ses-02,ERP
MATCH,0,sub-05,0.33616548776626587,32,ses-02,ERP
WRONG,0,sub-05,0.3296132981777191,32,ses-02,ERP
QUERY_ORACLE,0,sub-05,0.2718035876750946,32,ses-02,ERP
POP,0,sub-03,0.5299450159072876,33,ses-04,ERP
MATCH,0,sub-03,0.3649650812149048,33,ses-04,ERP
WRONG,0,sub-03,0.48841041326522827,33,ses-04,ERP
QUERY_ORACLE,0,sub-03,0.3018420338630676,33,ses-04,ERP
POP,0,sub-05,0.0,34,ses-02,ERP
MATCH,0,sub-05,0.0,34,ses-02,ERP
WRONG,0,sub-05,0.0,34,ses-02,ERP
QUERY_ORACLE,0,sub-05,0.0,34,ses-02,ERP
POP,0,sub-03,0.4468880891799927,35,ses-04,ERP
MATCH,0,sub-03,0.344117134809494,35,ses-04,ERP
WRONG,0,sub-03,0.4222639501094818,35,ses-04,ERP
QUERY_ORACLE,0,sub-03,0.30801141262054443,35,ses-04,ERP
POP,0,sub-02,0.692177414894104,36,ses-02,SSVEP
MATCH,0,sub-02,0.5917627215385437,36,ses-02,SSVEP
WRONG,0,sub-02,0.38133835792541504,36,ses-02,SSVEP
QUERY_ORACLE,0,sub-02,0.23967871069908142,36,ses-02,SSVEP
POP,0,sub-02,0.45839422941207886,37,ses-04,ERP
MATCH,0,sub-02,0.31797072291374207,37,ses-04,ERP
WRONG,0,sub-02,0.3989849090576172,37,ses-04,ERP
QUERY_ORACLE,0,sub-02,0.2939338982105255,37,ses-04,ERP
POP,0,sub-03,0.4285866320133209,38,ses-04,ERP
MATCH,0,sub-03,0.3361683785915375,38,ses-04,ERP
WRONG,0,sub-03,0.36061495542526245,38,ses-04,ERP
QUERY_ORACLE,0,sub-03,0.3065323829650879,38,ses-04,ERP
POP,0,sub-05,0.6088966131210327,39,ses-02,SSVEP
MATCH,0,sub-05,0.4985559284687042,39,ses-02,SSVEP
WRONG,0,sub-05,0.4952119290828705,39,ses-02,SSVEP
QUERY_ORACLE,0,sub-05,0.25090491771698,39,ses-02,SSVEP
POP,0,sub-05,0.3714243769645691,40,ses-03,ERP
MATCH,0,sub-05,0.3245275318622589,40,ses-03,ERP
WRONG,0,sub-05,0.3459324836730957,40,ses-03,ERP
QUERY_ORACLE,0,sub-05,0.3188658654689789,40,ses-03,ERP
POP,0,sub-05,0.4783489406108856,41,ses-02,ERP
MATCH,0,sub-05,0.4006325304508209,41,ses-02,ERP
WRONG,0,sub-05,0.34753280878067017,41,ses-02,ERP
QUERY_ORACLE,0,sub-05,0.28740018606185913,41,ses-02,ERP
POP,0,sub-02,0.40711715817451477,42,ses-03,ERP
MATCH,0,sub-02,0.290799617767334,42,ses-03,ERP
WRONG,0,sub-02,0.3309571146965027,42,ses-03,ERP
QUERY_ORACLE,0,sub-02,0.25021758675575256,42,ses-03,ERP
POP,0,sub-02,0.33950281143188477,43,ses-02,ERP
MATCH,0,sub-02,0.3089158236980438,43,ses-02,ERP
WRONG,0,sub-02,0.3093836009502411,43,ses-02,ERP
QUERY_ORACLE,0,sub-02,0.28875282406806946,43,ses-02,ERP
POP,0,sub-02,0.7883073687553406,44,ses-02,SSVEP
MATCH,0,sub-02,0.6773457527160645,44,ses-02,SSVEP
WRONG,0,sub-02,0.6776313781738281,44,ses-02,SSVEP
QUERY_ORACLE,0,sub-02,0.20517081022262573,44,ses-02,SSVEP
POP,0,sub-03,0.39454570412635803,45,ses-04,ERP
MATCH,0,sub-03,0.3309662640094757,45,ses-04,ERP
WRONG,0,sub-03,0.3823482394218445,45,ses-04,ERP
QUERY_ORACLE,0,sub-03,0.31118008494377136,45,ses-04,ERP
POP,0,sub-03,0.0,46,ses-03,ERP
MATCH,0,sub-03,0.0,46,ses-03,ERP
WRONG,0,sub-03,0.0,46,ses-03,ERP
QUERY_ORACLE,0,sub-03,0.0,46,ses-03,ERP
POP,0,sub-05,0.4820595681667328,47,ses-02,SSVEP
MATCH,0,sub-05,0.311422199010849,47,ses-02,SSVEP
WRONG,0,sub-05,0.36194297671318054,47,ses-02,SSVEP
QUERY_ORACLE,0,sub-05,0.2591817378997803,47,ses-02,SSVEP
POP,0,sub-03,0.4870705306529999,48,ses-02,ERP
MATCH,0,sub-03,0.22138375043869019,48,ses-02,ERP
WRONG,0,sub-03,0.3873911499977112,48,ses-02,ERP
QUERY_ORACLE,0,sub-03,0.19894064962863922,48,ses-02,ERP
POP,0,sub-05,0.40349310636520386,49,ses-03,SSVEP
MATCH,0,sub-05,0.29639625549316406,49,ses-03,SSVEP
WRONG,0,sub-05,0.35318100452423096,49,ses-03,SSVEP
QUERY_ORACLE,0,sub-05,0.2665260136127472,49,ses-03,SSVEP
POP,0,sub-05,0.3724408447742462,50,ses-03,ERP
MATCH,0,sub-05,0.32240670919418335,50,ses-03,ERP
WRONG,0,sub-05,0.33586010336875916,50,ses-03,ERP
QUERY_ORACLE,0,sub-05,0.31502750515937805,50,ses-03,ERP
POP,0,sub-03,0.0,51,ses-02,ERP
MATCH,0,sub-03,0.0,51,ses-02,ERP
WRONG,0,sub-03,0.0,51,ses-02,ERP
QUERY_ORACLE,0,sub-03,0.0,51,ses-02,ERP
POP,0,sub-05,0.44189274311065674,52,ses-02,SSVEP
MATCH,0,sub-05,0.276784211397171,52,ses-02,SSVEP
WRONG,0,sub-05,0.33935558795928955,52,ses-02,SSVEP
QUERY_ORACLE,0,sub-05,0.25324276089668274,52,ses-02,SSVEP
POP,0,sub-05,0.8354671597480774,53,ses-04,SSVEP
MATCH,0,sub-05,0.27366575598716736,53,ses-04,SSVEP
WRONG,0,sub-05,0.6521798372268677,53,ses-04,SSVEP
QUERY_ORACLE,0,sub-05,0.2731661796569824,53,ses-04,SSVEP
POP,0,sub-03,0.43325868248939514,54,ses-03,SSVEP
MATCH,0,sub-03,0.3323718011379242,54,ses-03,SSVEP
WRONG,0,sub-03,0.39747679233551025,54,ses-03,SSVEP
QUERY_ORACLE,0,sub-03,0.28989607095718384,54,ses-03,SSVEP
POP,0,sub-03,0.7202535271644592,55,ses-04,SSVEP
MATCH,0,sub-03,0.4675707519054413,55,ses-04,SSVEP
WRONG,0,sub-03,0.5431352853775024,55,ses-04,SSVEP
QUERY_ORACLE,0,sub-03,0.22281375527381897,55,ses-04,SSVEP
POP,0,sub-03,0.39043301343917847,56,ses-03,ERP
MATCH,0,sub-03,0.27898454666137695,56,ses-03,ERP
WRONG,0,sub-03,0.3224206268787384,56,ses-03,ERP
QUERY_ORACLE,0,sub-03,0.25275301933288574,56,ses-03,ERP
POP,0,sub-02,0.43181267380714417,57,ses-03,ERP
MATCH,0,sub-02,0.28816545009613037,57,ses-03,ERP
WRONG,0,sub-02,0.40307894349098206,57,ses-03,ERP
QUERY_ORACLE,0,sub-02,0.27145642042160034,57,ses-03,ERP
POP,0,sub-03,0.4325524866580963,58,ses-02,SSVEP
MATCH,0,sub-03,0.26213791966438293,58,ses-02,SSVEP
WRONG,0,sub-03,0.345066100358963,58,ses-02,SSVEP
QUERY_ORACLE,0,sub-03,0.24522529542446136,58,ses-02,SSVEP
POP,0,sub-03,0.0,59,ses-02,SSVEP
MATCH,0,sub-03,0.0,59,ses-02,SSVEP
WRONG,0,sub-03,0.0,59,ses-02,SSVEP
QUERY_ORACLE,0,sub-03,0.0,59,ses-02,SSVEP
POP,0,sub-05,0.5194512605667114,60,ses-04,ERP
MATCH,0,sub-05,0.3200918734073639,60,ses-04,ERP
WRONG,0,sub-05,0.4971666932106018,60,ses-04,ERP
QUERY_ORACLE,0,sub-05,0.31422340869903564,60,ses-04,ERP
POP,0,sub-03,0.4536727964878082,61,ses-03,SSVEP
MATCH,0,sub-03,0.29779982566833496,61,ses-03,SSVEP
WRONG,0,sub-03,0.4090840518474579,61,ses-03,SSVEP
QUERY_ORACLE,0,sub-03,0.2965511083602905,61,ses-03,SSVEP
POP,0,sub-02,0.751775860786438,62,ses-03,SSVEP
MATCH,0,sub-02,0.18342548608779907,62,ses-03,SSVEP
WRONG,0,sub-02,0.6593008041381836,62,ses-03,SSVEP
QUERY_ORACLE,0,sub-02,0.18323509395122528,62,ses-03,SSVEP
POP,0,sub-02,0.6860147714614868,63,ses-02,SSVEP
MATCH,0,sub-02,0.5799354910850525,63,ses-02,SSVEP
WRONG,0,sub-02,0.5896243453025818,63,ses-02,SSVEP
QUERY_ORACLE,0,sub-02,0.22901085019111633,63,ses-02,SSVEP
POP,0,sub-02,0.3236214816570282,64,ses-02,ERP
MATCH,0,sub-02,0.3011661171913147,64,ses-02,ERP
WRONG,0,sub-02,0.2971847951412201,64,ses-02,ERP
QUERY_ORACLE,0,sub-02,0.2830642759799957,64,ses-02,ERP
POP,0,sub-05,0.3526514768600464,65,ses-03,SSVEP
MATCH,0,sub-05,0.29779893159866333,65,ses-03,SSVEP
WRONG,0,sub-05,0.3140406012535095,65,ses-03,SSVEP
QUERY_ORACLE,0,sub-05,0.28102925419807434,65,ses-03,SSVEP
POP,0,sub-02,0.0,66,ses-03,ERP
MATCH,0,sub-02,0.0,66,ses-03,ERP
WRONG,0,sub-02,0.0,66,ses-03,ERP
QUERY_ORACLE,0,sub-02,0.0,66,ses-03,ERP
POP,0,sub-03,0.42611366510391235,67,ses-02,SSVEP
MATCH,0,sub-03,0.26929348707199097,67,ses-02,SSVEP
WRONG,0,sub-03,0.4069102704524994,67,ses-02,SSVEP
QUERY_ORACLE,0,sub-03,0.25482234358787537,67,ses-02,SSVEP
POP,0,sub-03,0.8413633108139038,68,ses-04,SSVEP
MATCH,0,sub-03,0.3294461965560913,68,ses-04,SSVEP
WRONG,0,sub-03,0.6252078413963318,68,ses-04,SSVEP
QUERY_ORACLE,0,sub-03,0.2704024016857147,68,ses-04,SSVEP
POP,0,sub-03,0.0,69,ses-04,ERP
MATCH,0,sub-03,0.0,69,ses-04,ERP
WRONG,0,sub-03,0.0,69,ses-04,ERP
QUERY_ORACLE,0,sub-03,0.0,69,ses-04,ERP
POP,0,sub-03,0.38916149735450745,70,ses-04,ERP
MATCH,0,sub-03,0.320213258266449,70,ses-04,ERP
WRONG,0,sub-03,0.3639163076877594,70,ses-04,ERP
QUERY_ORACLE,0,sub-03,0.30284449458122253,70,ses-04,ERP
POP,0,sub-02,0.7688923478126526,71,ses-04,SSVEP
MATCH,0,sub-02,0.3519899547100067,71,ses-04,SSVEP
WRONG,0,sub-02,0.7176520824432373,71,ses-04,SSVEP
QUERY_ORACLE,0,sub-02,0.24045330286026,71,ses-04,SSVEP
POP,0,sub-02,0.49511897563934326,72,ses-03,ERP
MATCH,0,sub-02,0.31187471747398376,72,ses-03,ERP
WRONG,0,sub-02,0.4379557967185974,72,ses-03,ERP
QUERY_ORACLE,0,sub-02,0.2507186830043793,72,ses-03,ERP
POP,0,sub-05,0.39326679706573486,73,ses-03,ERP
MATCH,0,sub-05,0.3300986588001251,73,ses-03,ERP
WRONG,0,sub-05,0.3645387589931488,73,ses-03,ERP
QUERY_ORACLE,0,sub-05,0.31928759813308716,73,ses-03,ERP
POP,0,sub-05,0.37339919805526733,74,ses-03,SSVEP
MATCH,0,sub-05,0.29710009694099426,74,ses-03,SSVEP
WRONG,0,sub-05,0.2635282576084137,74,ses-03,SSVEP
QUERY_ORACLE,0,sub-05,0.27615246176719666,74,ses-03,SSVEP
POP,0,sub-05,0.356516569852829,75,ses-02,ERP
MATCH,0,sub-05,0.29757216572761536,75,ses-02,ERP
WRONG,0,sub-05,0.3053313195705414,75,ses-02,ERP
QUERY_ORACLE,0,sub-05,0.28433671593666077,75,ses-02,ERP
POP,0,sub-03,0.39401230216026306,76,ses-02,SSVEP
MATCH,0,sub-03,0.25709068775177,76,ses-02,SSVEP
WRONG,0,sub-03,0.2665577232837677,76,ses-02,SSVEP
QUERY_ORACLE,0,sub-03,0.24285967648029327,76,ses-02,SSVEP
POP,0,sub-03,0.4698493182659149,77,ses-03,ERP
MATCH,0,sub-03,0.3142596185207367,77,ses-03,ERP
WRONG,0,sub-03,0.37647148966789246,77,ses-03,ERP
QUERY_ORACLE,0,sub-03,0.2941533923149109,77,ses-03,ERP
POP,0,sub-02,0.7409641742706299,78,ses-03,SSVEP
MATCH,0,sub-02,0.19357815384864807,78,ses-03,SSVEP
WRONG,0,sub-02,0.6302149295806885,78,ses-03,SSVEP
QUERY_ORACLE,0,sub-02,0.1920982450246811,78,ses-03,SSVEP
POP,0,sub-02,0.3452005982398987,79,ses-02,ERP
MATCH,0,sub-02,0.31489649415016174,79,ses-02,ERP
WRONG,0,sub-02,0.30106401443481445,79,ses-02,ERP
QUERY_ORACLE,0,sub-02,0.304977148771286,79,ses-02,ERP
POP,0,sub-03,0.48692843317985535,80,ses-04,ERP
MATCH,0,sub-03,0.33169764280319214,80,ses-04,ERP
WRONG,0,sub-03,0.4714469015598297,80,ses-04,ERP
QUERY_ORACLE,0,sub-03,0.27814021706581116,80,ses-04,ERP
POP,0,sub-05,0.34434887766838074,81,ses-03,ERP
MATCH,0,sub-05,0.3174547553062439,81,ses-03,ERP
WRONG,0,sub-05,0.33685192465782166,81,ses-03,ERP
QUERY_ORACLE,0,sub-05,0.3097068965435028,81,ses-03,ERP
POP,0,sub-03,0.43298837542533875,82,ses-03,ERP
MATCH,0,sub-03,0.32488784193992615,82,ses-03,ERP
WRONG,0,sub-03,0.3291831612586975,82,ses-03,ERP
QUERY_ORACLE,0,sub-03,0.30477410554885864,82,ses-03,ERP
POP,0,sub-02,0.9473587274551392,83,ses-02,SSVEP
MATCH,0,sub-02,0.807527482509613,83,ses-02,SSVEP
WRONG,0,sub-02,0.8763810396194458,83,ses-02,SSVEP
QUERY_ORACLE,0,sub-02,0.13896477222442627,83,ses-02,SSVEP
POP,0,sub-05,0.34056898951530457,84,ses-02,ERP
MATCH,0,sub-05,0.2899506986141205,84,ses-02,ERP
WRONG,0,sub-05,0.30252668261528015,84,ses-02,ERP
QUERY_ORACLE,0,sub-05,0.28231364488601685,84,ses-02,ERP
POP,0,sub-05,0.8934885263442993,85,ses-04,SSVEP
MATCH,0,sub-05,0.3004583418369293,85,ses-04,SSVEP
WRONG,0,sub-05,0.5813224911689758,85,ses-04,SSVEP
QUERY_ORACLE,0,sub-05,0.22984088957309723,85,ses-04,SSVEP
POP,0,sub-03,0.5784734487533569,86,ses-03,SSVEP
MATCH,0,sub-03,0.31948623061180115,86,ses-03,SSVEP
WRONG,0,sub-03,0.49579766392707825,86,ses-03,SSVEP
QUERY_ORACLE,0,sub-03,0.28802353143692017,86,ses-03,SSVEP
POP,0,sub-05,0.5086854100227356,87,ses-02,SSVEP
MATCH,0,sub-05,0.3419245183467865,87,ses-02,SSVEP
WRONG,0,sub-05,0.47545987367630005,87,ses-02,SSVEP
QUERY_ORACLE,0,sub-05,0.26677796244621277,87,ses-02,SSVEP
POP,0,sub-05,0.3888401687145233,88,ses-03,ERP
MATCH,0,sub-05,0.32432493567466736,88,ses-03,ERP
WRONG,0,sub-05,0.34480372071266174,88,ses-03,ERP
QUERY_ORACLE,0,sub-05,0.3121452033519745,88,ses-03,ERP
POP,0,sub-03,0.5323711037635803,89,ses-03,SSVEP
MATCH,0,sub-03,0.3099197447299957,89,ses-03,SSVEP
WRONG,0,sub-03,0.48419809341430664,89,ses-03,SSVEP
QUERY_ORACLE,0,sub-03,0.29452627897262573,89,ses-03,SSVEP
POP,0,sub-03,0.0,90,ses-02,ERP
MATCH,0,sub-03,0.0,90,ses-02,ERP
WRONG,0,sub-03,0.0,90,ses-02,ERP
QUERY_ORACLE,0,sub-03,0.0,90,ses-02,ERP
POP,0,sub-02,0.3377766013145447,91,ses-03,ERP
MATCH,0,sub-02,0.30423006415367126,91,ses-03,ERP
WRONG,0,sub-02,0.313875287771225,91,ses-03,ERP
QUERY_ORACLE,0,sub-02,0.30729058384895325,91,ses-03,ERP
POP,0,sub-03,0.40828418731689453,92,ses-03,ERP
MATCH,0,sub-03,0.288770854473114,92,ses-03,ERP
WRONG,0,sub-03,0.360975980758667,92,ses-03,ERP
QUERY_ORACLE,0,sub-03,0.25056517124176025,92,ses-03,ERP
POP,0,sub-05,0.4688749313354492,93,ses-02,ERP
MATCH,0,sub-05,0.3949301838874817,93,ses-02,ERP
WRONG,0,sub-05,0.40794408321380615,93,ses-02,ERP
QUERY_ORACLE,0,sub-05,0.2857307493686676,93,ses-02,ERP
POP,0,sub-05,0.6826188564300537,94,ses-04,ERP
MATCH,0,sub-05,0.24680963158607483,94,ses-04,ERP
WRONG,0,sub-05,0.6558516621589661,94,ses-04,ERP
QUERY_ORACLE,0,sub-05,0.22182051837444305,94,ses-04,ERP
POP,0,sub-02,0.7002919912338257,95,ses-04,ERP
MATCH,0,sub-02,0.27090591192245483,95,ses-04,ERP
WRONG,0,sub-02,0.6713555455207825,95,ses-04,ERP
QUERY_ORACLE,0,sub-02,0.24301880598068237,95,ses-04,ERP
POP,0,sub-05,0.3895796537399292,96,ses-03,ERP
MATCH,0,sub-05,0.3256572484970093,96,ses-03,ERP
WRONG,0,sub-05,0.35458609461784363,96,ses-03,ERP
QUERY_ORACLE,0,sub-05,0.31886330246925354,96,ses-03,ERP
POP,0,sub-03,0.4309266209602356,97,ses-03,SSVEP
MATCH,0,sub-03,0.38803935050964355,97,ses-03,SSVEP
WRONG,0,sub-03,0.3968997299671173,97,ses-03,SSVEP
QUERY_ORACLE,0,sub-03,0.28116169571876526,97,ses-03,SSVEP
POP,0,sub-03,0.4986049234867096,98,ses-03,SSVEP
MATCH,0,sub-03,0.31713542342185974,98,ses-03,SSVEP
WRONG,0,sub-03,0.4353971481323242,98,ses-03,SSVEP
QUERY_ORACLE,0,sub-03,0.24462071061134338,98,ses-03,SSVEP
POP,0,sub-03,0.4000525176525116,99,ses-02,ERP
MATCH,0,sub-03,0.2863841652870178,99,ses-02,ERP
WRONG,0,sub-03,0.30551424622535706,99,ses-02,ERP
QUERY_ORACLE,0,sub-03,0.2618471384048462,99,ses-02,ERP
POP,0,sub-03,0.4203305244445801,100,ses-02,SSVEP
MATCH,0,sub-03,0.27206748723983765,100,ses-02,SSVEP
WRONG,0,sub-03,0.31336599588394165,100,ses-02,SSVEP
QUERY_ORACLE,0,sub-03,0.25818994641304016,100,ses-02,SSVEP
POP,0,sub-03,0.0,101,ses-04,ERP
MATCH,0,sub-03,0.0,101,ses-04,ERP
WRONG,0,sub-03,0.0,101,ses-04,ERP
QUERY_ORACLE,0,sub-03,0.0,101,ses-04,ERP
POP,0,sub-05,0.3672176003456116,102,ses-03,ERP
MATCH,0,sub-05,0.32475021481513977,102,ses-03,ERP
WRONG,0,sub-05,0.32534337043762207,102,ses-03,ERP
QUERY_ORACLE,0,sub-05,0.31933334469795227,102,ses-03,ERP
POP,0,sub-02,0.5730431079864502,103,ses-04,SSVEP
MATCH,0,sub-02,0.3548275828361511,103,ses-04,SSVEP
WRONG,0,sub-02,0.49083706736564636,103,ses-04,SSVEP
QUERY_ORACLE,0,sub-02,0.2629682123661041,103,ses-04,SSVEP
POP,0,sub-05,0.5611683130264282,104,ses-04,ERP
MATCH,0,sub-05,0.2769486904144287,104,ses-04,ERP
WRONG,0,sub-05,0.5206345915794373,104,ses-04,ERP
