method,participant,rrmse_temporal,severity
OF_DET_MATCH,sub-09,7.645003180311183,severe
OF_DET_MATCH,sub-09,0.21555643013098102,mild
OF_DET_MATCH,sub-09,0.786700994880111,medium
OF_DET_POP_SWAP,sub-07,0.6619817648810901,medium
OF_DET_POP_SWAP,sub-07,1.3637980570395787,severe
OF_DET_POP_SWAP,sub-06,2.1671449722245684,severe
OF_DET_POP_SWAP,sub-07,0.3124847478801838,mild
OF_DET_POP_SWAP,sub-06,0.25978177631894744,mild
OF_DET_POP_SWAP,sub-06,0.594938975572586,medium
OF_DET_POP_SWAP,sub-09,6.75471651895279,severe
OF_DET_POP_SWAP,sub-09,0.2586677772384407,mild
OF_DET_POP_SWAP,sub-09,0.8126593673670733,medium
OF_DET_WRONG_SWAP,sub-07,0.5899963026074158,medium
OF_DET_WRONG_SWAP,sub-07,1.2250946139295895,severe
OF_DET_WRONG_SWAP,sub-06,2.176001207311024,severe
OF_DET_WRONG_SWAP,sub-07,0.2334843208518033,mild
OF_DET_WRONG_SWAP,sub-06,0.19520491771399975,mild
OF_DET_WRONG_SWAP,sub-06,0.5428200960159302,medium
OF_DET_WRONG_SWAP,sub-09,6.771535139994991,severe
OF_DET_WRONG_SWAP,sub-09,0.18340375959414287,mild
OF_DET_WRONG_SWAP,sub-09,0.7514721409038261,medium
POP_MARGINAL_DET,sub-07,0.5539640462261507,medium
POP_MARGINAL_DET,sub-07,1.15077060709397,severe
POP_MARGINAL_DET,sub-06,1.7872406392134437,severe
POP_MARGINAL_DET,sub-07,0.17917739591571724,mild
POP_MARGINAL_DET,sub-06,0.14443609109769265,mild
POP_MARGINAL_DET,sub-06,0.4741042203846432,medium
POP_MARGINAL_DET,sub-09,6.753455197269266,severe
POP_MARGINAL_DET,sub-09,0.12985996558816862,mild
POP_MARGINAL_DET,sub-09,0.7283416567025361,medium
OF_SCAD_K1_MATCH,sub-07,0.5879002977376696,medium
OF_SCAD_K1_MATCH,sub-07,1.2005459765593212,severe
OF_SCAD_K1_MATCH,sub-06,1.5571105815181436,severe
OF_SCAD_K1_MATCH,sub-07,0.26554565060158236,mild
OF_SCAD_K1_MATCH,sub-06,0.22731568145255246,mild
OF_SCAD_K1_MATCH,sub-06,0.5170581359238852,medium
OF_SCAD_K1_MATCH,sub-09,7.419889674644277,severe
OF_SCAD_K1_MATCH,sub-09,0.3050458280612593,mild
OF_SCAD_K1_MATCH,sub-09,0.8207563967616469,medium
OF_SCAD_K1_POP_SWAP,sub-07,0.7476858729603647,medium
OF_SCAD_K1_POP_SWAP,sub-07,1.4573662367959817,severe
OF_SCAD_K1_POP_SWAP,sub-06,2.2649489594984424,severe
OF_SCAD_K1_POP_SWAP,sub-07,0.40361605922269467,mild
OF_SCAD_K1_POP_SWAP,sub-06,0.33205837001403177,mild
OF_SCAD_K1_POP_SWAP,sub-06,0.6748976784093039,medium
OF_SCAD_K1_POP_SWAP,sub-09,6.711592912874639,severe
OF_SCAD_K1_POP_SWAP,sub-09,0.35942318997737294,mild
OF_SCAD_K1_POP_SWAP,sub-09,0.8663979371388754,medium
OF_SCAD_K1_WRONG_SWAP,sub-07,0.6147177949033934,medium
OF_SCAD_K1_WRONG_SWAP,sub-07,1.2446924702574809,severe
OF_SCAD_K1_WRONG_SWAP,sub-06,2.333531376003295,severe
OF_SCAD_K1_WRONG_SWAP,sub-07,0.3058141340965524,mild
OF_SCAD_K1_WRONG_SWAP,sub-06,0.24249825411786638,mild
OF_SCAD_K1_WRONG_SWAP,sub-06,0.6438016752401987,medium
OF_SCAD_K1_WRONG_SWAP,sub-09,6.715691343301073,severe
OF_SCAD_K1_WRONG_SWAP,sub-09,0.2566277759919024,mild
OF_SCAD_K1_WRONG_SWAP,sub-09,0.770063923464881,medium
POP_MARGINAL_SCAD_K1,sub-07,0.5493251177771338,medium
POP_MARGINAL_SCAD_K1,sub-07,1.1345898260672886,severe
