fold,method,milliseconds_per_window,nfe,seed
1,OF_SCAD_K1_WRONG_SWAP,7.2815592615774625,25,20260810
1,POP_MARGINAL_SCAD_K1,7.138410518463287,25,20260810
1,OF_DET_MATCH,5.741267319401096,1,20260811
1,OF_DET_POP_SWAP,5.529611837927304,1,20260811
1,OF_DET_WRONG_SWAP,5.652952511607307,1,20260811
1,POP_MARGINAL_DET,5.512135141206845,1,20260811
1,OF_SCAD_K1_MATCH,7.242789617992929,25,20260811
1,OF_SCAD_K1_POP_SWAP,7.141687979094934,25,20260811
1,OF_SCAD_K1_WRONG_SWAP,7.280305249878438,25,20260811
1,POP_MARGINAL_SCAD_K1,7.145158205983332,25,20260811
2,OF_DET_MATCH,7.996971395860547,1,20260808
2,OF_DET_POP_SWAP,7.8124984097990415,1,20260808
2,OF_DET_WRONG_SWAP,8.172468821781136,1,20260808
2,POP_MARGINAL_DET,7.711779828780521,1,20260808
2,OF_SCAD_K1_MATCH,10.119784252310637,25,20260808
2,OF_SCAD_K1_POP_SWAP,9.90677516205728,25,20260808
2,OF_SCAD_K1_WRONG_SWAP,10.068569879674921,25,20260808
2,POP_MARGINAL_SCAD_K1,9.85888176607356,25,20260808
2,OF_DET_MATCH,7.922864458426678,1,20260810
2,OF_DET_POP_SWAP,7.6760942915657155,1,20260810
2,OF_DET_WRONG_SWAP,7.986312231406811,1,20260810
2,POP_MARGINAL_DET,7.635288289478653,1,20260810
2,OF_SCAD_K1_MATCH,9.93880134504892,25,20260810
2,OF_SCAD_K1_POP_SWAP,9.790041539451556,25,20260810
2,OF_SCAD_K1_WRONG_SWAP,9.944083969996965,25,20260810
2,POP_MARGINAL_SCAD_K1,9.803937675853915,25,20260810
2,OF_DET_MATCH,7.977057583317488,1,20260811
2,OF_DET_POP_SWAP,7.727179736118867,1,20260811
2,OF_DET_WRONG_SWAP,7.951664812464043,1,20260811
2,POP_MARGINAL_DET,7.771081701557031,1,20260811
2,OF_SCAD_K1_MATCH,10.076163525270575,25,20260811
2,OF_SCAD_K1_POP_SWAP,9.910021066995492,25,20260811
2,OF_SCAD_K1_WRONG_SWAP,10.09867310198455,25,20260811
2,POP_MARGINAL_SCAD_K1,9.902380995400664,25,20260811
3,OF_DET_MATCH,7.941358217741018,1,20260808
3,OF_DET_POP_SWAP,7.84295527329151,1,20260808
3,OF_DET_WRONG_SWAP,7.928551143440591,1,20260808
3,POP_MARGINAL_DET,7.627914648091299,1,20260808
3,OF_SCAD_K1_MATCH,9.960570263771203,25,20260808
3,OF_SCAD_K1_POP_SWAP,9.804608812340087,25,20260808
3,OF_SCAD_K1_WRONG_SWAP,10.019900634317848,25,20260808
3,POP_MARGINAL_SCAD_K1,9.81445802312077,25,20260808
3,OF_DET_MATCH,5.791571543980994,1,20260810
3,OF_DET_POP_SWAP,5.532164960674924,1,20260810
3,OF_DET_WRONG_SWAP,5.686913867975818,1,20260810
3,POP_MARGINAL_DET,5.542573439823981,1,20260810
3,OF_SCAD_K1_MATCH,7.351028724466839,25,20260810
3,OF_SCAD_K1_POP_SWAP,7.147410560180476,25,20260810
3,OF_SCAD_K1_WRONG_SWAP,7.285506439748807,25,20260810
3,POP_MARGINAL_SCAD_K1,7.150706201409101,25,20260810
3,OF_DET_MATCH,8.01708555809455,1,20260811
3,OF_DET_POP_SWAP,7.798575803462882,1,20260811
3,OF_DET_WRONG_SWAP,8.028947166706159,1,20260811
3,POP_MARGINAL_DET,7.75188048390663,1,20260811
3,OF_SCAD_K1_MATCH,10.067162756900803,25,20260811
3,OF_SCAD_K1_POP_SWAP,9.929225115801845,25,20260811
3,OF_SCAD_K1_WRONG_SWAP,10.140893872799266,25,20260811
3,POP_MARGINAL_SCAD_K1,9.932527268473576,25,20260811
4,OF_DET_MATCH,7.954001196560933,1,20260808
4,OF_DET_POP_SWAP,7.696905159887306,1,20260808
4,OF_DET_WRONG_SWAP,7.8970091991424045,1,20260808
4,POP_MARGINAL_DET,7.668986078729008,1,20260808
4,OF_SCAD_K1_MATCH,10.00699320138665,25,20260808
4,OF_SCAD_K1_POP_SWAP,9.826469803455337,25,20260808
4,OF_SCAD_K1_WRONG_SWAP,9.994709694486422,25,20260808
4,POP_MARGINAL_SCAD_K1,9.824190601917778,25,20260808
4,OF_DET_MATCH,8.055715291616421,1,20260810
4,OF_DET_POP_SWAP,7.801270847267006,1,20260810
4,OF_DET_WRONG_SWAP,8.103081159653676,1,20260810
4,POP_MARGINAL_DET,7.7351339350570925,1,20260810
4,OF_SCAD_K1_MATCH,10.100848132020069,25,20260810
4,OF_SCAD_K1_POP_SWAP,9.953631080861669,25,20260810
4,OF_SCAD_K1_WRONG_SWAP,10.127129754605617,25,20260810
4,POP_MARGINAL_SCAD_K1,9.90344049070565,25,20260810
4,OF_DET_MATCH,7.915803678096617,1,20260811
4,OF_DET_POP_SWAP,7.681901942069763,1,20260811
4,OF_DET_WRONG_SWAP,7.8787705901453995,1,20260811
4,POP_MARGINAL_DET,7.674688599729928,1,20260811
4,OF_SCAD_K1_MATCH,10.001902743102551,25,20260811
4,OF_SCAD_K1_POP_SWAP,9.87368835410086,25,20260811
4,OF_SCAD_K1_WRONG_SWAP,10.061034136419444,25,20260811
4,POP_MARGINAL_SCAD_K1,9.841973074125471,25,20260811
