fold,participant,role,support_session,query_session
2,37,train,ses_0,ses_1
2,38,train,ses_0,ses_1
2,39,train,ses_0,ses_1
2,40,train,ses_0,ses_1
2,41,train,ses_0,ses_1
2,42,train,ses_0,ses_1
2,43,train,ses_0,ses_1
2,44,train,ses_0,ses_1
2,45,train,ses_0,ses_1
2,46,train,ses_0,ses_1
2,47,train,ses_0,ses_1
2,48,train,ses_0,ses_1
2,49,train,ses_0,ses_1
2,50,train,ses_0,ses_1
2,51,train,ses_0,ses_1
2,52,train,ses_0,ses_1
2,53,train,ses_0,ses_1
2,54,train,ses_0,ses_1
2,28,validation,ses_0,ses_1
2,29,validation,ses_0,ses_1
2,30,validation,ses_0,ses_1
2,31,validation,ses_0,ses_1
2,32,validation,ses_0,ses_1
2,33,validation,ses_0,ses_1
2,34,validation,ses_0,ses_1
2,35,validation,ses_0,ses_1
2,36,validation,ses_0,ses_1
2,19,test,ses_0,ses_1
2,20,test,ses_0,ses_1
2,21,test,ses_0,ses_1
2,22,test,ses_0,ses_1
2,23,test,ses_0,ses_1
2,24,test,ses_0,ses_1
2,25,test,ses_0,ses_1
2,26,test,ses_0,ses_1
2,27,test,ses_0,ses_1
3,1,train,ses_0,ses_1
3,2,train,ses_0,ses_1
3,3,train,ses_0,ses_1
3,4,train,ses_0,ses_1
3,5,train,ses_0,ses_1
3,6,train,ses_0,ses_1
3,7,train,ses_0,ses_1
3,8,train,ses_0,ses_1
3,9,train,ses_0,ses_1
3,10,train,ses_0,ses_1
3,11,train,ses_0,ses_1
3,12,train,ses_0,ses_1
3,13,train,ses_0,ses_1
3,14,train,ses_0,ses_1
3,15,train,ses_0,ses_1
3,16,train,ses_0,ses_1
3,17,train,ses_0,ses_1
3,18,train,ses_0,ses_1
3,19,train,ses_0,ses_1
3,20,train,ses_0,ses_1
3,21,train,ses_0,ses_1
3,22,train,ses_0,ses_1
3,23,train,ses_0,ses_1
3,24,train,ses_0,ses_1
3,25,train,ses_0,ses_1
3,26,train,ses_0,ses_1
3,27,train,ses_0,ses_1
3,46,train,ses_0,ses_1
3,47,train,ses_0,ses_1
3,48,train,ses_0,ses_1
3,49,train,ses_0,ses_1
3,50,train,ses_0,ses_1
3,51,train,ses_0,ses_1
3,52,train,ses_0,ses_1
3,53,train,ses_0,ses_1
3,54,train,ses_0,ses_1
3,37,validation,ses_0,ses_1
3,38,validation,ses_0,ses_1
3,39,validation,ses_0,ses_1
3,40,validation,ses_0,ses_1
3,41,validation,ses_0,ses_1
3,42,validation,ses_0,ses_1
3,43,validation,ses_0,ses_1
3,44,validation,ses_0,ses_1
3,45,validation,ses_0,ses_1
3,28,test,ses_0,ses_1
3,29,test,ses_0,ses_1
3,30,test,ses_0,ses_1
3,31,test,ses_0,ses_1
3,32,test,ses_0,ses_1
3,33,test,ses_0,ses_1
3,34,test,ses_0,ses_1
3,35,test,ses_0,ses_1
3,36,test,ses_0,ses_1
4,1,train,ses_0,ses_1
4,2,train,ses_0,ses_1
4,3,train,ses_0,ses_1
4,4,train,ses_0,ses_1
4,5,train,ses_0,ses_1
4,6,train,ses_0,ses_1
4,7,train,ses_0,ses_1
4,8,train,ses_0,ses_1
4,9,train,ses_0,ses_1
4,10,train,ses_0,ses_1
4,11,train,ses_0,ses_1
4,12,train,ses_0,ses_1
4,13,train,ses_0,ses_1
4,14,train,ses_0,ses_1
4,15,train,ses_0,ses_1
4,16,train,ses_0,ses_1
4,17,train,ses_0,ses_1
4,18,train,ses_0,ses_1
4,19,train,ses_0,ses_1
4,20,train,ses_0,ses_1
4,21,train,ses_0,ses_1
4,22,train,ses_0,ses_1
4,23,train,ses_0,ses_1
4,24,train,ses_0,ses_1
4,25,train,ses_0,ses_1
4,26,train,ses_0,ses_1
4,27,train,ses_0,ses_1
4,28,train,ses_0,ses_1
4,29,train,ses_0,ses_1
4,30,train,ses_0,ses_1
4,31,train,ses_0,ses_1
4,32,train,ses_0,ses_1
4,33,train,ses_0,ses_1
4,34,train,ses_0,ses_1
4,35,train,ses_0,ses_1
4,36,train,ses_0,ses_1
4,46,validation,ses_0,ses_1
4,47,validation,ses_0,ses_1
4,48,validation,ses_0,ses_1
4,49,validation,ses_0,ses_1
4,50,validation,ses_0,ses_1
4,51,validation,ses_0,ses_1
4,52,validation,ses_0,ses_1
4,53,validation,ses_0,ses_1
4,54,validation,ses_0,ses_1
4,37,test,ses_0,ses_1
4,38,test,ses_0,ses_1
4,39,test,ses_0,ses_1
4,40,test,ses_0,ses_1
4,41,test,ses_0,ses_1
4,42,test,ses_0,ses_1
4,43,test,ses_0,ses_1
4,44,test,ses_0,ses_1
4,45,test,ses_0,ses_1
5,10,train,ses_0,ses_1
5,11,train,ses_0,ses_1
5,12,train,ses_0,ses_1
5,13,train,ses_0,ses_1
5,14,train,ses_0,ses_1
5,15,train,ses_0,ses_1
5,16,train,ses_0,ses_1
5,17,train,ses_0,ses_1
5,18,train,ses_0,ses_1
5,19,train,ses_0,ses_1
5,20,train,ses_0,ses_1
5,21,train,ses_0,ses_1
5,22,train,ses_0,ses_1
5,23,train,ses_0,ses_1
5,24,train,ses_0,ses_1
5,25,train,ses_0,ses_1
5,26,train,ses_0,ses_1
5,27,train,ses_0,ses_1
5,28,train,ses_0,ses_1
5,29,train,ses_0,ses_1
5,30,train,ses_0,ses_1
5,31,train,ses_0,ses_1
5,32,train,ses_0,ses_1
5,33,train,ses_0,ses_1
5,34,train,ses_0,ses_1
5,35,train,ses_0,ses_1
5,36,train,ses_0,ses_1
5,37,train,ses_0,ses_1
5,38,train,ses_0,ses_1
5,39,train,ses_0,ses_1
5,40,train,ses_0,ses_1
5,41,train,ses_0,ses_1
5,42,train,ses_0,ses_1
5,43,train,ses_0,ses_1
5,44,train,ses_0,ses_1
5,45,train,ses_0,ses_1
5,1,validation,ses_0,ses_1
5,2,validation,ses_0,ses_1
5,3,validation,ses_0,ses_1
5,4,validation,ses_0,ses_1
5,5,validation,ses_0,ses_1
5,6,validation,ses_0,ses_1
5,7,validation,ses_0,ses_1
5,8,validation,ses_0,ses_1
5,9,validation,ses_0,ses_1
5,46,test,ses_0,ses_1
5,47,test,ses_0,ses_1
5,48,test,ses_0,ses_1
5,49,test,ses_0,ses_1
5,50,test,ses_0,ses_1
5,51,test,ses_0,ses_1
5,52,test,ses_0,ses_1
5,53,test,ses_0,ses_1
5,54,test,ses_0,ses_1
