dataset,processed_cache_id,subject,original_subject,session,original_session,run,recording_id,channels,samples,trials,left_trials,right_trials,filepath
MOABB Lee2019_MI (OpenBMI),4704743c,14,18,ses_1,2,run_0,29,62,273400,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_14_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,15,16,ses_0,1,run_0,30,62,268336,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_15_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,15,16,ses_1,2,run_0,31,62,271600,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_15_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,16,14,ses_0,1,run_0,32,62,288672,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_16_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,16,14,ses_1,2,run_0,33,62,274776,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_16_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,17,17,ses_0,1,run_0,34,62,280832,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_17_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,17,17,ses_1,2,run_0,35,62,316016,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_17_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,18,19,ses_0,1,run_0,36,62,270816,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_18_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,18,19,ses_1,2,run_0,37,62,267072,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_18_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,19,20,ses_0,1,run_0,38,62,291824,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_19_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,19,20,ses_1,2,run_0,39,62,267120,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_19_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,20,24,ses_0,1,run_0,40,62,290664,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_20_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,20,24,ses_1,2,run_0,41,62,276664,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_20_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,21,22,ses_0,1,run_0,42,62,268816,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_21_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,21,22,ses_1,2,run_0,43,62,277720,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_21_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,22,23,ses_0,1,run_0,44,62,277408,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_22_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,22,23,ses_1,2,run_0,45,62,276360,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_22_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,23,21,ses_0,1,run_0,46,62,279440,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_23_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,23,21,ses_1,2,run_0,47,62,281784,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_23_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,24,25,ses_0,1,run_0,48,62,269872,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_24_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,24,25,ses_1,2,run_0,49,62,271856,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_24_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,25,26,ses_0,1,run_0,50,62,301000,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_25_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,25,26,ses_1,2,run_0,51,62,305120,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_25_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,26,28,ses_0,1,run_0,52,62,288048,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_26_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,26,28,ses_1,2,run_0,53,62,268704,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_26_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,27,27,ses_0,1,run_0,54,62,271312,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_27_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,27,27,ses_1,2,run_0,55,62,269544,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_27_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,28,30,ses_0,1,run_0,56,62,316512,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_28_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,28,30,ses_1,2,run_0,57,62,282352,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_28_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,29,29,ses_0,1,run_0,58,62,270616,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_29_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,29,29,ses_1,2,run_0,59,62,278064,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_29_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,30,31,ses_0,1,run_0,60,62,336448,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_30_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,30,31,ses_1,2,run_0,61,62,271832,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_30_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,31,32,ses_0,1,run_0,62,62,291648,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_31_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,31,32,ses_1,2,run_0,63,62,273552,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_31_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,32,33,ses_0,1,run_0,64,62,300904,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_32_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,32,33,ses_1,2,run_0,65,62,312336,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_32_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,33,34,ses_0,1,run_0,66,62,318336,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_33_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,33,34,ses_1,2,run_0,67,62,275176,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_33_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,34,35,ses_0,1,run_0,68,62,269976,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_34_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,34,35,ses_1,2,run_0,69,62,276576,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_34_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,35,36,ses_0,1,run_0,70,62,269952,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_35_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,35,36,ses_1,2,run_0,71,62,275760,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_35_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,36,37,ses_0,1,run_0,72,62,289184,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_36_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,36,37,ses_1,2,run_0,73,62,297344,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_36_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,37,39,ses_0,1,run_0,74,62,289264,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_37_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,37,39,ses_1,2,run_0,75,62,268776,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_37_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,38,38,ses_0,1,run_0,76,62,294872,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_38_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,38,38,ses_1,2,run_0,77,62,297472,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_38_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,39,40,ses_0,1,run_0,78,62,287872,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_39_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,39,40,ses_1,2,run_0,79,62,290584,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_39_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,40,41,ses_0,1,run_0,80,62,277104,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_40_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,40,41,ses_1,2,run_0,81,62,289424,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_40_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,41,42,ses_0,1,run_0,82,62,278720,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_41_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,41,42,ses_1,2,run_0,83,62,270600,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_41_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,42,43,ses_0,1,run_0,84,62,316560,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_42_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,42,43,ses_1,2,run_0,85,62,267416,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_42_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,43,44,ses_0,1,run_0,86,62,290920,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_43_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,43,44,ses_1,2,run_0,87,62,269376,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_43_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,44,45,ses_0,1,run_0,88,62,357696,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_44_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,44,45,ses_1,2,run_0,89,62,274000,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_44_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,45,48,ses_0,1,run_0,90,62,267448,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_45_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,45,48,ses_1,2,run_0,91,62,270816,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_45_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,46,47,ses_0,1,run_0,92,62,273008,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_46_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,46,47,ses_1,2,run_0,93,62,269400,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_46_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,47,46,ses_0,1,run_0,94,62,311112,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_47_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,47,46,ses_1,2,run_0,95,62,274120,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_47_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,48,49,ses_0,1,run_0,96,62,275168,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_48_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,48,49,ses_1,2,run_0,97,62,276488,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_48_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,49,50,ses_0,1,run_0,98,62,280768,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_49_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,49,50,ses_1,2,run_0,99,62,355448,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_49_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,50,51,ses_0,1,run_0,100,62,286936,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_50_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,50,51,ses_1,2,run_0,101,62,294104,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_50_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,51,52,ses_0,1,run_0,102,62,339160,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_51_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,51,52,ses_1,2,run_0,103,62,271376,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_51_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,52,53,ses_0,1,run_0,104,62,273480,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_52_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,52,53,ses_1,2,run_0,105,62,273632,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_52_ses_1_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,53,54,ses_0,1,run_0,106,62,280168,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_53_ses_0_run_0.npy
MOABB Lee2019_MI (OpenBMI),4704743c,53,54,ses_1,2,run_0,107,62,308984,100,50,50,/projects/EEG-foundation-model/datalake/processed/4704743c/Lee2019_MI/recordings/sub_53_ses_1_run_0.npy
