fold,model,path,seed,sha256,selected_epoch
1,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_1_seed_20260941/one_step_bridge.pt,20260941,ff8535fbe34c9431605e7caa57ed45bc1f4ebe2d21f37892d32f1caa2cb7e0c1,30.0
1,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_1_seed_20260941/sard_bridge.pt,20260941,1332d076a7292bff60a7c8585a137dea2338eeac65b5d6cfab8e3fc1c40b153e,30.0
2,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_2_seed_20260940/eegnet_full_pool.pt,20260940,24466c737961c1d3fe939ae28ca4e99af233e7af584d10cbb7b854b12a8df36c,
2,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_2_seed_20260940/one_step_bridge.pt,20260940,38773750ba50e9a44b76ca7781b031fbcb9fff3bc4daf67f2eb36cc582359029,15.0
2,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_2_seed_20260940/sard_bridge.pt,20260940,a223b302f735024f7bc6ec0a9783cdf59580f382cd81dd96f80d8d5078817299,10.0
2,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_2_seed_20260941/eegnet_full_pool.pt,20260941,40189a1e244a0c9e994cb9fa6e15e430b70be9c8062f7d19908a84e194dda2c3,
2,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_2_seed_20260941/one_step_bridge.pt,20260941,1629ca96eabf8bfd4ab1390fe8da8004c18a53dfd2f4e23bfc8931033c4ce516,5.0
2,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_2_seed_20260941/sard_bridge.pt,20260941,b6ce74f50ae9db974dfcae37ff905b8ae32537efce725770c06271438cc0356e,5.0
3,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_3_seed_20260940/eegnet_full_pool.pt,20260940,91672210a949eb92a0974683dba1eec9d1e6b70b066293665b9c380ffcbad701,
3,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_3_seed_20260940/one_step_bridge.pt,20260940,b7d9f5f16263c5834496eb7cdbeab4cdaa949326a4bf7500673e43ca831e9e05,10.0
3,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_3_seed_20260940/sard_bridge.pt,20260940,7445a3987632de2d2189194a4e2a220dabd4891b1a882d907bb9de09f15afa61,10.0
3,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_3_seed_20260941/eegnet_full_pool.pt,20260941,5ad736d4249560c08e510396415fa90a85abb8978985d2349f862bae853853c9,
3,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_3_seed_20260941/one_step_bridge.pt,20260941,4cf9998fce1dd749c23a9c4e014d05bdbd96f47099dfc8188360d5589094b3fc,10.0
3,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_3_seed_20260941/sard_bridge.pt,20260941,a681c80513c861770a8197adf92c055ae2483835a068ba85827324ac5033412c,10.0
4,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_4_seed_20260940/eegnet_full_pool.pt,20260940,d2ac904fa1545d3ef8b2966340f988b27abb7b5dffd2352d8b856030582e095e,
4,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_4_seed_20260940/one_step_bridge.pt,20260940,56d03e96c861c7134f4af25744b86dbb7f19d959242aa928ce472f4198cbe6a5,25.0
4,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_4_seed_20260940/sard_bridge.pt,20260940,720b39c357e3f7824e03709243437ea4e3a7dc60ac17fada655eadc8edf90453,30.0
4,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_4_seed_20260941/eegnet_full_pool.pt,20260941,8adc69b2fc3e1b56d284d3ceb3e0dd775509736ad8a89edfe158c2c498df6f22,
4,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_4_seed_20260941/one_step_bridge.pt,20260941,ac3ccb346d7a5308f090a65c8106248a78769b86f9685d5e73122a71749ab7d0,5.0
4,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_4_seed_20260941/sard_bridge.pt,20260941,c9612c4ac45ccd88c0b1326595e61edfa640e58946b65ee0ed7ef99ee8efcac7,10.0
5,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_5_seed_20260940/eegnet_full_pool.pt,20260940,71d6d1baee6a66789df27a29b44c2d8686059f452008364e639b2f7279e76a24,
5,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_5_seed_20260940/one_step_bridge.pt,20260940,565c39ffd50b34ee1d2bf400da12c0125e7a1f19c842dfed94b2f93e8f6a77fe,5.0
5,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_5_seed_20260940/sard_bridge.pt,20260940,63e718ccc6a6281554182fdfdb17e224bed0500eab136b6db9afd06b0b256870,5.0
5,V36P_EEGNet,/home/infres/yinwang/denoiseNet_fiber_openbmi_v36p/results/fiber_openbmi_v36p/runtime/fold_5_seed_20260941/eegnet_full_pool.pt,20260941,721d27dcbd4a67faa8dc49f1c939e67619294fd7209250affed138b9e0d51527,
5,OneStep-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_5_seed_20260941/one_step_bridge.pt,20260941,7a9a46072d0f9fe77e28aaf5c9eb92e9d1301c899b77492f7f0d59dcf8832938,10.0
5,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime/fold_5_seed_20260941/sard_bridge.pt,20260941,75ce925a923de615031f2accd26533e2ba058e8e84c3d76d1efecd8ca24523c0,10.0
0,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_0_seed_20260940/sard_bridge.pt,20260940,9831d813f2fab869e8d7e1dbb73ae18593ed903787a97988932ab25e1601ef27,30.0
0,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_0_seed_20260941/sard_bridge.pt,20260941,2d2c52138f4801a1064a3a3d9e17dcaf0b8bf014c6b26e41debd979828ea0681,10.0
1,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_1_seed_20260940/sard_bridge.pt,20260940,4138287196b488d591d0fd679126ebcf90c4bd9e6bf7ee2d3371c86d86562def,5.0
1,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_1_seed_20260941/sard_bridge.pt,20260941,2e28998f5a82b7a9a87497bfe101486174ee799c6197c2b95e3e9ad3c3e9bb5f,15.0
2,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_2_seed_20260940/sard_bridge.pt,20260940,41f296fbfa41d19855f50cb2ad598b40f5df71ccdf1b09e6dbc3dc333b859dcd,5.0
2,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_2_seed_20260941/sard_bridge.pt,20260941,9d0ef60501d7b6dd2b734dd2809da643bf06403190d677607579520763be0a6c,5.0
3,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_3_seed_20260940/sard_bridge.pt,20260940,2402f5fd7790c96e6c1e60c4b041b0c5bd95874eca759b18a9e18eb3376e467f,5.0
3,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_3_seed_20260941/sard_bridge.pt,20260941,aa421e6d1bb6c2507b9d2645b235461c59f6929cfcb92f607979c8ee271136be,5.0
4,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_4_seed_20260940/sard_bridge.pt,20260940,9863ceaef6c227f7d39107cd3fc489422eb59a30024471293142549dafe2cf48,30.0
4,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_4_seed_20260941/sard_bridge.pt,20260941,52e5a510f346fafd2d8946bad9db0cbd88c16707b58935051e63dcc3a13d01fc,5.0
5,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_5_seed_20260940/sard_bridge.pt,20260940,64274bd7d08439a77a443cfbf5dd5704da963602821d144d269fc5099e644dd5,5.0
5,SARD-Bridge,/home/infres/yinwang/denoiseNet_sard_bridge_v38p/results/sard_bridge_v38p/runtime_repair/fold_5_seed_20260941/sard_bridge.pt,20260941,7738d58b6dc636c5d6456da1418a671aace0c2ad5e78e690e9d95e1a0b208cae,5.0
